1,松井 賢治,松井 賢治.1,2,平田　健之佑,平田　健之佑.1,3,野長瀬　正孝,野長瀬　正孝.1,4,沖島 広和,沖島 広和.1,5,今村 暢孝,今村 暢孝.1,6,野村 誠,野村 誠.1
2.0,3.0,11.2,1.0,3.0,22.5,1.0,2.0,40.8,1.0,2.0,205.6,1.0,2.0,67.3,1.0,2.0,429.5
2.0,4.0,28.5,1.0,4.0,38.5,1.0,4.0,70.4,1.0,3.0,247.9,1.0,3.0,63.5,1.0,3.0,719.5
2.0,5.0,16.1,1.0,5.0,33.7,1.0,5.0,68.1,1.0,5.0,337.7,1.0,4.0,165.1,1.0,4.0,667.5
2.0,6.0,41.7,1.0,6.0,48.9,1.0,6.0,109.8,1.0,6.0,270.0,1.0,6.0,202.6,1.0,5.0,734.3
3.0,2.0,13.4,3.0,1.0,32.6,2.0,1.0,44.0,2.0,1.0,165.8,2.0,1.0,104.6,2.0,1.0,402.7
3.0,4.0,34.1,3.0,4.0,43.2,2.0,4.0,50.6,2.0,3.0,187.6,2.0,3.0,113.3,2.0,3.0,482.5
3.0,5.0,20.7,3.0,5.0,55.2,2.0,5.0,71.8,2.0,5.0,259.0,2.0,4.0,221.6,2.0,4.0,382.3
3.0,6.0,54.7,3.0,6.0,59.5,2.0,6.0,78.0,2.0,6.0,156.3,2.0,6.0,263.2,2.0,5.0,486.0
4.0,2.0,66.7,4.0,1.0,52.9,4.0,1.0,130.6,3.0,1.0,304.4,3.0,1.0,126.7,3.0,1.0,927.4
4.0,3.0,75.3,4.0,3.0,65.0,4.0,2.0,101.1,3.0,2.0,235.6,3.0,2.0,139.5,3.0,2.0,626.2
4.0,5.0,107.9,4.0,5.0,88.4,4.0,5.0,190.5,3.0,5.0,440.8,3.0,4.0,271.8,3.0,4.0,846.8
4.0,6.0,103.6,4.0,6.0,53.1,4.0,6.0,155.8,3.0,6.0,326.0,3.0,6.0,392.4,3.0,5.0,1032.0
5.0,2.0,19.9,5.0,1.0,67.8,5.0,1.0,118.8,5.0,1.0,472.3,4.0,1.0,404.2,4.0,1.0,647.4
5.0,3.0,24.3,5.0,3.0,73.3,5.0,2.0,115.9,5.0,2.0,450.8,4.0,2.0,409.5,4.0,2.0,373.8
5.0,4.0,68.9,5.0,4.0,117.8,5.0,4.0,200.6,5.0,3.0,499.1,4.0,3.0,453.9,4.0,3.0,735.3
5.0,6.0,79.9,5.0,6.0,131.4,5.0,6.0,308.6,5.0,6.0,489.5,4.0,6.0,632.1,4.0,5.0,822.1
6.0,2.0,130.6,6.0,1.0,91.0,6.0,1.0,276.1,6.0,1.0,312.5,6.0,1.0,490.4,5.0,1.0,994.5
6.0,3.0,172.9,6.0,3.0,120.0,6.0,2.0,209.2,6.0,2.0,233.4,6.0,2.0,459.3,5.0,2.0,716.6
6.0,4.0,195.3,6.0,4.0,87.9,6.0,4.0,267.7,6.0,3.0,339.9,6.0,3.0,668.4,5.0,3.0,1285.0
6.0,5.0,201.3,6.0,5.0,137.7,6.0,5.0,382.0,6.0,5.0,397.6,6.0,4.0,797.7,5.0,4.0,1279.0
