1,金子 萌,金子 萌.1,2,深山 祐二,深山 祐二.1,3,清水 紀克,清水 紀克.1,4,山口 隆史,山口 隆史.1,5,杉山 喜一,杉山 喜一.1,6,大江 純,大江 純.1
2.0,3.0,14.7,1.0,3.0,93.4,1.0,2.0,149.6,1.0,2.0,47.8,1.0,2.0,245.1,1.0,2.0,671.5
2.0,4.0,7.2,1.0,4.0,41.2,1.0,4.0,155.7,1.0,3.0,107.9,1.0,3.0,416.4,1.0,3.0,1037.0
2.0,5.0,13.9,1.0,5.0,58.3,1.0,5.0,251.1,1.0,5.0,45.1,1.0,4.0,179.9,1.0,4.0,684.7
2.0,6.0,22.5,1.0,6.0,83.6,1.0,6.0,321.2,1.0,6.0,64.7,1.0,6.0,267.9,1.0,5.0,910.0
3.0,2.0,17.3,3.0,1.0,220.4,2.0,1.0,266.8,2.0,1.0,76.8,2.0,1.0,402.0,2.0,1.0,965.4
3.0,4.0,18.2,3.0,4.0,462.8,2.0,4.0,482.0,2.0,3.0,254.0,2.0,3.0,1177.0,2.0,3.0,1991.0
3.0,5.0,33.7,3.0,5.0,582.8,2.0,5.0,645.4,2.0,5.0,107.5,2.0,4.0,448.0,2.0,4.0,976.3
3.0,6.0,51.2,3.0,6.0,691.5,2.0,6.0,924.5,2.0,6.0,142.9,2.0,6.0,662.6,2.0,5.0,1422.0
4.0,2.0,8.4,4.0,1.0,63.2,4.0,1.0,412.9,3.0,1.0,375.5,3.0,1.0,1120.0,3.0,1.0,1751.0
4.0,3.0,18.8,4.0,3.0,234.2,4.0,2.0,781.4,3.0,2.0,617.9,3.0,2.0,1805.0,3.0,2.0,2581.0
4.0,5.0,11.4,4.0,5.0,93.5,4.0,5.0,900.6,3.0,5.0,524.1,3.0,4.0,1300.0,3.0,4.0,1805.0
4.0,6.0,20.8,4.0,6.0,120.0,4.0,6.0,1290.0,3.0,6.0,614.7,3.0,6.0,1815.0,3.0,5.0,3140.0
5.0,2.0,34.8,5.0,1.0,136.0,5.0,1.0,902.9,5.0,1.0,79.0,4.0,1.0,197.4,4.0,1.0,823.9
5.0,3.0,56.0,5.0,3.0,383.0,5.0,2.0,1562.0,5.0,2.0,143.4,4.0,2.0,380.5,4.0,2.0,1031.0
5.0,4.0,29.7,5.0,4.0,158.2,5.0,4.0,1281.0,5.0,3.0,289.7,4.0,3.0,674.1,4.0,3.0,2003.0
5.0,6.0,52.2,5.0,6.0,248.7,5.0,6.0,1815.0,5.0,6.0,115.7,4.0,6.0,274.6,4.0,5.0,884.6
6.0,2.0,72.7,6.0,1.0,296.3,6.0,1.0,1142.0,6.0,1.0,175.6,6.0,1.0,637.1,5.0,1.0,1227.0
6.0,3.0,118.3,6.0,3.0,697.0,6.0,2.0,1769.0,6.0,2.0,294.6,6.0,2.0,1059.0,5.0,2.0,1853.0
6.0,4.0,70.8,6.0,4.0,328.8,6.0,4.0,1969.0,6.0,3.0,645.4,6.0,3.0,1742.0,5.0,3.0,3168.0
6.0,5.0,100.0,6.0,5.0,401.5,6.0,5.0,2234.0,6.0,5.0,219.6,6.0,4.0,656.3,5.0,4.0,1075.0
