1,尾嶋 一広,尾嶋 一広.1,2,黒柳 浩孝,黒柳 浩孝.1,3,明石 正之,明石 正之.1,4,森 照夫,森 照夫.1,5,大田 直弥,大田 直弥.1,6,浜野 孝志,浜野 孝志.1
2.0,3.0,4.7,1.0,3.0,37.8,1.0,2.0,65.8,1.0,2.0,78.9,1.0,2.0,519.5,1.0,2.0,786.4
2.0,4.0,6.3,1.0,4.0,43.8,1.0,4.0,105.0,1.0,3.0,139.4,1.0,3.0,664.6,1.0,3.0,1182.0
2.0,5.0,13.5,1.0,5.0,90.9,1.0,5.0,147.3,1.0,5.0,105.3,1.0,4.0,606.3,1.0,4.0,1130.0
2.0,6.0,17.8,1.0,6.0,83.1,1.0,6.0,175.4,1.0,6.0,112.1,1.0,6.0,652.0,1.0,5.0,1582.0
3.0,2.0,8.1,3.0,1.0,112.6,2.0,1.0,131.3,2.0,1.0,158.8,2.0,1.0,850.9,2.0,1.0,1025.0
3.0,4.0,13.6,3.0,4.0,250.3,2.0,4.0,281.3,2.0,3.0,368.3,2.0,3.0,1827.0,2.0,3.0,1821.0
3.0,5.0,20.4,3.0,5.0,409.6,2.0,5.0,492.9,2.0,5.0,343.0,2.0,4.0,1587.0,2.0,4.0,1351.0
3.0,6.0,26.9,3.0,6.0,409.0,2.0,6.0,507.8,2.0,6.0,303.5,2.0,6.0,1582.0,2.0,5.0,2276.0
4.0,2.0,14.9,4.0,1.0,164.6,4.0,1.0,298.8,3.0,1.0,373.6,3.0,1.0,1027.0,3.0,1.0,1853.0
4.0,3.0,25.6,4.0,3.0,306.5,4.0,2.0,403.6,3.0,2.0,530.1,3.0,2.0,1873.0,3.0,2.0,2348.0
4.0,5.0,37.8,4.0,5.0,529.1,4.0,5.0,646.4,3.0,5.0,688.4,3.0,4.0,2327.0,3.0,4.0,2790.0
4.0,6.0,38.3,4.0,6.0,418.9,4.0,6.0,696.7,3.0,6.0,712.9,3.0,6.0,2370.0,3.0,5.0,3089.0
5.0,2.0,49.7,5.0,1.0,532.3,5.0,1.0,608.5,5.0,1.0,168.9,4.0,1.0,593.8,4.0,1.0,1320.0
5.0,3.0,63.5,5.0,3.0,973.8,5.0,2.0,1046.0,5.0,2.0,266.3,4.0,2.0,893.3,4.0,2.0,1384.0
5.0,4.0,86.0,5.0,4.0,1021.0,5.0,4.0,1241.0,5.0,3.0,462.6,4.0,3.0,1504.0,4.0,3.0,2495.0
5.0,6.0,101.8,5.0,6.0,1085.0,5.0,6.0,1466.0,5.0,6.0,233.7,4.0,6.0,749.0,4.0,5.0,2101.0
6.0,2.0,79.3,6.0,1.0,509.3,6.0,1.0,720.9,6.0,1.0,266.7,6.0,1.0,1334.0,5.0,1.0,2266.0
6.0,3.0,104.5,6.0,3.0,917.0,6.0,2.0,1109.0,6.0,2.0,346.7,6.0,2.0,1966.0,5.0,2.0,3053.0
6.0,4.0,118.9,6.0,4.0,848.1,6.0,4.0,1462.0,6.0,3.0,696.7,6.0,3.0,2621.0,5.0,3.0,3264.0
6.0,5.0,174.7,6.0,5.0,1291.0,6.0,5.0,1834.0,6.0,5.0,372.6,6.0,4.0,1513.0,5.0,4.0,2381.0
