1,松尾 宣邦,松尾 宣邦.1,2,下田 哲也,下田 哲也.1,3,横田 茂,横田 茂.1,4,井川 大作,井川 大作.1,5,木山 誠一,木山 誠一.1,6,待鳥 雄紀,待鳥 雄紀.1
2.0,3.0,10.1,1.0,3.0,38.5,1.0,2.0,51.6,1.0,2.0,73.7,1.0,2.0,401.9,1.0,2.0,152.4
2.0,4.0,11.6,1.0,4.0,43.2,1.0,4.0,45.1,1.0,3.0,91.1,1.0,3.0,391.6,1.0,3.0,181.2
2.0,5.0,53.5,1.0,5.0,123.0,1.0,5.0,97.6,1.0,5.0,83.9,1.0,4.0,231.5,1.0,4.0,224.4
2.0,6.0,20.5,1.0,6.0,52.1,1.0,6.0,49.3,1.0,6.0,52.9,1.0,6.0,246.8,1.0,5.0,455.5
3.0,2.0,14.0,3.0,1.0,83.9,2.0,1.0,89.6,2.0,1.0,135.5,2.0,1.0,518.6,2.0,1.0,212.9
3.0,4.0,13.9,3.0,4.0,102.0,2.0,4.0,115.6,2.0,3.0,203.3,2.0,3.0,834.4,2.0,3.0,300.4
3.0,5.0,50.6,3.0,5.0,253.3,2.0,5.0,228.1,2.0,5.0,269.3,2.0,4.0,953.6,2.0,4.0,381.9
3.0,6.0,20.2,3.0,6.0,121.9,2.0,6.0,106.6,2.0,6.0,144.7,2.0,6.0,682.3,2.0,5.0,650.5
4.0,2.0,18.3,4.0,1.0,90.5,4.0,1.0,86.4,3.0,1.0,150.5,3.0,1.0,456.9,3.0,1.0,238.7
4.0,3.0,24.0,4.0,3.0,107.9,4.0,2.0,116.6,3.0,2.0,218.7,3.0,2.0,767.6,3.0,2.0,270.7
4.0,5.0,49.5,4.0,5.0,205.5,4.0,5.0,173.8,3.0,5.0,302.2,3.0,4.0,795.4,3.0,4.0,399.8
4.0,6.0,21.9,4.0,6.0,115.5,4.0,6.0,88.5,3.0,6.0,176.8,3.0,6.0,568.6,3.0,5.0,579.3
5.0,2.0,107.3,5.0,1.0,341.1,5.0,1.0,220.9,5.0,1.0,118.4,4.0,1.0,270.3,4.0,1.0,328.0
5.0,3.0,110.2,5.0,3.0,476.8,5.0,2.0,394.6,5.0,2.0,253.3,4.0,2.0,650.5,4.0,2.0,488.9
5.0,4.0,122.6,5.0,4.0,419.4,5.0,4.0,330.8,5.0,3.0,317.8,4.0,3.0,887.4,4.0,3.0,562.3
5.0,6.0,112.7,5.0,6.0,409.4,5.0,6.0,227.1,5.0,6.0,103.0,4.0,6.0,226.1,4.0,5.0,609.2
6.0,2.0,50.6,6.0,1.0,150.9,6.0,1.0,109.5,6.0,1.0,92.7,6.0,1.0,450.2,5.0,1.0,803.8
6.0,3.0,55.8,6.0,3.0,218.7,6.0,2.0,148.4,6.0,2.0,154.3,6.0,2.0,588.2,5.0,2.0,1003.0
6.0,4.0,54.5,6.0,4.0,212.6,6.0,4.0,149.6,6.0,3.0,219.0,6.0,3.0,575.0,5.0,3.0,787.3
6.0,5.0,136.2,6.0,5.0,398.7,6.0,5.0,237.6,6.0,5.0,160.0,6.0,4.0,404.0,5.0,4.0,670.4
