1,富永 修一,富永 修一.1,2,野相 弘司,野相 弘司.1,3,石川 真二,石川 真二.1,4,西山 貴浩,西山 貴浩.1,5,加倉 侑征,加倉 侑征.1,6,渡辺 崇,渡辺 崇.1
2.0,3.0,120.0,1.0,3.0,228.3,1.0,2.0,50.1,1.0,2.0,70.5,1.0,2.0,564.5,1.0,2.0,1599.0
2.0,4.0,90.6,1.0,4.0,196.1,1.0,4.0,11.9,1.0,3.0,16.6,1.0,3.0,335.3,1.0,3.0,952.4
2.0,5.0,286.0,1.0,5.0,544.0,1.0,5.0,56.0,1.0,5.0,48.6,1.0,4.0,228.4,1.0,4.0,637.4
2.0,6.0,409.2,1.0,6.0,647.6,1.0,6.0,78.0,1.0,6.0,49.5,1.0,6.0,523.6,1.0,5.0,2044.0
3.0,2.0,77.0,3.0,1.0,237.2,2.0,1.0,94.4,2.0,1.0,126.5,2.0,1.0,922.0,2.0,1.0,2130.0
3.0,4.0,19.0,3.0,4.0,149.9,2.0,4.0,50.7,2.0,3.0,93.0,2.0,3.0,798.3,2.0,3.0,2086.0
3.0,5.0,96.6,3.0,5.0,421.2,2.0,5.0,153.5,2.0,5.0,162.0,2.0,4.0,690.7,2.0,4.0,1461.0
3.0,6.0,149.3,3.0,6.0,558.3,2.0,6.0,216.5,2.0,6.0,177.6,2.0,6.0,1222.0,2.0,5.0,2274.0
4.0,2.0,57.3,4.0,1.0,206.3,4.0,1.0,10.3,3.0,1.0,13.3,3.0,1.0,296.9,3.0,1.0,753.7
4.0,3.0,21.0,4.0,3.0,163.5,4.0,2.0,28.2,3.0,2.0,47.6,3.0,2.0,556.0,3.0,2.0,1625.0
4.0,5.0,58.6,4.0,5.0,279.7,4.0,5.0,20.7,3.0,5.0,22.3,3.0,4.0,168.5,3.0,4.0,346.8
4.0,6.0,77.5,4.0,6.0,316.4,4.0,6.0,21.4,3.0,6.0,19.5,3.0,6.0,446.7,3.0,5.0,1305.0
5.0,2.0,392.2,5.0,1.0,803.1,5.0,1.0,117.3,5.0,1.0,40.6,4.0,1.0,204.4,4.0,1.0,471.7
5.0,3.0,225.8,5.0,3.0,577.4,5.0,2.0,219.1,5.0,2.0,95.3,4.0,2.0,414.3,4.0,2.0,1056.0
5.0,4.0,142.2,5.0,4.0,473.9,5.0,4.0,64.8,5.0,3.0,25.6,4.0,3.0,156.9,4.0,3.0,284.0
5.0,6.0,539.7,5.0,6.0,787.5,5.0,6.0,197.8,5.0,6.0,33.6,4.0,6.0,208.1,4.0,5.0,529.8
6.0,2.0,852.1,6.0,1.0,1272.0,6.0,1.0,202.9,6.0,1.0,54.3,6.0,1.0,1102.0,5.0,1.0,2187.0
6.0,3.0,426.0,6.0,3.0,1241.0,6.0,2.0,398.0,6.0,2.0,127.4,6.0,2.0,1550.0,5.0,2.0,2498.0
6.0,4.0,288.9,6.0,4.0,814.4,6.0,4.0,87.6,6.0,3.0,32.8,6.0,3.0,782.9,5.0,3.0,1482.0
6.0,5.0,861.2,6.0,5.0,1176.0,6.0,5.0,293.7,6.0,5.0,51.6,6.0,4.0,480.7,5.0,4.0,776.9
