1,三好 勇人,三好 勇人.1,2,後藤 浩,後藤 浩.1,3,向後 龍一,向後 龍一.1,4,田中 宏樹,田中 宏樹.1,5,田頭 虎親,田頭 虎親.1,6,深川 真二,深川 真二.1
2.0,3.0,51.3,1.0,3.0,179.2,1.0,2.0,106.7,1.0,2.0,238.5,1.0,2.0,251.8,1.0,2.0,36.5
2.0,4.0,144.2,1.0,4.0,387.5,1.0,4.0,90.2,1.0,3.0,144.0,1.0,3.0,111.9,1.0,3.0,20.2
2.0,5.0,71.5,1.0,5.0,251.8,1.0,5.0,38.1,1.0,5.0,174.6,1.0,4.0,228.4,1.0,4.0,60.9
2.0,6.0,38.9,1.0,6.0,167.9,1.0,6.0,35.1,1.0,6.0,106.6,1.0,6.0,90.2,1.0,5.0,25.5
3.0,2.0,42.8,3.0,1.0,275.5,2.0,1.0,215.2,2.0,1.0,469.5,2.0,1.0,488.1,2.0,1.0,130.8
3.0,4.0,63.0,3.0,4.0,380.5,2.0,4.0,284.9,2.0,3.0,437.3,2.0,3.0,447.8,2.0,3.0,146.7
3.0,5.0,24.4,3.0,5.0,230.6,2.0,5.0,158.0,2.0,5.0,477.0,2.0,4.0,707.6,2.0,4.0,279.1
3.0,6.0,15.4,3.0,6.0,227.3,2.0,6.0,160.1,2.0,6.0,341.9,2.0,6.0,446.6,2.0,5.0,194.4
4.0,2.0,260.6,4.0,1.0,678.0,4.0,1.0,122.7,3.0,1.0,214.4,3.0,1.0,104.3,3.0,1.0,45.8
4.0,3.0,117.2,4.0,3.0,597.5,4.0,2.0,267.4,3.0,2.0,426.9,3.0,2.0,271.9,3.0,2.0,118.6
4.0,5.0,172.3,4.0,5.0,678.0,4.0,5.0,89.5,3.0,5.0,175.9,3.0,4.0,171.6,3.0,4.0,117.0
4.0,6.0,103.8,4.0,6.0,609.8,4.0,6.0,98.9,3.0,6.0,161.2,3.0,6.0,94.1,3.0,5.0,58.8
5.0,2.0,98.9,5.0,1.0,420.4,5.0,1.0,39.4,5.0,1.0,172.2,4.0,1.0,356.6,4.0,1.0,201.7
5.0,3.0,48.8,5.0,3.0,343.6,5.0,2.0,103.7,5.0,2.0,375.7,4.0,2.0,579.1,4.0,2.0,435.7
5.0,4.0,135.4,5.0,4.0,641.5,5.0,4.0,60.7,5.0,3.0,145.2,4.0,3.0,293.3,4.0,3.0,184.3
5.0,6.0,37.9,5.0,6.0,390.9,5.0,6.0,36.5,5.0,6.0,131.8,4.0,6.0,290.2,4.0,5.0,258.0
6.0,2.0,20.1,6.0,1.0,226.4,6.0,1.0,46.6,6.0,1.0,114.0,6.0,1.0,107.3,5.0,1.0,78.8
6.0,3.0,10.7,6.0,3.0,234.3,6.0,2.0,121.2,6.0,2.0,209.8,6.0,2.0,344.2,5.0,2.0,224.3
6.0,4.0,38.0,6.0,4.0,479.6,6.0,4.0,97.5,6.0,3.0,123.3,6.0,3.0,127.9,5.0,3.0,89.4
6.0,5.0,16.3,6.0,5.0,330.5,6.0,5.0,45.9,6.0,5.0,141.0,6.0,4.0,259.1,5.0,4.0,213.4
