1,田中 孝明,田中 孝明.1,2,田中 宏樹,田中 宏樹.1,3,渡辺 崇,渡辺 崇.1,4,松尾 宣邦,松尾 宣邦.1,5,岡崎 恭裕,岡崎 恭裕.1,6,丸山 祐也,丸山 祐也.1
2.0,3.0,65.2,1.0,3.0,68.1,1.0,2.0,144.7,1.0,2.0,94.2,1.0,2.0,22.3,1.0,2.0,640.9
2.0,4.0,57.8,1.0,4.0,62.2,1.0,4.0,153.8,1.0,3.0,131.8,1.0,3.0,36.1,1.0,3.0,821.7
2.0,5.0,21.2,1.0,5.0,30.5,1.0,5.0,81.4,1.0,5.0,54.0,1.0,4.0,40.9,1.0,4.0,1020.0
2.0,6.0,176.1,1.0,6.0,112.3,1.0,6.0,412.3,1.0,6.0,209.5,1.0,6.0,82.0,1.0,5.0,649.1
3.0,2.0,72.7,3.0,1.0,112.7,2.0,1.0,223.2,2.0,1.0,126.6,2.0,1.0,24.1,2.0,1.0,592.2
3.0,4.0,55.1,3.0,4.0,112.1,2.0,4.0,285.9,2.0,3.0,194.7,2.0,3.0,37.5,2.0,3.0,566.0
3.0,5.0,28.0,3.0,5.0,64.1,2.0,5.0,140.4,2.0,5.0,80.1,2.0,4.0,42.0,2.0,4.0,752.7
3.0,6.0,227.6,3.0,6.0,168.3,2.0,6.0,573.2,2.0,6.0,246.7,2.0,6.0,45.3,2.0,5.0,350.9
4.0,2.0,55.0,4.0,1.0,73.9,4.0,1.0,240.7,3.0,1.0,208.8,3.0,1.0,68.2,3.0,1.0,925.8
4.0,3.0,59.5,4.0,3.0,94.6,4.0,2.0,315.9,3.0,2.0,279.9,3.0,2.0,69.7,3.0,2.0,841.0
4.0,5.0,24.6,4.0,5.0,43.9,4.0,5.0,175.2,3.0,5.0,144.7,3.0,4.0,117.3,3.0,4.0,1571.0
4.0,6.0,151.8,4.0,6.0,125.4,4.0,6.0,751.1,3.0,6.0,558.9,3.0,6.0,184.8,3.0,5.0,1312.0
5.0,2.0,15.2,5.0,1.0,30.1,5.0,1.0,85.9,5.0,1.0,56.4,4.0,1.0,69.8,4.0,1.0,1331.0
5.0,3.0,20.9,5.0,3.0,43.0,5.0,2.0,105.2,5.0,2.0,60.8,4.0,2.0,63.9,4.0,2.0,1082.0
5.0,4.0,21.7,5.0,4.0,36.5,5.0,4.0,131.6,5.0,3.0,93.4,4.0,3.0,104.8,4.0,3.0,1416.0
5.0,6.0,75.2,5.0,6.0,45.1,5.0,6.0,330.2,5.0,6.0,108.4,4.0,6.0,124.8,4.0,5.0,992.5
6.0,2.0,335.4,6.0,1.0,124.5,6.0,1.0,737.2,6.0,1.0,575.1,6.0,1.0,165.4,5.0,1.0,785.7
6.0,3.0,383.2,6.0,3.0,175.5,6.0,2.0,845.0,6.0,2.0,622.0,6.0,2.0,105.1,5.0,2.0,387.3
6.0,4.0,329.9,6.0,4.0,191.1,6.0,4.0,1178.0,6.0,3.0,784.0,6.0,3.0,252.6,5.0,3.0,1032.0
6.0,5.0,260.9,6.0,5.0,102.9,6.0,5.0,799.7,6.0,5.0,409.9,6.0,4.0,249.5,5.0,4.0,987.0
