1,入海 馨,入海 馨.1,2,乙藤 智史,乙藤 智史.1,3,小林 基樹,小林 基樹.1,4,馬野 耀,馬野 耀.1,5,伏島 祐介,伏島 祐介.1,6,藤原 仙二,藤原 仙二.1
2.0,3.0,12.5,1.0,3.0,84.6,1.0,2.0,416.1,1.0,2.0,28.8,1.0,2.0,266.6,1.0,2.0,314.6
2.0,4.0,4.1,1.0,4.0,21.8,1.0,4.0,318.7,1.0,3.0,152.6,1.0,3.0,739.8,1.0,3.0,701.9
2.0,5.0,26.2,1.0,5.0,99.3,1.0,5.0,446.3,1.0,5.0,60.8,1.0,4.0,251.9,1.0,4.0,238.2
2.0,6.0,14.5,1.0,6.0,62.0,1.0,6.0,413.3,1.0,6.0,41.3,1.0,6.0,386.1,1.0,5.0,701.9
3.0,2.0,38.8,3.0,1.0,369.9,2.0,1.0,490.8,2.0,1.0,50.4,2.0,1.0,760.4,2.0,1.0,368.8
3.0,4.0,31.4,3.0,4.0,527.5,2.0,4.0,517.6,2.0,3.0,347.5,2.0,3.0,1971.0,2.0,3.0,1493.0
3.0,5.0,76.4,3.0,5.0,1022.0,2.0,5.0,635.0,2.0,5.0,127.9,2.0,4.0,1030.0,2.0,4.0,673.1
3.0,6.0,63.1,3.0,6.0,824.0,2.0,6.0,1457.0,2.0,6.0,86.1,2.0,6.0,1071.0,2.0,5.0,1424.0
4.0,2.0,6.6,4.0,1.0,61.8,4.0,1.0,481.2,3.0,1.0,359.1,3.0,1.0,1484.0,3.0,1.0,1449.0
4.0,3.0,22.6,4.0,3.0,322.9,4.0,2.0,701.9,3.0,2.0,838.0,3.0,2.0,2593.0,3.0,2.0,2540.0
4.0,5.0,24.3,4.0,5.0,301.5,4.0,5.0,1838.0,3.0,5.0,1296.0,3.0,4.0,2737.0,3.0,4.0,1384.0
4.0,6.0,13.4,4.0,6.0,157.4,4.0,6.0,1263.0,3.0,6.0,779.6,3.0,6.0,2346.0,3.0,5.0,2968.0
5.0,2.0,81.9,5.0,1.0,436.8,5.0,1.0,1331.0,5.0,1.0,92.1,4.0,1.0,279.9,4.0,1.0,280.2
5.0,3.0,140.5,5.0,3.0,1368.0,5.0,2.0,1825.0,5.0,2.0,130.0,4.0,2.0,375.0,4.0,2.0,394.2
5.0,4.0,79.9,5.0,4.0,852.5,5.0,4.0,2053.0,5.0,3.0,328.0,4.0,3.0,1167.0,4.0,3.0,1384.0
5.0,6.0,97.9,5.0,6.0,973.8,5.0,6.0,1880.0,5.0,6.0,105.8,4.0,6.0,337.9,4.0,5.0,997.4
6.0,2.0,49.0,6.0,1.0,313.0,6.0,1.0,623.7,6.0,1.0,79.9,6.0,1.0,746.6,5.0,1.0,1173.0
6.0,3.0,126.9,6.0,3.0,1263.0,6.0,2.0,2003.0,6.0,2.0,109.3,6.0,2.0,1104.0,5.0,2.0,1798.0
6.0,4.0,46.3,6.0,4.0,472.9,6.0,4.0,1838.0,6.0,3.0,434.5,6.0,3.0,2180.0,5.0,3.0,2439.0
6.0,5.0,131.5,6.0,5.0,1071.0,6.0,5.0,2219.0,6.0,5.0,137.7,6.0,4.0,892.6,5.0,4.0,1399.0
