1,原田 秀弥,原田 秀弥.1,2,上田 龍星,上田 龍星.1,3,峰重 侑治,峰重 侑治.1,4,香月 大輝,香月 大輝.1,5,津留　浩一郎,津留　浩一郎.1,6,石田 政吾,石田 政吾.1
2.0,3.0,7.6,1.0,3.0,8.4,1.0,2.0,49.2,1.0,2.0,615.2,1.0,2.0,49.8,1.0,2.0,379.9
2.0,4.0,103.9,1.0,4.0,78.3,1.0,4.0,370.8,1.0,3.0,1189.0,1.0,3.0,87.3,1.0,3.0,618.7
2.0,5.0,10.9,1.0,5.0,12.1,1.0,5.0,72.0,1.0,5.0,538.7,1.0,4.0,311.1,1.0,4.0,1746.0
2.0,6.0,22.8,1.0,6.0,20.0,1.0,6.0,110.4,1.0,6.0,1002.0,1.0,6.0,82.5,1.0,5.0,751.9
3.0,2.0,17.2,3.0,1.0,26.0,2.0,1.0,51.8,2.0,1.0,966.8,2.0,1.0,55.1,2.0,1.0,356.1
3.0,4.0,209.4,3.0,4.0,147.1,2.0,4.0,299.9,2.0,3.0,1336.0,2.0,3.0,73.3,2.0,3.0,393.7
3.0,5.0,21.7,3.0,5.0,30.3,2.0,5.0,56.9,2.0,5.0,1289.0,2.0,4.0,244.9,2.0,4.0,1176.0
3.0,6.0,56.5,3.0,6.0,43.1,2.0,6.0,84.2,2.0,6.0,941.5,2.0,6.0,64.3,2.0,5.0,424.6
4.0,2.0,317.5,4.0,1.0,279.8,4.0,1.0,966.8,3.0,1.0,1866.0,3.0,1.0,166.8,3.0,1.0,859.3
4.0,3.0,523.1,4.0,3.0,271.3,4.0,2.0,505.9,3.0,2.0,1216.0,3.0,2.0,124.6,3.0,2.0,541.4
4.0,5.0,558.1,4.0,5.0,373.3,4.0,5.0,808.0,3.0,5.0,1002.0,3.0,4.0,598.2,3.0,4.0,2082.0
4.0,6.0,501.3,4.0,6.0,356.1,4.0,6.0,1230.0,3.0,6.0,1775.0,3.0,6.0,194.4,3.0,5.0,958.2
5.0,2.0,29.2,5.0,1.0,33.4,5.0,1.0,111.7,5.0,1.0,549.6,4.0,1.0,505.9,4.0,1.0,2460.0
5.0,3.0,51.4,5.0,3.0,42.6,5.0,2.0,80.5,5.0,2.0,1151.0,4.0,2.0,453.0,4.0,2.0,1835.0
5.0,4.0,323.2,5.0,4.0,211.4,5.0,4.0,496.7,5.0,3.0,1336.0,4.0,3.0,685.3,4.0,3.0,2578.0
5.0,6.0,93.2,5.0,6.0,53.7,5.0,6.0,157.1,5.0,6.0,1203.0,4.0,6.0,426.3,4.0,5.0,2776.0
6.0,2.0,86.0,6.0,1.0,90.0,6.0,1.0,360.9,6.0,1.0,1546.0,6.0,1.0,128.6,5.0,1.0,698.5
6.0,3.0,159.2,6.0,3.0,102.2,6.0,2.0,254.7,6.0,2.0,1176.0,6.0,2.0,97.1,5.0,2.0,388.1
6.0,4.0,681.0,6.0,4.0,330.1,6.0,4.0,966.8,6.0,3.0,2082.0,6.0,3.0,201.6,5.0,3.0,731.6
6.0,5.0,187.6,6.0,5.0,104.6,6.0,5.0,349.2,6.0,5.0,2082.0,6.0,4.0,330.1,5.0,4.0,1230.0
