1,今井 貴士,今井 貴士.1,2,岡村 慶太,岡村 慶太.1,3,篠原 飛翔,篠原 飛翔.1,4,乙藤 智史,乙藤 智史.1,5,前田 将太,前田 将太.1,6,安部 慎一,安部 慎一.1
2.0,3.0,7.8,1.0,3.0,48.7,1.0,2.0,132.0,1.0,2.0,235.9,1.0,2.0,31.8,1.0,2.0,2034.0
2.0,4.0,10.1,1.0,4.0,55.6,1.0,4.0,199.0,1.0,3.0,470.4,1.0,3.0,63.8,1.0,3.0,3059.0
2.0,5.0,5.5,1.0,5.0,29.7,1.0,5.0,87.9,1.0,5.0,190.9,1.0,4.0,79.9,1.0,4.0,1906.0
2.0,6.0,113.2,1.0,6.0,366.6,1.0,6.0,508.6,1.0,6.0,553.0,1.0,6.0,147.4,1.0,5.0,1436.0
3.0,2.0,13.9,3.0,1.0,187.9,2.0,1.0,294.0,2.0,1.0,392.6,2.0,1.0,69.1,2.0,1.0,2625.0
3.0,4.0,23.3,3.0,4.0,484.3,2.0,4.0,561.0,2.0,3.0,1032.0,2.0,3.0,212.7,2.0,3.0,4089.0
3.0,5.0,12.0,3.0,5.0,223.3,2.0,5.0,268.1,2.0,5.0,426.5,2.0,4.0,216.6,2.0,4.0,4210.0
3.0,6.0,171.6,3.0,6.0,1687.0,2.0,6.0,1288.0,2.0,6.0,2044.0,2.0,6.0,498.5,2.0,5.0,3730.0
4.0,2.0,25.2,4.0,1.0,245.3,4.0,1.0,590.6,3.0,1.0,1024.0,3.0,1.0,161.0,3.0,1.0,3666.0
4.0,3.0,38.3,4.0,3.0,685.9,4.0,2.0,838.7,3.0,2.0,1540.0,3.0,2.0,287.1,3.0,2.0,5452.0
4.0,5.0,24.2,4.0,5.0,325.3,4.0,5.0,568.5,3.0,5.0,949.2,3.0,4.0,524.3,3.0,4.0,6443.0
4.0,6.0,186.6,4.0,6.0,2015.0,4.0,6.0,1959.0,3.0,6.0,2797.0,3.0,6.0,975.3,3.0,5.0,5595.0
5.0,2.0,8.2,5.0,1.0,68.2,5.0,1.0,165.4,5.0,1.0,243.1,4.0,1.0,226.3,4.0,1.0,2126.0
5.0,3.0,14.2,5.0,3.0,194.7,5.0,2.0,241.2,5.0,2.0,354.9,4.0,2.0,305.5,4.0,2.0,5746.0
5.0,4.0,20.3,5.0,4.0,217.4,5.0,4.0,443.4,5.0,3.0,664.4,4.0,3.0,572.3,4.0,3.0,6542.0
5.0,6.0,88.6,5.0,6.0,813.1,5.0,6.0,1187.0,5.0,6.0,928.5,4.0,6.0,400.4,4.0,5.0,2531.0
6.0,2.0,355.2,6.0,1.0,1701.0,6.0,1.0,2074.0,6.0,1.0,1592.0,6.0,1.0,523.7,5.0,1.0,1492.0
6.0,3.0,539.6,6.0,3.0,2994.0,6.0,2.0,3221.0,6.0,2.0,3197.0,6.0,2.0,906.7,5.0,2.0,3866.0
6.0,4.0,470.4,6.0,4.0,2761.0,6.0,4.0,4944.0,6.0,3.0,3901.0,6.0,3.0,1535.0,5.0,3.0,4888.0
6.0,5.0,363.4,6.0,5.0,2250.0,6.0,5.0,3271.0,6.0,5.0,1648.0,6.0,4.0,1158.0,5.0,4.0,2226.0
