1,峰重 力也,峰重 力也.1,2,清水 敦揮,清水 敦揮.1,3,向井田　佑紀,向井田　佑紀.1,4,伊藤 将吉,伊藤 将吉.1,5,藤丸 光一,藤丸 光一.1,6,樫葉 次郎,樫葉 次郎.1
2.0,3.0,24.8,1.0,3.0,23.7,1.0,2.0,102.2,1.0,2.0,38.1,1.0,2.0,87.0,1.0,2.0,1174.0
2.0,4.0,13.4,1.0,4.0,13.9,1.0,4.0,80.3,1.0,3.0,85.7,1.0,3.0,136.8,1.0,3.0,2086.0
2.0,5.0,26.7,1.0,5.0,38.4,1.0,5.0,155.1,1.0,5.0,66.1,1.0,4.0,101.5,1.0,4.0,620.0
2.0,6.0,189.4,1.0,6.0,160.0,1.0,6.0,421.2,1.0,6.0,93.9,1.0,6.0,400.3,1.0,5.0,1418.0
3.0,2.0,42.0,3.0,1.0,37.1,2.0,1.0,85.2,2.0,1.0,33.0,2.0,1.0,114.4,2.0,1.0,1151.0
3.0,4.0,44.5,3.0,4.0,22.8,2.0,4.0,49.4,2.0,3.0,40.3,2.0,3.0,121.3,2.0,3.0,2111.0
3.0,5.0,69.1,3.0,5.0,55.6,2.0,5.0,84.7,2.0,5.0,47.6,2.0,4.0,92.8,2.0,4.0,848.5
3.0,6.0,290.2,3.0,6.0,164.5,2.0,6.0,228.2,2.0,6.0,78.6,2.0,6.0,469.1,2.0,5.0,2015.0
4.0,2.0,21.5,4.0,1.0,22.4,4.0,1.0,79.2,3.0,1.0,85.4,3.0,1.0,234.8,3.0,1.0,2162.0
4.0,3.0,56.9,4.0,3.0,22.0,4.0,2.0,55.9,3.0,2.0,58.6,3.0,2.0,188.8,3.0,2.0,2686.0
4.0,5.0,47.7,4.0,5.0,34.6,4.0,5.0,100.9,3.0,5.0,108.9,3.0,4.0,244.9,3.0,4.0,1721.0
4.0,6.0,166.8,4.0,6.0,91.1,4.0,6.0,136.8,3.0,6.0,139.0,3.0,6.0,958.5,3.0,5.0,3546.0
5.0,2.0,41.5,5.0,1.0,81.9,5.0,1.0,308.9,5.0,1.0,85.6,4.0,1.0,161.8,4.0,1.0,540.6
5.0,3.0,76.0,5.0,3.0,81.0,5.0,2.0,170.0,5.0,2.0,66.6,4.0,2.0,141.8,4.0,2.0,729.7
5.0,4.0,57.3,5.0,4.0,57.2,5.0,4.0,207.4,5.0,3.0,138.3,4.0,3.0,240.6,4.0,3.0,1294.0
5.0,6.0,333.9,5.0,6.0,345.0,5.0,6.0,798.8,5.0,6.0,143.9,4.0,6.0,485.8,4.0,5.0,943.2
6.0,2.0,442.2,6.0,1.0,695.4,6.0,1.0,726.7,6.0,1.0,96.8,6.0,1.0,1151.0,5.0,1.0,2136.0
6.0,3.0,666.6,6.0,3.0,651.9,6.0,2.0,587.2,6.0,2.0,94.9,6.0,2.0,1214.0,5.0,2.0,2533.0
6.0,4.0,327.7,6.0,4.0,401.2,6.0,4.0,446.6,6.0,3.0,209.8,6.0,3.0,2062.0,5.0,3.0,4433.0
6.0,5.0,624.4,6.0,5.0,654.3,6.0,5.0,963.7,6.0,5.0,142.5,6.0,4.0,1144.0,5.0,4.0,2062.0
