1,松尾 充,松尾 充.1,2,吉本 玲緒,吉本 玲緒.1,3,菅 章哉,菅 章哉.1,4,高山 敬悟,高山 敬悟.1,5,小林 基樹,小林 基樹.1,6,伊藤 誠二,伊藤 誠二.1
2.0,3.0,50.2,1.0,3.0,237.9,1.0,2.0,25.5,1.0,2.0,466.2,1.0,2.0,1113.0,1.0,2.0,539.9
2.0,4.0,156.9,1.0,4.0,753.4,1.0,4.0,14.3,1.0,3.0,152.3,1.0,3.0,317.2,1.0,3.0,123.7
2.0,5.0,201.1,1.0,5.0,945.9,1.0,5.0,15.3,1.0,5.0,286.5,1.0,4.0,766.7,1.0,4.0,396.9
2.0,6.0,137.9,1.0,6.0,651.5,1.0,6.0,7.9,1.0,6.0,190.7,1.0,6.0,435.9,1.0,5.0,473.8
3.0,2.0,18.5,3.0,1.0,269.2,2.0,1.0,79.9,2.0,1.0,1062.0,2.0,1.0,1804.0,2.0,1.0,1034.0
3.0,4.0,14.8,3.0,4.0,971.7,2.0,4.0,209.3,2.0,3.0,799.5,2.0,3.0,1506.0,2.0,3.0,1056.0
3.0,5.0,17.2,3.0,5.0,1115.0,2.0,5.0,205.5,2.0,5.0,947.0,2.0,4.0,2013.0,2.0,4.0,1533.0
3.0,6.0,8.6,3.0,6.0,787.4,2.0,6.0,122.3,2.0,6.0,660.3,2.0,6.0,1248.0,2.0,5.0,1882.0
4.0,2.0,170.9,4.0,1.0,1262.0,4.0,1.0,23.4,3.0,1.0,117.0,3.0,1.0,288.3,3.0,1.0,103.0
4.0,3.0,52.7,4.0,3.0,1164.0,4.0,2.0,116.6,3.0,2.0,393.9,3.0,2.0,871.4,3.0,2.0,426.9
4.0,5.0,130.0,4.0,5.0,1582.0,4.0,5.0,32.4,3.0,5.0,146.8,3.0,4.0,417.1,3.0,4.0,216.1
4.0,6.0,88.1,4.0,6.0,1087.0,4.0,6.0,19.3,3.0,6.0,106.0,3.0,6.0,273.5,3.0,5.0,264.1
5.0,2.0,274.9,5.0,1.0,1670.0,5.0,1.0,38.0,5.0,1.0,375.4,4.0,1.0,910.8,4.0,1.0,540.7
5.0,3.0,74.0,5.0,3.0,1625.0,5.0,2.0,143.5,5.0,2.0,693.5,4.0,2.0,1674.0,4.0,2.0,1173.0
5.0,4.0,220.7,5.0,4.0,2034.0,5.0,4.0,48.1,5.0,3.0,308.8,4.0,3.0,610.5,4.0,3.0,372.1
5.0,6.0,133.9,5.0,6.0,1649.0,5.0,6.0,32.8,5.0,6.0,287.2,4.0,6.0,599.3,4.0,5.0,650.4
6.0,2.0,155.1,6.0,1.0,1156.0,6.0,1.0,14.8,6.0,1.0,256.3,6.0,1.0,627.1,5.0,1.0,833.4
6.0,3.0,38.3,6.0,3.0,1198.0,6.0,2.0,85.4,6.0,2.0,548.2,6.0,2.0,1177.0,5.0,2.0,1788.0
6.0,4.0,114.0,6.0,4.0,1489.0,6.0,4.0,26.0,6.0,3.0,202.8,6.0,3.0,408.4,5.0,3.0,511.8
6.0,5.0,127.4,6.0,5.0,1740.0,6.0,5.0,32.1,6.0,5.0,312.8,6.0,4.0,605.8,5.0,4.0,815.3
