1,佐々木　裕美,佐々木　裕美.1,2,村上 奈穂,村上 奈穂.1,3,中川 りな,中川 りな.1,4,平田　さやか,平田　さやか.1,5,井上 未都,井上 未都.1,6,小野 生奈,小野 生奈.1
2.0,3.0,48.4,1.0,3.0,112.4,1.0,2.0,108.7,1.0,2.0,173.6,1.0,2.0,263.1,1.0,2.0,125.1
2.0,4.0,58.7,1.0,4.0,131.5,1.0,4.0,49.8,1.0,3.0,85.2,1.0,3.0,186.1,1.0,3.0,52.5
2.0,5.0,77.9,1.0,5.0,188.8,1.0,5.0,87.5,1.0,5.0,111.7,1.0,4.0,190.7,1.0,4.0,63.5
2.0,6.0,47.8,1.0,6.0,102.5,1.0,6.0,37.2,1.0,6.0,52.9,1.0,6.0,94.7,1.0,5.0,90.0
3.0,2.0,41.3,3.0,1.0,184.9,2.0,1.0,187.6,2.0,1.0,323.0,2.0,1.0,415.8,2.0,1.0,235.4
3.0,4.0,16.6,3.0,4.0,228.6,2.0,4.0,227.3,2.0,3.0,393.0,2.0,3.0,504.4,2.0,3.0,250.6
3.0,5.0,36.0,3.0,5.0,298.9,2.0,5.0,280.5,2.0,5.0,386.9,2.0,4.0,495.9,2.0,4.0,226.6
3.0,6.0,14.2,3.0,6.0,166.4,2.0,6.0,174.0,2.0,6.0,195.2,2.0,6.0,230.9,2.0,5.0,251.9
4.0,2.0,64.6,4.0,1.0,258.2,4.0,1.0,79.6,3.0,1.0,114.8,3.0,1.0,305.6,3.0,1.0,78.2
4.0,3.0,29.7,4.0,3.0,330.8,4.0,2.0,212.4,3.0,2.0,328.5,3.0,2.0,568.1,3.0,2.0,243.5
4.0,5.0,56.4,4.0,5.0,326.8,4.0,5.0,129.1,3.0,5.0,191.7,3.0,4.0,385.8,3.0,4.0,88.8
4.0,6.0,21.1,4.0,6.0,167.9,4.0,6.0,53.2,3.0,6.0,82.0,3.0,6.0,194.6,3.0,5.0,139.1
5.0,2.0,123.6,5.0,1.0,343.3,5.0,1.0,180.0,5.0,1.0,129.8,4.0,1.0,222.5,4.0,1.0,89.6
5.0,3.0,82.6,5.0,3.0,422.4,5.0,2.0,362.0,5.0,2.0,263.2,4.0,2.0,416.0,4.0,2.0,173.4
5.0,4.0,94.9,5.0,4.0,406.6,5.0,4.0,207.8,5.0,3.0,204.1,4.0,3.0,332.4,4.0,3.0,92.0
5.0,6.0,49.6,5.0,6.0,207.0,5.0,6.0,103.2,5.0,6.0,57.3,4.0,6.0,85.7,4.0,5.0,75.1
6.0,2.0,52.6,6.0,1.0,175.6,6.0,1.0,50.2,6.0,1.0,53.0,6.0,1.0,83.6,5.0,1.0,111.4
6.0,3.0,23.7,6.0,3.0,218.1,6.0,2.0,155.5,6.0,2.0,115.9,6.0,2.0,136.2,5.0,2.0,186.1
6.0,4.0,23.6,6.0,4.0,178.8,6.0,4.0,56.5,6.0,3.0,66.2,6.0,3.0,108.2,5.0,3.0,118.9
6.0,5.0,41.8,6.0,5.0,206.7,6.0,5.0,85.9,6.0,5.0,48.4,6.0,4.0,71.6,5.0,4.0,84.5
