1,深川 和仁,深川 和仁.1,2,小野 信樹,小野 信樹.1,3,青木　幸太郎,青木　幸太郎.1,4,土井 歩夢,土井 歩夢.1,5,谷口 健一,谷口 健一.1,6,中田 元泰,中田 元泰.1
2.0,3.0,43.1,1.0,3.0,176.5,1.0,2.0,94.9,1.0,2.0,233.0,1.0,2.0,705.3,1.0,2.0,54.8
2.0,4.0,61.9,1.0,4.0,232.6,1.0,4.0,40.2,1.0,3.0,107.1,1.0,3.0,690.4,1.0,3.0,21.4
2.0,5.0,141.9,1.0,5.0,580.4,1.0,5.0,96.9,1.0,5.0,275.6,1.0,4.0,964.6,1.0,4.0,49.1
2.0,6.0,34.8,1.0,6.0,135.1,1.0,6.0,17.9,1.0,6.0,66.8,1.0,6.0,607.3,1.0,5.0,71.1
3.0,2.0,34.1,3.0,1.0,267.7,2.0,1.0,193.2,2.0,1.0,341.6,2.0,1.0,964.6,2.0,1.0,105.3
3.0,4.0,17.2,3.0,4.0,526.8,2.0,4.0,242.4,2.0,3.0,544.3,2.0,3.0,2049.0,2.0,3.0,148.5
3.0,5.0,60.5,3.0,5.0,892.4,2.0,5.0,449.2,2.0,5.0,911.0,2.0,4.0,2342.0,2.0,4.0,271.6
3.0,6.0,8.0,3.0,6.0,226.1,2.0,6.0,111.8,2.0,6.0,317.6,2.0,6.0,1352.0,2.0,5.0,376.9
4.0,2.0,67.5,4.0,1.0,408.6,4.0,1.0,61.6,3.0,1.0,134.8,3.0,1.0,1102.0,3.0,1.0,29.8
4.0,3.0,30.1,4.0,3.0,712.9,4.0,2.0,177.0,3.0,2.0,427.3,3.0,2.0,2385.0,3.0,2.0,106.0
4.0,5.0,100.0,4.0,5.0,1111.0,4.0,5.0,144.1,3.0,5.0,392.7,3.0,4.0,1619.0,3.0,4.0,65.2
4.0,6.0,25.2,4.0,6.0,431.5,4.0,6.0,41.3,3.0,6.0,84.0,3.0,6.0,880.4,3.0,5.0,114.7
5.0,2.0,327.9,5.0,1.0,1395.0,5.0,1.0,327.1,5.0,1.0,555.8,4.0,1.0,1525.0,4.0,1.0,87.9
5.0,3.0,184.2,5.0,3.0,2150.0,5.0,2.0,652.6,5.0,2.0,846.3,4.0,2.0,2150.0,4.0,2.0,222.3
5.0,4.0,301.5,5.0,4.0,2475.0,5.0,4.0,443.2,5.0,3.0,669.3,4.0,3.0,1525.0,4.0,3.0,93.6
5.0,6.0,150.1,5.0,6.0,1130.0,5.0,6.0,200.5,5.0,6.0,329.6,4.0,6.0,930.4,4.0,5.0,181.1
6.0,2.0,28.9,6.0,1.0,238.0,6.0,1.0,22.2,6.0,1.0,72.8,6.0,1.0,1001.0,5.0,1.0,143.8
6.0,3.0,9.1,6.0,3.0,290.8,6.0,2.0,74.6,6.0,2.0,198.7,6.0,2.0,1639.0,5.0,2.0,386.9
6.0,4.0,21.0,6.0,4.0,455.5,6.0,4.0,34.1,6.0,3.0,85.2,6.0,3.0,835.5,5.0,3.0,215.7
6.0,5.0,54.8,6.0,5.0,943.8,6.0,5.0,73.9,6.0,5.0,157.1,6.0,4.0,1032.0,5.0,4.0,287.0
