1,刑部　亜里紗,刑部　亜里紗.1,2,實森 美祐,實森 美祐.1,3,向井 美鈴,向井 美鈴.1,4,大橋　栄里佳,大橋　栄里佳.1,5,加藤 綾,加藤 綾.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,4.9,1.0,3.0,16.2,1.0,2.0,53.2,1.0,2.0,145.6,1.0,2.0,258.6,1.0,2.0,361.6
2.0,4.0,9.5,1.0,4.0,26.9,1.0,4.0,107.8,1.0,3.0,244.6,1.0,3.0,401.7,1.0,3.0,576.1
2.0,5.0,14.4,1.0,5.0,41.6,1.0,5.0,128.4,1.0,5.0,260.1,1.0,4.0,479.2,1.0,4.0,822.8
2.0,6.0,16.1,1.0,6.0,41.9,1.0,6.0,173.4,1.0,6.0,257.5,1.0,6.0,507.0,1.0,5.0,1131.0
3.0,2.0,8.4,3.0,1.0,39.5,2.0,1.0,69.6,2.0,1.0,212.3,2.0,1.0,400.1,2.0,1.0,521.7
3.0,4.0,17.9,3.0,4.0,97.9,2.0,4.0,189.6,2.0,3.0,391.9,2.0,3.0,604.8,2.0,3.0,897.8
3.0,5.0,24.0,3.0,5.0,139.5,2.0,5.0,222.8,2.0,5.0,431.4,2.0,4.0,741.5,2.0,4.0,1103.0
3.0,6.0,26.5,3.0,6.0,128.8,2.0,6.0,245.4,2.0,6.0,431.6,2.0,6.0,844.8,2.0,5.0,1462.0
4.0,2.0,24.0,4.0,1.0,108.1,4.0,1.0,240.7,3.0,1.0,438.6,3.0,1.0,694.9,3.0,1.0,968.1
4.0,3.0,33.6,4.0,3.0,168.0,4.0,2.0,316.8,3.0,2.0,563.7,3.0,2.0,872.9,3.0,2.0,1111.0
4.0,5.0,54.6,4.0,5.0,274.9,4.0,5.0,508.2,3.0,5.0,921.4,3.0,4.0,1529.0,3.0,4.0,1805.0
4.0,6.0,50.5,4.0,6.0,237.1,4.0,6.0,507.8,3.0,6.0,843.7,3.0,6.0,1403.0,3.0,5.0,2521.0
5.0,2.0,48.7,5.0,1.0,195.4,5.0,1.0,332.7,5.0,1.0,376.9,4.0,1.0,660.6,4.0,1.0,1235.0
5.0,3.0,64.8,5.0,3.0,281.5,5.0,2.0,466.1,5.0,2.0,438.3,4.0,2.0,926.8,4.0,2.0,1358.0
5.0,4.0,110.2,5.0,4.0,398.4,5.0,4.0,699.5,5.0,3.0,780.0,4.0,3.0,1490.0,4.0,3.0,2158.0
5.0,6.0,108.0,5.0,6.0,411.4,5.0,6.0,721.9,5.0,6.0,464.8,4.0,6.0,918.7,4.0,5.0,2129.0
6.0,2.0,66.9,6.0,1.0,226.8,6.0,1.0,541.0,6.0,1.0,512.0,6.0,1.0,1013.0,5.0,1.0,1628.0
6.0,3.0,82.9,6.0,3.0,322.8,6.0,2.0,631.5,6.0,2.0,621.5,6.0,2.0,1057.0,5.0,2.0,2136.0
6.0,4.0,121.3,6.0,4.0,468.2,6.0,4.0,1006.0,6.0,3.0,937.9,6.0,3.0,1575.0,5.0,3.0,2604.0
6.0,5.0,174.5,6.0,5.0,570.3,6.0,5.0,1003.0,6.0,5.0,787.8,6.0,4.0,1321.0,5.0,4.0,2308.0
