1,日高 逸子,日高 逸子.1,2,志道 吉和,志道 吉和.1,3,平池 仁志,平池 仁志.1,4,島田 賢人,島田 賢人.1,5,大崎 翔,大崎 翔.1,6,竹田 辰也,竹田 辰也.1
2.0,3.0,44.9,1.0,3.0,170.7,1.0,2.0,298.7,1.0,2.0,30.8,1.0,2.0,574.3,1.0,2.0,293.4
2.0,4.0,19.6,1.0,4.0,89.5,1.0,4.0,104.7,1.0,3.0,32.0,1.0,3.0,553.3,1.0,3.0,354.6
2.0,5.0,76.3,1.0,5.0,306.2,1.0,5.0,254.3,1.0,5.0,21.3,1.0,4.0,247.1,1.0,4.0,104.3
2.0,6.0,45.4,1.0,6.0,158.7,1.0,6.0,179.5,1.0,6.0,11.7,1.0,6.0,295.0,1.0,5.0,393.6
3.0,2.0,55.5,3.0,1.0,420.5,2.0,1.0,549.0,2.0,1.0,85.1,2.0,1.0,1012.0,2.0,1.0,489.1
3.0,4.0,23.4,3.0,4.0,389.6,2.0,4.0,463.6,2.0,3.0,219.0,2.0,3.0,1945.0,2.0,3.0,1155.0
3.0,5.0,71.4,3.0,5.0,1059.0,2.0,5.0,1136.0,2.0,5.0,171.4,2.0,4.0,974.5,2.0,4.0,474.7
3.0,6.0,50.6,3.0,6.0,846.9,2.0,6.0,910.3,2.0,6.0,88.4,2.0,6.0,1477.0,2.0,5.0,1561.0
4.0,2.0,12.8,4.0,1.0,130.4,4.0,1.0,134.2,3.0,1.0,75.9,3.0,1.0,857.1,3.0,1.0,691.6
4.0,3.0,15.8,4.0,3.0,303.2,4.0,2.0,376.9,3.0,2.0,250.9,3.0,2.0,2253.0,3.0,2.0,1293.0
4.0,5.0,15.5,4.0,5.0,368.8,4.0,5.0,270.2,3.0,5.0,142.8,3.0,4.0,934.3,3.0,4.0,560.1
4.0,6.0,9.1,4.0,6.0,193.8,4.0,6.0,173.5,3.0,6.0,77.0,3.0,6.0,1499.0,3.0,5.0,1406.0
5.0,2.0,135.9,5.0,1.0,900.5,5.0,1.0,698.4,5.0,1.0,27.1,4.0,1.0,191.3,4.0,1.0,92.9
5.0,3.0,130.1,5.0,3.0,1283.0,5.0,2.0,1342.0,5.0,2.0,87.1,4.0,2.0,547.2,4.0,2.0,281.3
5.0,4.0,60.5,5.0,4.0,737.7,5.0,4.0,528.6,5.0,3.0,110.4,4.0,3.0,521.4,4.0,3.0,317.5
5.0,6.0,85.8,5.0,6.0,1353.0,5.0,6.0,995.9,5.0,6.0,23.9,4.0,6.0,171.3,4.0,5.0,205.1
6.0,2.0,74.1,6.0,1.0,436.0,6.0,1.0,457.7,6.0,1.0,19.9,6.0,1.0,444.6,5.0,1.0,593.5
6.0,3.0,86.1,6.0,3.0,751.1,6.0,2.0,799.3,6.0,2.0,54.8,6.0,2.0,1208.0,5.0,2.0,1303.0
6.0,4.0,31.8,6.0,4.0,435.6,6.0,4.0,399.3,6.0,3.0,62.7,6.0,3.0,1155.0,5.0,3.0,1238.0
6.0,5.0,97.5,6.0,5.0,1561.0,6.0,5.0,1171.0,6.0,5.0,26.7,6.0,4.0,315.9,5.0,4.0,356.7
