1,酒見 峻介,酒見 峻介.1,2,森作 雄大,森作 雄大.1,3,渡邉 和将,渡邉 和将.1,4,永嶋 裕一,永嶋 裕一.1,5,岡崎 恭裕,岡崎 恭裕.1,6,廣中 良一,廣中 良一.1
2.0,3.0,19.6,1.0,3.0,35.5,1.0,2.0,25.6,1.0,2.0,520.4,1.0,2.0,72.9,1.0,2.0,1167.0
2.0,4.0,56.3,1.0,4.0,84.5,1.0,4.0,31.1,1.0,3.0,335.1,1.0,3.0,33.6,1.0,3.0,1345.0
2.0,5.0,31.8,1.0,5.0,50.3,1.0,5.0,10.2,1.0,5.0,349.5,1.0,4.0,129.8,1.0,4.0,2511.0
2.0,6.0,222.3,1.0,6.0,152.6,1.0,6.0,103.3,1.0,6.0,760.9,1.0,6.0,195.6,1.0,5.0,1553.0
3.0,2.0,15.1,3.0,1.0,63.5,2.0,1.0,54.4,2.0,1.0,827.8,2.0,1.0,145.5,2.0,1.0,1315.0
3.0,4.0,21.7,3.0,4.0,120.7,2.0,4.0,84.6,2.0,3.0,609.9,2.0,3.0,118.5,2.0,3.0,2317.0
3.0,5.0,7.9,3.0,5.0,66.4,2.0,5.0,40.0,2.0,5.0,626.4,2.0,4.0,285.3,2.0,4.0,3674.0
3.0,6.0,108.4,3.0,6.0,368.8,2.0,6.0,269.0,2.0,6.0,1271.0,2.0,6.0,451.0,2.0,5.0,2575.0
4.0,2.0,107.6,4.0,1.0,294.5,4.0,1.0,63.9,3.0,1.0,301.6,3.0,1.0,34.3,3.0,1.0,1561.0
4.0,3.0,56.3,4.0,3.0,256.6,4.0,2.0,104.5,3.0,2.0,465.7,3.0,2.0,70.7,3.0,2.0,2335.0
4.0,5.0,68.7,4.0,5.0,262.9,4.0,5.0,43.6,3.0,5.0,185.4,3.0,4.0,86.6,3.0,4.0,1721.0
4.0,6.0,303.4,4.0,6.0,652.2,4.0,6.0,159.9,3.0,6.0,541.9,3.0,6.0,140.6,3.0,5.0,1388.0
5.0,2.0,33.4,5.0,1.0,113.8,5.0,1.0,14.8,5.0,1.0,348.3,4.0,1.0,270.0,4.0,1.0,2897.0
5.0,3.0,15.2,5.0,3.0,99.2,5.0,2.0,26.8,5.0,2.0,531.4,4.0,2.0,398.5,4.0,2.0,2215.0
5.0,4.0,62.8,5.0,4.0,220.5,5.0,4.0,32.3,5.0,3.0,222.2,4.0,3.0,172.9,4.0,3.0,2092.0
5.0,6.0,138.0,5.0,6.0,523.1,5.0,6.0,79.4,5.0,6.0,630.4,4.0,6.0,544.9,4.0,5.0,2532.0
6.0,2.0,560.0,6.0,1.0,742.1,6.0,1.0,453.8,6.0,1.0,1462.0,6.0,1.0,464.3,5.0,1.0,1434.0
6.0,3.0,490.7,6.0,3.0,1046.0,6.0,2.0,626.4,6.0,2.0,1907.0,6.0,2.0,722.6,5.0,2.0,2300.0
6.0,4.0,695.9,6.0,4.0,1001.0,6.0,4.0,470.0,6.0,3.0,1195.0,6.0,3.0,409.9,5.0,3.0,1428.0
6.0,5.0,526.8,6.0,5.0,888.8,6.0,5.0,306.2,6.0,5.0,1210.0,6.0,4.0,786.7,5.0,4.0,2449.0
