1,乙津 康志,乙津 康志.1,2,萩原 知哉,萩原 知哉.1,3,中野 和裕,中野 和裕.1,4,志道 吉和,志道 吉和.1,5,表 憲一,表 憲一.1,6,檀 将太,檀 将太.1
2.0,3.0,17.3,1.0,3.0,49.1,1.0,2.0,80.1,1.0,2.0,67.3,1.0,2.0,52.6,1.0,2.0,724.7
2.0,4.0,23.3,1.0,4.0,66.3,1.0,4.0,81.4,1.0,3.0,108.3,1.0,3.0,62.0,1.0,3.0,1230.0
2.0,5.0,11.7,1.0,5.0,32.5,1.0,5.0,47.0,1.0,5.0,37.8,1.0,4.0,59.2,1.0,4.0,1550.0
2.0,6.0,106.6,1.0,6.0,291.5,1.0,6.0,295.9,1.0,6.0,147.1,1.0,6.0,128.8,1.0,5.0,711.4
3.0,2.0,16.0,3.0,1.0,124.2,2.0,1.0,156.6,2.0,1.0,100.9,2.0,1.0,102.9,2.0,1.0,1062.0
3.0,4.0,21.0,3.0,4.0,207.8,2.0,4.0,218.4,2.0,3.0,215.9,2.0,3.0,198.8,2.0,3.0,1463.0
3.0,5.0,12.1,3.0,5.0,129.4,2.0,5.0,171.1,2.0,5.0,75.3,2.0,4.0,134.6,2.0,4.0,2423.0
3.0,6.0,124.8,3.0,6.0,435.6,2.0,6.0,493.9,2.0,6.0,175.8,2.0,6.0,294.8,2.0,5.0,1092.0
4.0,2.0,32.3,4.0,1.0,118.7,4.0,1.0,165.6,3.0,1.0,163.5,3.0,1.0,108.4,3.0,1.0,1336.0
4.0,3.0,34.1,4.0,3.0,196.8,4.0,2.0,233.5,3.0,2.0,242.3,3.0,2.0,246.1,3.0,2.0,1762.0
4.0,5.0,23.1,4.0,5.0,91.6,4.0,5.0,154.1,3.0,5.0,149.1,3.0,4.0,247.7,3.0,4.0,2501.0
4.0,6.0,116.0,4.0,6.0,570.1,4.0,6.0,601.1,3.0,6.0,426.0,3.0,6.0,430.7,3.0,5.0,1250.0
5.0,2.0,16.0,5.0,1.0,81.1,5.0,1.0,78.1,5.0,1.0,33.0,4.0,1.0,56.8,4.0,1.0,1723.0
5.0,3.0,21.4,5.0,3.0,145.7,5.0,2.0,162.9,5.0,2.0,45.8,4.0,2.0,85.4,4.0,2.0,2769.0
5.0,4.0,24.9,5.0,4.0,127.3,5.0,4.0,164.9,5.0,3.0,85.0,4.0,3.0,161.8,4.0,3.0,2153.0
5.0,6.0,78.2,5.0,6.0,341.6,5.0,6.0,448.2,5.0,6.0,54.3,4.0,6.0,101.0,4.0,5.0,704.9
6.0,2.0,352.4,6.0,1.0,912.2,6.0,1.0,881.1,6.0,1.0,273.0,6.0,1.0,317.8,5.0,1.0,1123.0
6.0,3.0,405.9,6.0,3.0,1230.0,6.0,2.0,1192.0,6.0,2.0,405.9,6.0,2.0,393.6,5.0,2.0,1250.0
6.0,4.0,490.7,6.0,4.0,1550.0,6.0,4.0,1723.0,6.0,3.0,680.2,6.0,3.0,570.1,5.0,3.0,1463.0
6.0,5.0,223.4,6.0,5.0,692.3,6.0,5.0,1092.0,6.0,5.0,169.3,6.0,4.0,284.0,5.0,4.0,724.7
