1,川村 正輝,川村 正輝.1,2,大西 隆洋,大西 隆洋.1,3,下田 哲也,下田 哲也.1,4,宮野 仁,宮野 仁.1,5,川上 清人,川上 清人.1,6,嘉手苅　徹哉,嘉手苅　徹哉.1
2.0,3.0,6.9,1.0,3.0,30.8,1.0,2.0,28.2,1.0,2.0,80.1,1.0,2.0,276.6,1.0,2.0,455.9
2.0,4.0,13.0,1.0,4.0,49.5,1.0,4.0,24.8,1.0,3.0,75.4,1.0,3.0,258.3,1.0,3.0,752.8
2.0,5.0,29.3,1.0,5.0,112.2,1.0,5.0,43.1,1.0,5.0,143.0,1.0,4.0,331.4,1.0,4.0,1348.0
2.0,6.0,124.3,1.0,6.0,298.8,1.0,6.0,175.6,1.0,6.0,437.4,1.0,6.0,614.6,1.0,5.0,1867.0
3.0,2.0,6.5,3.0,1.0,53.1,2.0,1.0,47.8,2.0,1.0,122.9,2.0,1.0,483.1,2.0,1.0,1330.0
3.0,4.0,7.3,3.0,4.0,104.8,2.0,4.0,80.3,2.0,3.0,163.7,2.0,3.0,674.4,2.0,3.0,1449.0
3.0,5.0,16.2,3.0,5.0,194.6,2.0,5.0,129.6,2.0,5.0,288.1,2.0,4.0,823.0,2.0,4.0,2856.0
3.0,6.0,83.4,3.0,6.0,574.6,2.0,6.0,382.3,2.0,6.0,741.3,2.0,6.0,1566.0,2.0,5.0,3349.0
4.0,2.0,18.0,4.0,1.0,102.9,4.0,1.0,47.3,3.0,1.0,99.0,3.0,1.0,391.6,3.0,1.0,1184.0
4.0,3.0,15.0,4.0,3.0,128.1,4.0,2.0,80.3,3.0,2.0,155.8,3.0,2.0,735.7,3.0,2.0,1867.0
4.0,5.0,39.5,4.0,5.0,361.0,4.0,5.0,101.8,3.0,5.0,191.1,3.0,4.0,567.9,3.0,4.0,1618.0
4.0,6.0,157.4,4.0,6.0,924.9,4.0,6.0,328.1,3.0,6.0,679.1,3.0,6.0,1646.0,3.0,5.0,2258.0
5.0,2.0,72.5,5.0,1.0,243.4,5.0,1.0,134.5,5.0,1.0,174.6,4.0,1.0,390.0,4.0,1.0,2428.0
5.0,3.0,48.0,5.0,3.0,367.8,5.0,2.0,217.2,5.0,2.0,275.1,4.0,2.0,578.1,4.0,2.0,2624.0
5.0,4.0,88.2,5.0,4.0,679.1,5.0,4.0,157.4,5.0,3.0,244.0,4.0,3.0,603.2,4.0,3.0,2066.0
5.0,6.0,289.0,5.0,6.0,1646.0,5.0,6.0,439.4,5.0,6.0,435.5,4.0,6.0,1156.0,4.0,5.0,3735.0
6.0,2.0,332.6,6.0,1.0,688.8,6.0,1.0,823.0,6.0,1.0,1033.0,6.0,1.0,2066.0,5.0,1.0,2368.0
6.0,3.0,316.3,6.0,3.0,1703.0,6.0,2.0,1001.0,6.0,2.0,1646.0,6.0,2.0,2555.0,5.0,2.0,4046.0
6.0,4.0,415.0,6.0,4.0,1471.0,6.0,4.0,1156.0,6.0,3.0,1387.0,6.0,3.0,2066.0,5.0,3.0,2490.0
6.0,5.0,500.6,6.0,5.0,2624.0,6.0,5.0,1170.0,6.0,5.0,1517.0,6.0,4.0,2428.0,5.0,4.0,1982.0
