1,溝口　海義也,溝口　海義也.1,2,奈須 啓太,奈須 啓太.1,3,岡村 将也,岡村 将也.1,4,桑原 啓,桑原 啓.1,5,森 晋太郎,森 晋太郎.1,6,関 裕也,関 裕也.1
2.0,3.0,4.4,1.0,3.0,20.8,1.0,2.0,35.4,1.0,2.0,294.7,1.0,2.0,280.0,1.0,2.0,285.5
2.0,4.0,18.5,1.0,4.0,53.0,1.0,4.0,81.2,1.0,3.0,349.3,1.0,3.0,308.3,1.0,3.0,282.0
2.0,5.0,15.7,1.0,5.0,50.1,1.0,5.0,73.6,1.0,5.0,411.9,1.0,4.0,625.6,1.0,4.0,533.4
2.0,6.0,14.4,1.0,6.0,52.0,1.0,6.0,66.5,1.0,6.0,344.1,1.0,6.0,338.7,1.0,5.0,572.0
3.0,2.0,5.9,3.0,1.0,47.6,2.0,1.0,57.5,2.0,1.0,493.2,2.0,1.0,441.7,2.0,1.0,476.9
3.0,4.0,18.0,3.0,4.0,187.0,2.0,4.0,205.3,2.0,3.0,761.5,2.0,3.0,698.6,2.0,3.0,695.8
3.0,5.0,14.4,3.0,5.0,155.7,2.0,5.0,175.7,2.0,5.0,961.9,2.0,4.0,1523.0,2.0,4.0,1231.0
3.0,6.0,14.2,3.0,6.0,131.5,2.0,6.0,151.9,2.0,6.0,840.8,2.0,6.0,865.9,2.0,5.0,1771.0
4.0,2.0,60.6,4.0,1.0,225.7,4.0,1.0,294.0,3.0,1.0,621.2,3.0,1.0,532.5,3.0,1.0,569.2
4.0,3.0,58.4,4.0,3.0,429.2,4.0,2.0,419.3,3.0,2.0,892.6,3.0,2.0,870.3,3.0,2.0,1055.0
4.0,5.0,152.4,4.0,5.0,711.5,4.0,5.0,596.6,3.0,5.0,1134.0,3.0,4.0,1693.0,3.0,4.0,1973.0
4.0,6.0,127.8,4.0,6.0,565.5,4.0,6.0,499.6,3.0,6.0,1131.0,3.0,6.0,1295.0,3.0,5.0,2445.0
5.0,2.0,48.3,5.0,1.0,220.0,5.0,1.0,259.3,5.0,1.0,740.4,4.0,1.0,1271.0,4.0,1.0,1146.0
5.0,3.0,44.9,5.0,3.0,357.6,5.0,2.0,378.6,5.0,2.0,1033.0,4.0,2.0,1736.0,4.0,2.0,2299.0
5.0,4.0,151.4,5.0,4.0,723.4,5.0,4.0,670.3,5.0,3.0,1102.0,4.0,3.0,1866.0,4.0,3.0,2156.0
5.0,6.0,82.5,5.0,6.0,509.1,5.0,6.0,445.1,5.0,6.0,818.9,4.0,6.0,1310.0,4.0,5.0,2734.0
6.0,2.0,47.6,6.0,1.0,243.0,6.0,1.0,200.3,6.0,1.0,720.4,6.0,1.0,705.7,5.0,1.0,846.9
6.0,3.0,49.1,6.0,3.0,352.8,6.0,2.0,293.5,6.0,2.0,1134.0,6.0,2.0,1446.0,5.0,2.0,2428.0
6.0,4.0,155.9,6.0,4.0,740.4,6.0,4.0,592.5,6.0,3.0,1146.0,6.0,3.0,1440.0,5.0,3.0,2428.0
6.0,5.0,135.8,6.0,5.0,634.8,6.0,5.0,615.6,6.0,5.0,1244.0,6.0,4.0,1702.0,5.0,4.0,2591.0
