1,倉尾 大介,倉尾 大介.1,2,松尾 宣邦,松尾 宣邦.1,3,森 晋太郎,森 晋太郎.1,4,奈須 啓太,奈須 啓太.1,5,篠原 飛翔,篠原 飛翔.1,6,小松 卓司,小松 卓司.1
2.0,3.0,38.1,1.0,3.0,206.2,1.0,2.0,166.5,1.0,2.0,49.0,1.0,2.0,242.9,1.0,2.0,860.6
2.0,4.0,28.2,1.0,4.0,151.3,1.0,4.0,58.1,1.0,3.0,30.2,1.0,3.0,172.1,1.0,3.0,485.9
2.0,5.0,51.3,1.0,5.0,278.0,1.0,5.0,84.3,1.0,5.0,17.7,1.0,4.0,88.9,1.0,4.0,440.1
2.0,6.0,79.9,1.0,6.0,415.2,1.0,6.0,164.4,1.0,6.0,31.8,1.0,6.0,159.8,1.0,5.0,636.5
3.0,2.0,36.3,3.0,1.0,316.3,2.0,1.0,268.3,2.0,1.0,122.9,2.0,1.0,461.2,2.0,1.0,2054.0
3.0,4.0,13.6,3.0,4.0,354.9,2.0,4.0,238.4,2.0,3.0,177.4,2.0,3.0,723.2,2.0,3.0,2299.0
3.0,5.0,24.9,3.0,5.0,570.5,2.0,5.0,404.3,2.0,5.0,112.0,2.0,4.0,393.9,2.0,4.0,1400.0
3.0,6.0,45.5,3.0,6.0,719.8,2.0,6.0,531.2,2.0,6.0,163.5,2.0,6.0,574.8,2.0,5.0,1674.0
4.0,2.0,22.4,4.0,1.0,236.6,4.0,1.0,64.4,3.0,1.0,54.8,3.0,1.0,238.1,3.0,1.0,1232.0
4.0,3.0,12.4,4.0,3.0,298.5,4.0,2.0,170.5,3.0,2.0,123.2,3.0,2.0,723.2,3.0,2.0,2110.0
4.0,5.0,12.9,4.0,5.0,290.6,4.0,5.0,61.0,3.0,5.0,50.1,3.0,4.0,201.1,3.0,4.0,730.1
4.0,6.0,25.7,4.0,6.0,404.3,4.0,6.0,101.9,3.0,6.0,86.7,3.0,6.0,346.9,3.0,5.0,1439.0
5.0,2.0,69.7,5.0,1.0,533.0,5.0,1.0,176.4,5.0,1.0,20.8,4.0,1.0,67.9,4.0,1.0,447.8
5.0,3.0,50.5,5.0,3.0,755.1,5.0,2.0,485.9,5.0,2.0,58.4,4.0,2.0,180.1,4.0,2.0,875.2
5.0,4.0,32.9,5.0,4.0,510.1,5.0,4.0,123.3,5.0,3.0,39.2,4.0,3.0,114.7,4.0,3.0,583.5
5.0,6.0,56.5,5.0,6.0,723.2,5.0,6.0,232.0,5.0,6.0,20.6,4.0,6.0,67.9,4.0,5.0,264.6
6.0,2.0,273.6,6.0,1.0,1305.0,6.0,1.0,661.1,6.0,1.0,65.4,6.0,1.0,254.6,5.0,1.0,1006.0
6.0,3.0,199.8,6.0,3.0,1588.0,6.0,2.0,1116.0,6.0,2.0,149.8,6.0,2.0,639.2,5.0,2.0,1638.0
6.0,4.0,108.5,6.0,4.0,1047.0,6.0,4.0,461.2,6.0,3.0,136.6,6.0,3.0,556.1,5.0,3.0,1283.0
6.0,5.0,134.6,6.0,5.0,1213.0,6.0,5.0,548.2,6.0,5.0,45.6,6.0,4.0,148.4,5.0,4.0,323.6
