1,村松 修二,村松 修二.1,2,高橋 直哉,高橋 直哉.1,3,安東 幸治,安東 幸治.1,4,松江 秀徳,松江 秀徳.1,5,中島 真二,中島 真二.1,6,待鳥 雄紀,待鳥 雄紀.1
2.0,3.0,17.3,1.0,3.0,270.4,1.0,2.0,141.2,1.0,2.0,147.1,1.0,2.0,428.9,1.0,2.0,476.6
2.0,4.0,20.4,1.0,4.0,291.1,1.0,4.0,44.2,1.0,3.0,73.7,1.0,3.0,338.7,1.0,3.0,271.7
2.0,5.0,35.6,1.0,5.0,445.4,1.0,5.0,79.2,1.0,5.0,63.1,1.0,4.0,288.2,1.0,4.0,276.5
2.0,6.0,28.6,1.0,6.0,383.6,1.0,6.0,58.7,1.0,6.0,47.5,1.0,6.0,274.9,1.0,5.0,487.8
3.0,2.0,13.9,3.0,1.0,642.0,2.0,1.0,469.8,2.0,1.0,343.6,2.0,1.0,1079.0,2.0,1.0,1025.0
3.0,4.0,7.0,3.0,4.0,1159.0,2.0,4.0,564.1,2.0,3.0,595.9,2.0,3.0,2538.0,2.0,3.0,1943.0
3.0,5.0,15.2,3.0,5.0,1727.0,2.0,5.0,1065.0,2.0,5.0,453.1,2.0,4.0,1870.0,2.0,4.0,1721.0
3.0,6.0,10.6,3.0,6.0,1494.0,2.0,6.0,709.8,2.0,6.0,394.9,2.0,6.0,1326.0,2.0,5.0,2090.0
4.0,2.0,20.5,4.0,1.0,687.2,4.0,1.0,92.4,3.0,1.0,123.1,3.0,1.0,809.0,3.0,1.0,436.4
4.0,3.0,11.8,4.0,3.0,1367.0,4.0,2.0,366.6,3.0,2.0,516.7,3.0,2.0,2475.0,3.0,2.0,1234.0
4.0,5.0,19.0,4.0,5.0,1438.0,4.0,5.0,185.0,3.0,5.0,295.4,3.0,4.0,1237.0,3.0,4.0,566.0
4.0,6.0,12.9,4.0,6.0,1138.0,4.0,6.0,108.9,3.0,6.0,168.8,3.0,6.0,1193.0,3.0,5.0,1043.0
5.0,2.0,54.7,5.0,1.0,1054.0,5.0,1.0,356.6,5.0,1.0,88.9,4.0,1.0,320.4,4.0,1.0,386.6
5.0,3.0,42.2,5.0,3.0,1796.0,5.0,2.0,931.8,5.0,2.0,251.0,4.0,2.0,850.5,4.0,2.0,1159.0
5.0,4.0,40.7,5.0,4.0,1564.0,5.0,4.0,429.3,5.0,3.0,245.4,4.0,3.0,886.9,4.0,3.0,593.7
5.0,6.0,40.4,5.0,6.0,1877.0,5.0,6.0,434.2,5.0,6.0,94.9,4.0,6.0,403.5,4.0,5.0,803.8
6.0,2.0,55.4,6.0,1.0,975.6,6.0,1.0,197.3,6.0,1.0,82.3,6.0,1.0,637.1,5.0,1.0,832.0
6.0,3.0,33.5,6.0,3.0,1816.0,6.0,2.0,683.5,6.0,2.0,265.3,6.0,2.0,1550.0,5.0,2.0,1913.0
6.0,4.0,33.9,6.0,4.0,1863.0,6.0,4.0,234.3,6.0,3.0,193.9,6.0,3.0,1262.0,5.0,3.0,1498.0
6.0,5.0,63.3,6.0,5.0,2347.0,6.0,5.0,514.5,6.0,5.0,128.2,6.0,4.0,822.4,5.0,4.0,1125.0
