1,石川 真二,石川 真二.1,2,安東 幸治,安東 幸治.1,3,松下 哲也,松下 哲也.1,4,竹井 貴史,竹井 貴史.1,5,橋本 英一,橋本 英一.1,6,檀 将太,檀 将太.1
2.0,3.0,11.4,1.0,3.0,54.1,1.0,2.0,56.6,1.0,2.0,24.3,1.0,2.0,277.2,1.0,2.0,1532.0
2.0,4.0,6.6,1.0,4.0,27.8,1.0,4.0,36.9,1.0,3.0,36.2,1.0,3.0,343.1,1.0,3.0,2528.0
2.0,5.0,34.8,1.0,5.0,141.0,1.0,5.0,110.0,1.0,5.0,46.7,1.0,4.0,290.3,1.0,4.0,1945.0
2.0,6.0,80.6,1.0,6.0,298.5,1.0,6.0,263.6,1.0,6.0,105.9,1.0,6.0,674.3,1.0,5.0,2809.0
3.0,2.0,14.2,3.0,1.0,153.5,2.0,1.0,117.6,2.0,1.0,57.4,2.0,1.0,492.9,2.0,1.0,2748.0
3.0,4.0,10.2,3.0,4.0,240.3,2.0,4.0,132.8,2.0,3.0,161.0,2.0,3.0,1239.0,2.0,3.0,4286.0
3.0,5.0,43.9,3.0,5.0,580.0,2.0,5.0,370.2,2.0,5.0,176.4,2.0,4.0,909.6,2.0,4.0,4597.0
3.0,6.0,105.0,3.0,6.0,821.0,2.0,6.0,638.6,2.0,6.0,345.0,2.0,6.0,1697.0,2.0,5.0,5268.0
4.0,2.0,6.2,4.0,1.0,73.5,4.0,1.0,48.8,3.0,1.0,77.5,3.0,1.0,542.6,3.0,1.0,1915.0
4.0,3.0,8.8,4.0,3.0,222.0,4.0,2.0,90.7,3.0,2.0,147.3,3.0,2.0,1221.0,3.0,2.0,5160.0
4.0,5.0,22.0,4.0,5.0,302.1,4.0,5.0,136.1,3.0,5.0,187.6,3.0,4.0,1109.0,3.0,4.0,3371.0
4.0,6.0,49.5,4.0,6.0,624.4,4.0,6.0,265.6,3.0,6.0,369.7,3.0,6.0,2125.0,3.0,5.0,5268.0
5.0,2.0,90.1,5.0,1.0,492.9,5.0,1.0,262.6,5.0,1.0,89.5,4.0,1.0,421.4,4.0,1.0,2298.0
5.0,3.0,105.0,5.0,3.0,947.1,5.0,2.0,530.1,5.0,2.0,171.5,4.0,2.0,692.8,4.0,2.0,4214.0
5.0,4.0,89.1,5.0,4.0,851.4,5.0,4.0,345.9,5.0,3.0,237.4,4.0,3.0,893.5,4.0,3.0,4078.0
5.0,6.0,265.6,5.0,6.0,1873.0,5.0,6.0,916.2,5.0,6.0,246.7,4.0,6.0,991.7,4.0,5.0,4436.0
6.0,2.0,318.4,6.0,1.0,1215.0,6.0,1.0,875.0,6.0,1.0,341.7,6.0,1.0,2298.0,5.0,1.0,4597.0
6.0,3.0,356.1,6.0,3.0,1428.0,6.0,2.0,1461.0,6.0,2.0,622.8,6.0,2.0,2748.0,5.0,2.0,4958.0
6.0,4.0,247.2,6.0,4.0,1744.0,6.0,4.0,940.1,6.0,3.0,887.3,6.0,3.0,3464.0,5.0,3.0,6322.0
6.0,5.0,511.9,6.0,5.0,3083.0,6.0,5.0,2180.0,6.0,5.0,599.2,6.0,4.0,2661.0,5.0,4.0,4958.0
