1,鶴田 勇雄,鶴田 勇雄.1,2,加倉 侑征,加倉 侑征.1,3,小松 卓司,小松 卓司.1,4,今井 貴士,今井 貴士.1,5,田中 宏樹,田中 宏樹.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,56.5,1.0,3.0,111.0,1.0,2.0,203.8,1.0,2.0,66.9,1.0,2.0,209.7,1.0,2.0,78.1
2.0,4.0,38.4,1.0,4.0,82.6,1.0,4.0,125.6,1.0,3.0,84.0,1.0,3.0,225.0,1.0,3.0,64.3
2.0,5.0,87.0,1.0,5.0,157.8,1.0,5.0,205.9,1.0,5.0,42.2,1.0,4.0,104.0,1.0,4.0,25.0
2.0,6.0,38.3,1.0,6.0,79.4,1.0,6.0,120.0,1.0,6.0,20.2,1.0,6.0,91.8,1.0,5.0,47.2
3.0,2.0,67.1,3.0,1.0,229.3,2.0,1.0,313.0,2.0,1.0,140.3,2.0,1.0,414.7,2.0,1.0,146.2
3.0,4.0,42.3,3.0,4.0,303.7,2.0,4.0,335.2,2.0,3.0,309.5,2.0,3.0,738.0,2.0,3.0,303.3
3.0,5.0,87.5,3.0,5.0,587.9,2.0,5.0,629.7,2.0,5.0,254.7,2.0,4.0,497.4,2.0,4.0,178.2
3.0,6.0,41.1,3.0,6.0,330.4,2.0,6.0,397.3,2.0,6.0,152.7,2.0,6.0,507.5,2.0,5.0,281.8
4.0,2.0,38.6,4.0,1.0,130.8,4.0,1.0,173.5,3.0,1.0,169.6,3.0,1.0,489.4,3.0,1.0,132.3
4.0,3.0,42.1,4.0,3.0,316.6,4.0,2.0,348.8,3.0,2.0,336.8,3.0,2.0,863.4,3.0,2.0,393.9
4.0,5.0,29.1,4.0,5.0,344.5,4.0,5.0,276.7,3.0,5.0,211.6,3.0,4.0,542.6,3.0,4.0,164.1
4.0,6.0,13.1,4.0,6.0,181.2,4.0,6.0,169.0,3.0,6.0,148.7,3.0,6.0,485.9,3.0,5.0,212.5
5.0,2.0,113.5,5.0,1.0,431.7,5.0,1.0,373.0,5.0,1.0,66.7,4.0,1.0,138.0,4.0,1.0,28.1
5.0,3.0,123.1,5.0,3.0,798.1,5.0,2.0,880.0,5.0,2.0,166.9,4.0,2.0,346.6,4.0,2.0,101.9
5.0,4.0,55.3,5.0,4.0,586.6,5.0,4.0,438.6,5.0,3.0,169.4,4.0,3.0,338.5,4.0,3.0,102.8
5.0,6.0,46.7,5.0,6.0,540.4,5.0,6.0,419.1,5.0,6.0,43.0,4.0,6.0,98.0,4.0,5.0,38.0
6.0,2.0,35.5,6.0,1.0,141.0,6.0,1.0,161.7,6.0,1.0,25.2,6.0,1.0,122.9,5.0,1.0,80.3
6.0,3.0,38.1,6.0,3.0,285.1,6.0,2.0,371.0,6.0,2.0,90.1,6.0,2.0,397.3,5.0,2.0,290.5
6.0,4.0,14.1,6.0,4.0,174.5,6.0,4.0,165.3,6.0,3.0,90.4,6.0,3.0,356.1,5.0,3.0,190.2
6.0,5.0,28.8,6.0,5.0,330.0,6.0,5.0,277.0,6.0,5.0,34.0,6.0,4.0,99.1,5.0,4.0,60.0
