1,浜野 孝志,浜野 孝志.1,2,正木 聖賢,正木 聖賢.1,3,花本 夏樹,花本 夏樹.1,4,溝口　海義也,溝口　海義也.1,5,山口 修路,山口 修路.1,6,高木 圭大,高木 圭大.1
2.0,3.0,11.7,1.0,3.0,37.1,1.0,2.0,159.3,1.0,2.0,20.9,1.0,2.0,329.2,1.0,2.0,1443.0
2.0,4.0,7.2,1.0,4.0,16.6,1.0,4.0,126.3,1.0,3.0,55.4,1.0,3.0,644.0,1.0,3.0,2144.0
2.0,5.0,20.6,1.0,5.0,60.7,1.0,5.0,276.6,1.0,5.0,38.8,1.0,4.0,318.5,1.0,4.0,1270.0
2.0,6.0,78.6,1.0,6.0,125.8,1.0,6.0,461.1,1.0,6.0,73.2,1.0,6.0,538.7,1.0,5.0,1998.0
3.0,2.0,18.0,3.0,1.0,124.3,2.0,1.0,231.9,2.0,1.0,31.0,2.0,1.0,483.0,2.0,1.0,1731.0
3.0,4.0,15.0,3.0,4.0,117.6,2.0,4.0,201.0,2.0,3.0,85.0,2.0,3.0,1250.0,2.0,3.0,2461.0
3.0,5.0,42.0,3.0,5.0,330.2,2.0,5.0,439.4,2.0,5.0,65.4,2.0,4.0,428.9,2.0,4.0,1151.0
3.0,6.0,116.8,3.0,6.0,554.0,2.0,6.0,548.8,2.0,6.0,100.4,2.0,6.0,637.0,2.0,5.0,2461.0
4.0,2.0,8.0,4.0,1.0,28.8,4.0,1.0,197.4,3.0,1.0,144.2,3.0,1.0,764.0,3.0,1.0,3159.0
4.0,3.0,13.9,4.0,3.0,71.8,4.0,2.0,206.7,3.0,2.0,144.4,3.0,2.0,1508.0,3.0,2.0,2886.0
4.0,5.0,22.9,4.0,5.0,73.5,4.0,5.0,375.8,3.0,5.0,295.5,3.0,4.0,1048.0,3.0,4.0,3076.0
4.0,6.0,56.4,4.0,6.0,138.1,4.0,6.0,510.4,3.0,6.0,364.7,3.0,6.0,1744.0,3.0,5.0,3896.0
5.0,2.0,64.7,5.0,1.0,266.5,5.0,1.0,681.6,5.0,1.0,62.9,4.0,1.0,292.9,4.0,1.0,1313.0
5.0,3.0,111.2,5.0,3.0,492.2,5.0,2.0,1007.0,5.0,2.0,70.1,4.0,2.0,294.8,4.0,2.0,1129.0
5.0,4.0,60.9,5.0,4.0,252.4,5.0,4.0,784.5,5.0,3.0,200.1,4.0,3.0,685.6,4.0,3.0,2597.0
5.0,6.0,250.3,5.0,6.0,512.7,5.0,6.0,1416.0,5.0,6.0,86.2,4.0,6.0,386.4,4.0,5.0,1601.0
6.0,2.0,292.2,6.0,1.0,500.6,6.0,1.0,1097.0,6.0,1.0,163.4,6.0,1.0,759.0,5.0,1.0,2185.0
6.0,3.0,502.7,6.0,3.0,899.2,6.0,2.0,1399.0,6.0,2.0,168.0,6.0,2.0,920.4,5.0,2.0,2718.0
6.0,4.0,290.7,6.0,4.0,494.2,6.0,4.0,1425.0,6.0,3.0,463.8,6.0,3.0,1313.0,5.0,3.0,3653.0
6.0,5.0,507.1,6.0,5.0,621.8,6.0,5.0,1900.0,6.0,5.0,173.4,6.0,4.0,769.0,5.0,4.0,1744.0
