1,篠崎 仁志,篠崎 仁志.1,2,白神 優,白神 優.1,3,高倉 和士,高倉 和士.1,4,竹井 貴史,竹井 貴史.1,5,新田 泰章,新田 泰章.1,6,中田 竜太,中田 竜太.1
2.0,3.0,11.7,1.0,3.0,66.9,1.0,2.0,128.1,1.0,2.0,42.5,1.0,2.0,473.2,1.0,2.0,588.9
2.0,4.0,7.8,1.0,4.0,45.5,1.0,4.0,89.0,1.0,3.0,67.1,1.0,3.0,548.8,1.0,3.0,731.7
2.0,5.0,33.6,1.0,5.0,133.6,1.0,5.0,180.8,1.0,5.0,62.6,1.0,4.0,390.3,1.0,4.0,477.1
2.0,6.0,19.2,1.0,6.0,87.5,1.0,6.0,133.4,1.0,6.0,38.7,1.0,6.0,373.4,1.0,5.0,1172.0
3.0,2.0,16.4,3.0,1.0,214.5,2.0,1.0,292.3,2.0,1.0,111.2,2.0,1.0,878.5,2.0,1.0,918.8
3.0,4.0,12.0,3.0,4.0,301.1,2.0,4.0,397.5,2.0,3.0,307.4,2.0,3.0,1108.0,2.0,3.0,1568.0
3.0,5.0,34.6,3.0,5.0,631.5,2.0,5.0,607.5,2.0,5.0,269.7,2.0,4.0,1000.0,2.0,4.0,1159.0
3.0,6.0,23.7,3.0,6.0,441.3,2.0,6.0,518.4,2.0,6.0,164.0,2.0,6.0,962.9,2.0,5.0,2073.0
4.0,2.0,8.5,4.0,1.0,127.6,4.0,1.0,178.8,3.0,1.0,193.7,3.0,1.0,1090.0,3.0,1.0,1199.0
4.0,3.0,12.4,4.0,3.0,291.1,4.0,2.0,382.2,3.0,2.0,405.6,3.0,2.0,1698.0,3.0,2.0,1708.0
4.0,5.0,25.7,4.0,5.0,441.9,4.0,5.0,458.9,3.0,5.0,564.2,3.0,4.0,1513.0,3.0,4.0,1562.0
4.0,6.0,12.1,4.0,6.0,251.9,4.0,6.0,311.9,3.0,6.0,266.6,3.0,6.0,1615.0,3.0,5.0,2338.0
5.0,2.0,72.0,5.0,1.0,546.7,5.0,1.0,512.9,5.0,1.0,94.7,4.0,1.0,459.6,4.0,1.0,543.2
5.0,3.0,84.5,5.0,3.0,1028.0,5.0,2.0,867.9,5.0,2.0,162.9,4.0,2.0,707.7,4.0,2.0,960.7
5.0,4.0,60.9,5.0,4.0,815.4,5.0,4.0,714.7,5.0,3.0,284.5,4.0,3.0,983.7,4.0,3.0,1248.0
5.0,6.0,72.1,5.0,6.0,916.8,5.0,6.0,760.1,5.0,6.0,106.8,4.0,6.0,441.5,4.0,5.0,1082.0
6.0,2.0,57.1,6.0,1.0,377.7,6.0,1.0,515.6,6.0,1.0,79.1,6.0,1.0,887.6,5.0,1.0,1220.0
6.0,3.0,72.3,6.0,3.0,845.8,6.0,2.0,880.3,6.0,2.0,133.4,6.0,2.0,1356.0,5.0,2.0,1797.0
6.0,4.0,43.1,6.0,4.0,602.0,6.0,4.0,699.1,6.0,3.0,207.7,6.0,3.0,1672.0,5.0,3.0,1900.0
6.0,5.0,114.5,6.0,5.0,1244.0,6.0,5.0,1223.0,6.0,5.0,132.5,6.0,4.0,869.7,5.0,4.0,1170.0
