1,山本 修一,山本 修一.1,2,坂口 周,坂口 周.1,3,長畑 友輔,長畑 友輔.1,4,山ノ内　雅人,山ノ内　雅人.1,5,石丸 小槙,石丸 小槙.1,6,伊藤 玲奈,伊藤 玲奈.1
2.0,3.0,9.8,1.0,3.0,39.1,1.0,2.0,249.4,1.0,2.0,26.8,1.0,2.0,178.6,1.0,2.0,836.8
2.0,4.0,3.9,1.0,4.0,18.1,1.0,4.0,259.3,1.0,3.0,88.9,1.0,3.0,378.5,1.0,3.0,1643.0
2.0,5.0,20.1,1.0,5.0,79.0,1.0,5.0,350.9,1.0,5.0,50.5,1.0,4.0,161.6,1.0,4.0,688.6
2.0,6.0,37.5,1.0,6.0,99.5,1.0,6.0,601.5,1.0,6.0,73.5,1.0,6.0,310.3,1.0,5.0,1379.0
3.0,2.0,26.9,3.0,1.0,206.6,2.0,1.0,306.6,2.0,1.0,41.5,2.0,1.0,383.3,2.0,1.0,1255.0
3.0,4.0,25.1,3.0,4.0,233.6,2.0,4.0,406.6,2.0,3.0,145.0,2.0,3.0,956.3,2.0,3.0,2824.0
3.0,5.0,53.8,3.0,5.0,544.4,2.0,5.0,554.4,2.0,5.0,105.3,2.0,4.0,400.3,2.0,4.0,1353.0
3.0,6.0,99.7,3.0,6.0,676.9,2.0,6.0,1009.0,2.0,6.0,138.7,2.0,6.0,756.3,2.0,5.0,2362.0
4.0,2.0,6.9,4.0,1.0,53.5,4.0,1.0,340.0,3.0,1.0,266.0,3.0,1.0,910.6,3.0,1.0,2939.0
4.0,3.0,18.4,4.0,3.0,173.0,4.0,2.0,472.5,3.0,2.0,314.3,3.0,2.0,1571.0,3.0,2.0,4203.0
4.0,5.0,22.6,4.0,5.0,202.0,4.0,5.0,840.7,3.0,5.0,495.9,3.0,4.0,1007.0,3.0,4.0,3316.0
4.0,6.0,37.1,4.0,6.0,236.1,4.0,6.0,1021.0,3.0,6.0,562.2,3.0,6.0,1882.0,3.0,5.0,3972.0
5.0,2.0,52.6,5.0,1.0,240.8,5.0,1.0,587.8,5.0,1.0,70.8,4.0,1.0,218.4,4.0,1.0,739.2
5.0,3.0,104.9,5.0,3.0,528.5,5.0,2.0,1428.0,5.0,2.0,95.4,4.0,2.0,362.6,4.0,2.0,1281.0
5.0,4.0,53.7,5.0,4.0,406.1,5.0,4.0,906.0,5.0,3.0,242.7,4.0,3.0,687.2,4.0,3.0,2869.0
5.0,6.0,101.7,5.0,6.0,616.9,5.0,6.0,1772.0,5.0,6.0,131.3,4.0,6.0,461.1,4.0,5.0,1912.0
6.0,2.0,171.5,6.0,1.0,504.9,6.0,1.0,1613.0,6.0,1.0,173.8,6.0,1.0,533.9,5.0,1.0,1558.0
6.0,3.0,315.1,6.0,3.0,1126.0,6.0,2.0,1873.0,6.0,2.0,221.6,6.0,2.0,600.5,5.0,2.0,1882.0
6.0,4.0,187.4,6.0,4.0,651.3,6.0,4.0,2476.0,6.0,3.0,462.8,6.0,3.0,922.2,5.0,3.0,2582.0
6.0,5.0,203.5,6.0,5.0,1166.0,6.0,5.0,2030.0,6.0,5.0,241.8,6.0,4.0,575.6,5.0,4.0,1571.0
