1,山本　景士郎,山本　景士郎.1,2,梶山 涼斗,梶山 涼斗.1,3,堤 昇,堤 昇.1,4,赤峰 和也,赤峰 和也.1,5,松村 敏,松村 敏.1,6,高橋 勲,高橋 勲.1
2.0,3.0,34.7,1.0,3.0,160.0,1.0,2.0,111.4,1.0,2.0,1040.0,1.0,2.0,27.1,1.0,2.0,247.8
2.0,4.0,141.3,1.0,4.0,552.8,1.0,4.0,196.5,1.0,3.0,1029.0,1.0,3.0,13.6,1.0,3.0,144.7
2.0,5.0,27.4,1.0,5.0,118.5,1.0,5.0,34.9,1.0,5.0,483.1,1.0,4.0,47.9,1.0,4.0,549.8
2.0,6.0,52.3,1.0,6.0,250.2,1.0,6.0,88.0,1.0,6.0,1019.0,1.0,6.0,20.8,1.0,5.0,89.2
3.0,2.0,31.7,3.0,1.0,290.2,2.0,1.0,224.6,2.0,1.0,1311.0,2.0,1.0,64.2,2.0,1.0,431.5
3.0,4.0,93.6,3.0,4.0,796.9,2.0,4.0,708.5,2.0,3.0,2223.0,2.0,3.0,76.0,2.0,3.0,524.4
3.0,5.0,12.3,3.0,5.0,213.5,2.0,5.0,149.3,2.0,5.0,1069.0,2.0,4.0,154.4,2.0,4.0,1262.0
3.0,6.0,34.5,3.0,6.0,411.2,2.0,6.0,318.2,2.0,6.0,1614.0,2.0,6.0,85.5,2.0,5.0,318.2
4.0,2.0,266.3,4.0,1.0,1157.0,4.0,1.0,522.6,3.0,1.0,1180.0,3.0,1.0,21.9,3.0,1.0,211.1
4.0,3.0,239.3,4.0,3.0,1966.0,4.0,2.0,767.0,3.0,2.0,1905.0,3.0,2.0,53.7,3.0,2.0,457.9
4.0,5.0,173.8,4.0,5.0,913.1,4.0,5.0,265.6,3.0,5.0,627.4,3.0,4.0,71.3,3.0,4.0,921.3
4.0,6.0,306.5,4.0,6.0,1685.0,4.0,6.0,715.1,3.0,6.0,1667.0,3.0,6.0,32.1,3.0,5.0,142.7
5.0,2.0,20.0,5.0,1.0,142.0,5.0,1.0,29.8,5.0,1.0,487.0,4.0,1.0,81.9,4.0,1.0,1482.0
5.0,3.0,10.2,5.0,3.0,206.4,5.0,2.0,65.8,5.0,2.0,938.2,4.0,2.0,131.5,4.0,2.0,2101.0
5.0,4.0,64.0,5.0,4.0,686.3,5.0,4.0,93.7,5.0,3.0,486.2,4.0,3.0,102.1,4.0,3.0,1743.0
5.0,6.0,17.2,5.0,6.0,261.5,5.0,6.0,52.4,5.0,6.0,708.5,4.0,6.0,119.9,4.0,5.0,1019.0
6.0,2.0,62.8,6.0,1.0,418.5,6.0,1.0,179.3,6.0,1.0,1180.0,6.0,1.0,42.9,5.0,1.0,107.9
6.0,3.0,40.7,6.0,3.0,457.2,6.0,2.0,296.1,6.0,2.0,1333.0,6.0,2.0,74.3,5.0,2.0,233.4
6.0,4.0,202.2,6.0,4.0,1351.0,6.0,4.0,681.8,6.0,3.0,2272.0,6.0,3.0,43.4,5.0,3.0,118.1
6.0,5.0,29.6,6.0,5.0,329.5,6.0,5.0,104.1,6.0,5.0,1278.0,6.0,4.0,131.6,5.0,4.0,464.1
