1,中野 希一,中野 希一.1,2,浦野 海,浦野 海.1,3,市川 健太,市川 健太.1,4,塚越 海斗,塚越 海斗.1,5,小宮 涼雅,小宮 涼雅.1,6,大場 恒季,大場 恒季.1
2.0,3.0,8.0,1.0,3.0,58.7,1.0,2.0,50.0,1.0,2.0,101.1,1.0,2.0,300.8,1.0,2.0,113.4
2.0,4.0,13.1,1.0,4.0,77.3,1.0,4.0,59.5,1.0,3.0,127.6,1.0,3.0,307.1,1.0,3.0,156.2
2.0,5.0,29.9,1.0,5.0,173.2,1.0,5.0,106.0,1.0,5.0,224.9,1.0,4.0,440.8,1.0,4.0,150.9
2.0,6.0,11.7,1.0,6.0,66.3,1.0,6.0,41.3,1.0,6.0,81.4,1.0,6.0,248.5,1.0,5.0,367.8
3.0,2.0,8.9,3.0,1.0,158.4,2.0,1.0,138.4,2.0,1.0,194.2,2.0,1.0,574.9,2.0,1.0,227.3
3.0,4.0,12.1,3.0,4.0,427.5,2.0,4.0,335.6,2.0,3.0,393.3,2.0,3.0,1335.0,2.0,3.0,578.5
3.0,5.0,28.8,3.0,5.0,750.5,2.0,5.0,511.1,2.0,5.0,616.2,2.0,4.0,1359.0,2.0,4.0,516.8
3.0,6.0,11.9,3.0,6.0,370.0,2.0,6.0,254.3,2.0,6.0,237.6,2.0,6.0,894.5,2.0,5.0,1020.0
4.0,2.0,20.9,4.0,1.0,239.1,4.0,1.0,115.7,3.0,1.0,214.1,3.0,1.0,546.7,3.0,1.0,313.1
4.0,3.0,23.3,4.0,3.0,532.5,4.0,2.0,303.8,3.0,2.0,422.1,3.0,2.0,1127.0,3.0,2.0,690.1
4.0,5.0,69.4,4.0,5.0,1046.0,4.0,5.0,339.6,3.0,5.0,628.9,3.0,4.0,1738.0,3.0,4.0,696.6
4.0,6.0,19.6,4.0,6.0,390.4,4.0,6.0,162.2,3.0,6.0,279.1,3.0,6.0,937.7,3.0,5.0,1257.0
5.0,2.0,72.2,5.0,1.0,563.5,5.0,1.0,246.3,5.0,1.0,350.9,4.0,1.0,672.5,4.0,1.0,257.1
5.0,3.0,69.0,5.0,3.0,1354.0,5.0,2.0,599.2,5.0,2.0,626.7,4.0,2.0,1364.0,4.0,2.0,530.2
5.0,4.0,129.0,5.0,4.0,1574.0,5.0,4.0,583.1,5.0,3.0,726.9,4.0,3.0,1065.0,4.0,3.0,685.0
5.0,6.0,74.5,5.0,6.0,1049.0,5.0,6.0,368.1,5.0,6.0,333.2,4.0,6.0,830.0,4.0,5.0,1049.0
6.0,2.0,28.0,6.0,1.0,225.9,6.0,1.0,139.1,6.0,1.0,136.6,6.0,1.0,396.2,5.0,1.0,615.2
6.0,3.0,30.8,6.0,3.0,544.3,6.0,2.0,331.1,6.0,2.0,272.1,6.0,2.0,691.4,5.0,2.0,1071.0
6.0,4.0,38.4,6.0,4.0,560.0,6.0,4.0,303.5,6.0,3.0,357.1,6.0,3.0,861.0,5.0,3.0,1320.0
6.0,5.0,81.5,6.0,5.0,959.7,6.0,5.0,426.5,6.0,5.0,384.2,6.0,4.0,818.9,5.0,4.0,1100.0
