1,藤丸 光一,藤丸 光一.1,2,小森 信雄,小森 信雄.1,3,渡辺 空依,渡辺 空依.1,4,土性 雅也,土性 雅也.1,5,阿波 勝哉,阿波 勝哉.1,6,東 潤樹,東 潤樹.1
2.0,3.0,10.7,1.0,3.0,51.6,1.0,2.0,117.6,1.0,2.0,80.0,1.0,2.0,71.4,1.0,2.0,149.9
2.0,4.0,11.4,1.0,4.0,43.3,1.0,4.0,130.3,1.0,3.0,150.5,1.0,3.0,97.3,1.0,3.0,209.9
2.0,5.0,13.4,1.0,5.0,45.5,1.0,5.0,100.4,1.0,5.0,58.9,1.0,4.0,90.3,1.0,4.0,190.8
2.0,6.0,29.5,1.0,6.0,83.0,1.0,6.0,167.7,1.0,6.0,111.7,1.0,6.0,78.0,1.0,5.0,94.0
3.0,2.0,16.4,3.0,1.0,110.4,2.0,1.0,180.9,2.0,1.0,117.0,2.0,1.0,129.2,2.0,1.0,241.4
3.0,4.0,22.4,3.0,4.0,175.7,2.0,4.0,274.3,2.0,3.0,305.1,2.0,3.0,233.6,2.0,3.0,492.5
3.0,5.0,21.6,3.0,5.0,172.1,2.0,5.0,234.4,2.0,5.0,131.9,2.0,4.0,256.5,2.0,4.0,419.5
3.0,6.0,41.5,3.0,6.0,373.8,2.0,6.0,431.6,2.0,6.0,249.5,2.0,6.0,225.1,2.0,5.0,258.4
4.0,2.0,23.4,4.0,1.0,92.4,4.0,1.0,224.6,3.0,1.0,298.2,3.0,1.0,202.8,3.0,1.0,472.5
4.0,3.0,33.3,4.0,3.0,228.0,4.0,2.0,314.3,3.0,2.0,430.7,3.0,2.0,347.7,3.0,2.0,632.4
4.0,5.0,25.0,4.0,5.0,163.9,4.0,5.0,217.1,3.0,5.0,323.5,3.0,4.0,410.4,3.0,4.0,576.7
4.0,6.0,47.8,4.0,6.0,266.0,4.0,6.0,350.6,3.0,6.0,426.3,3.0,6.0,420.3,3.0,5.0,539.5
5.0,2.0,31.3,5.0,1.0,129.7,5.0,1.0,190.8,5.0,1.0,85.3,4.0,1.0,164.3,4.0,1.0,321.5
5.0,3.0,44.2,5.0,3.0,252.5,5.0,2.0,310.6,5.0,2.0,139.7,4.0,2.0,284.8,4.0,2.0,463.1
5.0,4.0,43.6,5.0,4.0,256.5,5.0,4.0,301.2,5.0,3.0,308.3,4.0,3.0,391.3,4.0,3.0,589.7
5.0,6.0,47.6,5.0,6.0,286.7,5.0,6.0,410.4,5.0,6.0,154.5,4.0,6.0,257.8,4.0,5.0,327.1
6.0,2.0,58.7,6.0,1.0,222.9,6.0,1.0,311.9,6.0,1.0,190.6,6.0,1.0,104.7,5.0,1.0,84.2
6.0,3.0,82.1,6.0,3.0,561.2,6.0,2.0,468.3,6.0,2.0,302.9,6.0,2.0,184.2,5.0,2.0,167.4
6.0,4.0,75.3,6.0,4.0,476.8,6.0,4.0,506.8,6.0,3.0,462.1,6.0,3.0,297.7,5.0,3.0,272.2
6.0,5.0,42.7,6.0,5.0,284.8,6.0,5.0,388.3,6.0,5.0,160.7,6.0,4.0,219.6,5.0,4.0,207.4
