1,吉田 祐貴,吉田 祐貴.1,2,原田 秀弥,原田 秀弥.1,3,木山 誠一,木山 誠一.1,4,竹上 真司,竹上 真司.1,5,中辻 崇人,中辻 崇人.1,6,佐藤　謙史朗,佐藤　謙史朗.1
2.0,3.0,100.9,1.0,3.0,133.1,1.0,2.0,282.9,1.0,2.0,429.4,1.0,2.0,20.6,1.0,2.0,348.7
2.0,4.0,121.2,1.0,4.0,142.0,1.0,4.0,540.8,1.0,3.0,1001.0,1.0,3.0,53.3,1.0,3.0,772.1
2.0,5.0,48.3,1.0,5.0,52.7,1.0,5.0,272.2,1.0,5.0,369.1,1.0,4.0,48.2,1.0,4.0,846.4
2.0,6.0,148.4,1.0,6.0,152.6,1.0,6.0,685.7,1.0,6.0,815.6,1.0,6.0,19.9,1.0,5.0,241.6
3.0,2.0,138.8,3.0,1.0,195.0,2.0,1.0,321.6,2.0,1.0,457.6,2.0,1.0,18.9,2.0,1.0,309.3
3.0,4.0,230.9,3.0,4.0,176.3,2.0,4.0,266.8,2.0,3.0,596.7,2.0,3.0,30.0,2.0,3.0,526.7
3.0,5.0,130.0,3.0,5.0,72.7,2.0,5.0,162.8,2.0,5.0,188.5,2.0,4.0,25.4,2.0,4.0,405.3
3.0,6.0,350.5,3.0,6.0,233.8,2.0,6.0,422.3,2.0,6.0,389.7,2.0,6.0,10.2,2.0,5.0,146.9
4.0,2.0,209.1,4.0,1.0,217.5,4.0,1.0,1006.0,3.0,1.0,1226.0,3.0,1.0,79.8,3.0,1.0,1130.0
4.0,3.0,380.9,4.0,3.0,212.0,4.0,2.0,423.2,3.0,2.0,654.6,3.0,2.0,52.2,3.0,2.0,875.7
4.0,5.0,168.8,4.0,5.0,70.6,4.0,5.0,449.5,3.0,5.0,535.1,3.0,4.0,101.6,3.0,4.0,1264.0
4.0,6.0,435.9,4.0,6.0,180.4,4.0,6.0,895.0,3.0,6.0,1042.0,3.0,6.0,42.7,3.0,5.0,548.2
5.0,2.0,34.5,5.0,1.0,32.7,5.0,1.0,198.1,5.0,1.0,263.7,4.0,1.0,79.1,4.0,1.0,1189.0
5.0,3.0,83.1,5.0,3.0,40.1,5.0,2.0,127.9,5.0,2.0,144.7,4.0,2.0,45.7,4.0,2.0,656.7
5.0,4.0,90.7,5.0,4.0,33.4,5.0,4.0,266.1,5.0,3.0,320.5,4.0,3.0,105.4,4.0,3.0,1774.0
5.0,6.0,56.8,5.0,6.0,28.2,5.0,6.0,177.1,5.0,6.0,139.4,4.0,6.0,33.3,4.0,5.0,434.1
6.0,2.0,300.1,6.0,1.0,284.5,6.0,1.0,1280.0,6.0,1.0,1182.0,6.0,1.0,14.9,5.0,1.0,116.5
6.0,3.0,566.6,6.0,3.0,351.8,6.0,2.0,787.1,6.0,2.0,493.3,6.0,2.0,9.3,5.0,2.0,83.0
6.0,4.0,586.3,6.0,4.0,231.4,6.0,4.0,1455.0,6.0,3.0,1111.0,6.0,3.0,25.5,5.0,3.0,181.1
6.0,5.0,193.9,6.0,5.0,95.4,6.0,5.0,516.0,6.0,5.0,352.4,6.0,4.0,25.8,5.0,4.0,181.4
