1,松崎　祐太郎,松崎　祐太郎.1,2,平池 仁志,平池 仁志.1,3,胡本 悟志,胡本 悟志.1,4,杉山 太陽,杉山 太陽.1,5,齋藤 真之,齋藤 真之.1,6,加藤 翔馬,加藤 翔馬.1
2.0,3.0,8.1,1.0,3.0,223.4,1.0,2.0,266.3,1.0,2.0,91.4,1.0,2.0,243.2,1.0,2.0,157.8
2.0,4.0,18.8,1.0,4.0,377.7,1.0,4.0,353.0,1.0,3.0,143.0,1.0,3.0,313.9,1.0,3.0,188.5
2.0,5.0,19.2,1.0,5.0,420.4,1.0,5.0,348.6,1.0,5.0,60.2,1.0,4.0,169.4,1.0,4.0,209.9
2.0,6.0,11.1,1.0,6.0,251.3,1.0,6.0,241.1,1.0,6.0,48.0,1.0,6.0,115.7,1.0,5.0,209.8
3.0,2.0,9.6,3.0,1.0,484.7,2.0,1.0,570.6,2.0,1.0,250.4,2.0,1.0,698.5,2.0,1.0,454.3
3.0,4.0,24.8,3.0,4.0,1449.0,2.0,4.0,1282.0,2.0,3.0,744.2,2.0,3.0,1575.0,2.0,3.0,1279.0
3.0,5.0,18.8,3.0,5.0,1894.0,2.0,5.0,1407.0,2.0,5.0,494.2,2.0,4.0,1345.0,2.0,4.0,1453.0
3.0,6.0,11.9,3.0,6.0,1351.0,2.0,6.0,1188.0,2.0,6.0,387.0,2.0,6.0,911.6,2.0,5.0,1373.0
4.0,2.0,26.6,4.0,1.0,761.8,4.0,1.0,901.6,3.0,1.0,511.7,3.0,1.0,1015.0,3.0,1.0,580.3
4.0,3.0,36.5,4.0,3.0,1628.0,4.0,2.0,1661.0,3.0,2.0,974.4,3.0,2.0,2255.0,3.0,2.0,1431.0
4.0,5.0,26.3,4.0,5.0,1985.0,4.0,5.0,1571.0,3.0,5.0,874.4,3.0,4.0,2100.0,3.0,4.0,1383.0
4.0,6.0,19.4,4.0,6.0,1277.0,4.0,6.0,1294.0,3.0,6.0,639.2,3.0,6.0,1464.0,3.0,5.0,1651.0
5.0,2.0,31.4,5.0,1.0,994.4,5.0,1.0,974.4,5.0,1.0,80.1,4.0,1.0,189.3,4.0,1.0,289.4
5.0,3.0,36.1,5.0,3.0,2123.0,5.0,2.0,2147.0,5.0,2.0,216.4,4.0,2.0,551.1,4.0,2.0,843.9
5.0,4.0,37.9,5.0,4.0,2255.0,5.0,4.0,2020.0,5.0,3.0,370.2,4.0,3.0,818.8,4.0,3.0,1008.0
5.0,6.0,21.9,5.0,6.0,1550.0,5.0,6.0,1584.0,5.0,6.0,86.4,4.0,6.0,183.8,4.0,5.0,485.5
6.0,2.0,18.9,6.0,1.0,593.4,6.0,1.0,592.8,6.0,1.0,80.9,6.0,1.0,210.2,5.0,1.0,394.6
6.0,3.0,19.8,6.0,3.0,1614.0,6.0,2.0,1320.0,6.0,2.0,219.6,6.0,2.0,605.1,5.0,2.0,1161.0
6.0,4.0,33.3,6.0,4.0,1870.0,6.0,4.0,1852.0,6.0,3.0,334.1,6.0,3.0,840.2,5.0,3.0,1329.0
6.0,5.0,26.8,6.0,5.0,1794.0,6.0,5.0,1656.0,6.0,5.0,120.7,6.0,4.0,326.2,5.0,4.0,646.3
