1,永井 聖美,永井 聖美.1,2,犬童 千秋,犬童 千秋.1,3,田中 博子,田中 博子.1,4,中北 涼,中北 涼.1,5,前田 紗希,前田 紗希.1,6,佐々木　裕美,佐々木　裕美.1
2.0,3.0,35.3,1.0,3.0,168.1,1.0,2.0,521.0,1.0,2.0,190.6,1.0,2.0,25.1,1.0,2.0,151.2
2.0,4.0,18.6,1.0,4.0,78.4,1.0,4.0,668.0,1.0,3.0,681.6,1.0,3.0,158.3,1.0,3.0,726.1
2.0,5.0,6.8,1.0,5.0,30.7,1.0,5.0,451.9,1.0,5.0,112.0,1.0,4.0,60.1,1.0,4.0,364.2
2.0,6.0,16.4,1.0,6.0,54.9,1.0,6.0,852.0,1.0,6.0,163.8,1.0,6.0,22.5,1.0,5.0,89.5
3.0,2.0,86.4,3.0,1.0,460.0,2.0,1.0,690.1,2.0,1.0,307.0,2.0,1.0,48.1,2.0,1.0,250.0
3.0,4.0,167.9,3.0,4.0,802.9,2.0,4.0,1274.0,2.0,3.0,959.8,2.0,3.0,284.2,2.0,3.0,1091.0
3.0,5.0,83.1,3.0,5.0,590.1,2.0,5.0,839.2,2.0,5.0,260.5,2.0,4.0,143.7,2.0,4.0,669.3
3.0,6.0,152.1,3.0,6.0,824.7,2.0,6.0,1176.0,2.0,6.0,411.8,2.0,6.0,59.4,2.0,5.0,222.6
4.0,2.0,41.1,4.0,1.0,198.1,4.0,1.0,1214.0,3.0,1.0,1265.0,3.0,1.0,434.9,3.0,1.0,1445.0
4.0,3.0,169.4,4.0,3.0,773.1,4.0,2.0,1795.0,3.0,2.0,1637.0,3.0,2.0,595.3,3.0,2.0,1805.0
4.0,5.0,31.5,4.0,5.0,186.4,4.0,5.0,1678.0,3.0,5.0,1299.0,3.0,4.0,1021.0,3.0,4.0,2197.0
4.0,6.0,53.7,4.0,6.0,289.9,4.0,6.0,1613.0,3.0,6.0,1477.0,3.0,6.0,672.0,3.0,5.0,1380.0
5.0,2.0,8.5,5.0,1.0,46.8,5.0,1.0,569.9,5.0,1.0,103.9,4.0,1.0,111.3,4.0,1.0,599.6
5.0,3.0,54.3,5.0,3.0,323.9,5.0,2.0,726.1,5.0,2.0,162.8,4.0,2.0,164.7,4.0,2.0,867.5
5.0,4.0,22.0,5.0,4.0,132.0,5.0,4.0,1167.0,5.0,3.0,709.1,4.0,3.0,657.5,4.0,3.0,1866.0
5.0,6.0,10.2,5.0,6.0,65.6,5.0,6.0,1030.0,5.0,6.0,88.8,4.0,6.0,96.3,4.0,5.0,335.3
6.0,2.0,39.1,6.0,1.0,137.2,6.0,1.0,1397.0,6.0,1.0,272.8,6.0,1.0,35.0,5.0,1.0,96.0
6.0,3.0,191.5,6.0,3.0,647.3,6.0,2.0,1678.0,6.0,2.0,410.3,6.0,2.0,51.7,5.0,2.0,157.5
6.0,4.0,85.0,6.0,4.0,327.4,6.0,4.0,1786.0,6.0,3.0,1037.0,6.0,3.0,274.4,5.0,3.0,701.7
6.0,5.0,27.2,6.0,5.0,116.6,6.0,5.0,1409.0,6.0,5.0,169.3,6.0,4.0,92.4,5.0,4.0,241.6
