1,木山 和幸,木山 和幸.1,2,高野 心吾,高野 心吾.1,3,大神 康司,大神 康司.1,4,鈴木 智啓,鈴木 智啓.1,5,米田 隆弘,米田 隆弘.1,6,原田 幸哉,原田 幸哉.1
2.0,3.0,51.6,1.0,3.0,169.6,1.0,2.0,74.0,1.0,2.0,193.9,1.0,2.0,349.4,1.0,2.0,73.2
2.0,4.0,57.3,1.0,4.0,129.3,1.0,4.0,45.0,1.0,3.0,127.4,1.0,3.0,237.6,1.0,3.0,39.4
2.0,5.0,71.3,1.0,5.0,169.3,1.0,5.0,67.6,1.0,5.0,158.9,1.0,4.0,296.4,1.0,4.0,69.2
2.0,6.0,38.6,1.0,6.0,108.0,1.0,6.0,23.1,1.0,6.0,77.5,1.0,6.0,111.7,1.0,5.0,60.4
3.0,2.0,34.8,3.0,1.0,238.7,2.0,1.0,165.1,2.0,1.0,261.2,2.0,1.0,589.5,2.0,1.0,133.0
3.0,4.0,23.1,3.0,4.0,279.9,2.0,4.0,178.2,2.0,3.0,405.8,2.0,3.0,824.4,2.0,3.0,173.8
3.0,5.0,40.3,3.0,5.0,297.2,2.0,5.0,274.8,2.0,5.0,401.2,2.0,4.0,708.2,2.0,4.0,198.7
3.0,6.0,13.4,3.0,6.0,184.1,2.0,6.0,129.4,2.0,6.0,202.5,2.0,6.0,348.2,2.0,5.0,178.8
4.0,2.0,64.6,4.0,1.0,196.1,4.0,1.0,81.9,3.0,1.0,163.6,3.0,1.0,293.1,3.0,1.0,42.0
4.0,3.0,46.1,4.0,3.0,314.0,4.0,2.0,150.1,3.0,2.0,338.2,3.0,2.0,631.8,3.0,2.0,115.2
4.0,5.0,64.8,4.0,5.0,338.2,4.0,5.0,163.3,3.0,5.0,210.2,3.0,4.0,504.9,3.0,4.0,50.7
4.0,6.0,32.8,4.0,6.0,169.3,4.0,6.0,56.2,3.0,6.0,91.2,3.0,6.0,190.4,3.0,5.0,99.0
5.0,2.0,135.4,5.0,1.0,336.0,5.0,1.0,138.6,5.0,1.0,192.5,4.0,1.0,362.6,4.0,1.0,89.5
5.0,3.0,89.8,5.0,3.0,399.7,5.0,2.0,293.9,5.0,2.0,393.7,4.0,2.0,639.5,4.0,2.0,168.8
5.0,4.0,95.5,5.0,4.0,361.3,5.0,4.0,229.4,5.0,3.0,238.2,4.0,3.0,450.9,4.0,3.0,81.4
5.0,6.0,40.8,5.0,6.0,165.1,5.0,6.0,106.3,5.0,6.0,109.1,4.0,6.0,190.4,4.0,5.0,130.4
6.0,2.0,40.0,6.0,1.0,142.2,6.0,1.0,29.2,6.0,1.0,74.0,6.0,1.0,96.8,5.0,1.0,87.5
6.0,3.0,18.9,6.0,3.0,194.6,6.0,2.0,80.3,6.0,2.0,141.0,6.0,2.0,194.6,5.0,2.0,177.0
6.0,4.0,34.9,6.0,4.0,179.7,6.0,4.0,42.6,6.0,3.0,78.7,6.0,3.0,143.3,5.0,3.0,123.5
6.0,5.0,30.9,6.0,5.0,127.4,6.0,5.0,73.7,6.0,5.0,96.0,6.0,4.0,155.4,5.0,4.0,141.4
