1,岡村 慶太,岡村 慶太.1,2,岡崎 恭裕,岡崎 恭裕.1,3,寺島 吉彦,寺島 吉彦.1,4,丸岡 正典,丸岡 正典.1,5,大庭 元明,大庭 元明.1,6,乙津 康志,乙津 康志.1
2.0,3.0,7.3,1.0,3.0,47.3,1.0,2.0,288.9,1.0,2.0,27.2,1.0,2.0,457.1,1.0,2.0,1242.0
2.0,4.0,3.7,1.0,4.0,21.5,1.0,4.0,311.4,1.0,3.0,93.0,1.0,3.0,782.5,1.0,3.0,2714.0
2.0,5.0,22.7,1.0,5.0,82.0,1.0,5.0,481.6,1.0,5.0,58.7,1.0,4.0,424.9,1.0,4.0,1353.0
2.0,6.0,37.8,1.0,6.0,152.4,1.0,6.0,760.8,1.0,6.0,97.3,1.0,6.0,732.9,1.0,5.0,2571.0
3.0,2.0,14.4,3.0,1.0,207.9,2.0,1.0,449.6,2.0,1.0,46.8,2.0,1.0,672.4,2.0,1.0,1802.0
3.0,4.0,15.8,3.0,4.0,242.0,2.0,4.0,459.0,2.0,3.0,163.6,2.0,3.0,1185.0,2.0,3.0,4034.0
3.0,5.0,47.6,3.0,5.0,425.3,2.0,5.0,681.8,2.0,5.0,137.7,2.0,4.0,853.9,2.0,4.0,2124.0
3.0,6.0,100.0,3.0,6.0,732.9,2.0,6.0,1328.0,2.0,6.0,213.5,2.0,6.0,1242.0,2.0,5.0,3891.0
4.0,2.0,6.6,4.0,1.0,54.7,4.0,1.0,511.9,3.0,1.0,301.8,3.0,1.0,1532.0,3.0,1.0,4034.0
4.0,3.0,14.5,4.0,3.0,174.3,4.0,2.0,584.8,3.0,2.0,339.0,3.0,2.0,1678.0,3.0,2.0,3998.0
4.0,5.0,23.4,4.0,5.0,196.3,4.0,5.0,1057.0,3.0,5.0,553.8,3.0,4.0,2586.0,3.0,4.0,3604.0
4.0,6.0,37.6,4.0,6.0,357.8,4.0,6.0,1506.0,3.0,6.0,842.5,3.0,6.0,4311.0,3.0,5.0,4354.0
5.0,2.0,71.8,5.0,1.0,394.7,5.0,1.0,1116.0,5.0,1.0,104.0,4.0,1.0,458.1,4.0,1.0,1605.0
5.0,3.0,120.7,5.0,3.0,811.4,5.0,2.0,1235.0,5.0,2.0,136.8,4.0,2.0,669.3,4.0,2.0,2155.0
5.0,4.0,72.1,5.0,4.0,478.5,5.0,4.0,1521.0,5.0,3.0,317.7,4.0,3.0,1349.0,4.0,3.0,4228.0
5.0,6.0,205.4,5.0,6.0,945.7,5.0,6.0,1989.0,5.0,6.0,174.0,4.0,6.0,886.6,4.0,5.0,2912.0
6.0,2.0,189.7,6.0,1.0,806.9,6.0,1.0,2403.0,6.0,1.0,296.3,6.0,1.0,1863.0,5.0,1.0,4034.0
6.0,3.0,412.1,6.0,3.0,1903.0,6.0,2.0,2837.0,6.0,2.0,377.8,6.0,2.0,2498.0,5.0,2.0,4442.0
6.0,4.0,213.8,6.0,4.0,951.9,6.0,4.0,2765.0,6.0,3.0,728.1,6.0,3.0,3306.0,5.0,3.0,5638.0
6.0,5.0,386.4,6.0,5.0,1370.0,6.0,5.0,2765.0,6.0,5.0,405.3,6.0,4.0,2278.0,5.0,4.0,3282.0
