first,second,third,odds
3,1,1035,2.0
4,1587,3,1228.0
5,1989,4,1217.0
3,1419,2,1302.0
5,1503,4,1233.0
5,1,2224,4.0
5,1,1202,4.0
3,2004,2,1712.0
4,2173,3,1569.0
