1,向井 美鈴,向井 美鈴.1,2,川原 愛未,川原 愛未.1,3,金田 幸子,金田 幸子.1,4,角 ひとみ,角 ひとみ.1,5,水口 由紀,水口 由紀.1,6,福山　恵里奈,福山　恵里奈.1
2.0,3.0,9.8,1.0,3.0,40.9,1.0,2.0,26.4,1.0,2.0,294.9,1.0,2.0,259.1,1.0,2.0,1788.0
2.0,4.0,29.3,1.0,4.0,102.7,1.0,4.0,17.9,1.0,3.0,139.3,1.0,3.0,140.9,1.0,3.0,1337.0
2.0,5.0,30.7,1.0,5.0,80.8,1.0,5.0,17.4,1.0,5.0,243.3,1.0,4.0,321.1,1.0,4.0,1885.0
2.0,6.0,155.0,1.0,6.0,355.6,1.0,6.0,99.7,1.0,6.0,688.8,1.0,6.0,589.9,1.0,5.0,2435.0
3.0,2.0,7.2,3.0,1.0,58.6,2.0,1.0,60.9,2.0,1.0,525.0,2.0,1.0,451.1,2.0,1.0,2881.0
3.0,4.0,6.2,3.0,4.0,149.2,2.0,4.0,120.3,2.0,3.0,569.8,2.0,3.0,467.7,2.0,3.0,2892.0
3.0,5.0,7.1,3.0,5.0,113.4,2.0,5.0,98.0,2.0,5.0,671.0,2.0,4.0,731.6,2.0,4.0,3709.0
3.0,6.0,57.6,3.0,6.0,471.2,2.0,6.0,353.7,2.0,6.0,1505.0,2.0,6.0,1179.0,2.0,5.0,2661.0
4.0,2.0,41.0,4.0,1.0,305.6,4.0,1.0,41.4,3.0,1.0,158.9,3.0,1.0,165.6,3.0,1.0,1676.0
4.0,3.0,21.0,4.0,3.0,326.8,4.0,2.0,112.6,3.0,2.0,420.3,3.0,2.0,376.8,3.0,2.0,2592.0
4.0,5.0,39.6,4.0,5.0,450.8,4.0,5.0,59.3,3.0,5.0,258.3,3.0,4.0,355.7,3.0,4.0,2772.0
4.0,6.0,189.4,4.0,6.0,954.9,4.0,6.0,246.0,3.0,6.0,738.4,3.0,6.0,677.8,3.0,5.0,2263.0
5.0,2.0,49.4,5.0,1.0,238.1,5.0,1.0,46.8,5.0,1.0,356.7,4.0,1.0,535.5,4.0,1.0,2861.0
5.0,3.0,27.5,5.0,3.0,242.6,5.0,2.0,108.9,5.0,2.0,578.4,4.0,2.0,838.9,4.0,2.0,3230.0
5.0,4.0,61.5,5.0,4.0,503.2,5.0,4.0,74.2,5.0,3.0,374.2,4.0,3.0,502.3,4.0,3.0,3310.0
5.0,6.0,189.8,5.0,6.0,965.2,5.0,6.0,202.4,5.0,6.0,864.2,4.0,6.0,1296.0,4.0,5.0,3081.0
6.0,2.0,512.5,6.0,1.0,1353.0,6.0,1.0,462.3,6.0,1.0,1388.0,6.0,1.0,1223.0,5.0,1.0,3154.0
6.0,3.0,318.8,6.0,3.0,1546.0,6.0,2.0,801.9,6.0,2.0,1944.0,6.0,2.0,1631.0,5.0,2.0,3310.0
6.0,4.0,520.2,6.0,4.0,1968.0,6.0,4.0,665.9,6.0,3.0,1800.0,6.0,3.0,1232.0,5.0,3.0,2913.0
6.0,5.0,524.3,6.0,5.0,1800.0,6.0,5.0,497.3,6.0,5.0,1683.0,6.0,4.0,1780.0,5.0,4.0,3468.0
