1,川上 昇平,川上 昇平.1,2,大峯 豊,大峯 豊.1,3,松田 竜馬,松田 竜馬.1,4,木山 和幸,木山 和幸.1,5,牧 宏次,牧 宏次.1,6,北野 輝季,北野 輝季.1
2.0,3.0,11.8,1.0,3.0,18.6,1.0,2.0,65.6,1.0,2.0,147.6,1.0,2.0,221.9,1.0,2.0,124.5
2.0,4.0,23.3,1.0,4.0,36.6,1.0,4.0,143.1,1.0,3.0,349.4,1.0,3.0,326.3,1.0,3.0,231.9
2.0,5.0,24.2,1.0,5.0,35.4,1.0,5.0,101.4,1.0,5.0,200.0,1.0,4.0,420.8,1.0,4.0,285.7
2.0,6.0,17.5,1.0,6.0,21.3,1.0,6.0,62.7,1.0,6.0,136.1,1.0,6.0,223.3,1.0,5.0,285.7
3.0,2.0,22.4,3.0,1.0,35.2,2.0,1.0,71.4,2.0,1.0,185.0,2.0,1.0,260.4,2.0,1.0,144.5
3.0,4.0,56.3,3.0,4.0,66.2,2.0,4.0,106.0,2.0,3.0,247.8,2.0,3.0,314.4,2.0,3.0,132.0
3.0,5.0,47.1,3.0,5.0,44.1,2.0,5.0,68.7,2.0,5.0,213.0,2.0,4.0,410.7,2.0,4.0,157.0
3.0,6.0,32.8,3.0,6.0,24.5,2.0,6.0,37.8,2.0,6.0,108.6,2.0,6.0,170.6,2.0,5.0,189.3
4.0,2.0,60.5,4.0,1.0,91.2,4.0,1.0,256.5,3.0,1.0,505.5,3.0,1.0,467.8,3.0,1.0,265.9
4.0,3.0,106.3,4.0,3.0,112.6,4.0,2.0,202.6,3.0,2.0,349.4,3.0,2.0,320.9,3.0,2.0,153.3
4.0,5.0,107.7,4.0,5.0,137.8,4.0,5.0,230.4,3.0,5.0,404.7,3.0,4.0,522.8,3.0,4.0,330.2
4.0,6.0,83.7,4.0,6.0,58.9,4.0,6.0,157.7,3.0,6.0,264.4,3.0,6.0,257.0,3.0,5.0,250.0
5.0,2.0,68.0,5.0,1.0,111.1,5.0,1.0,191.1,5.0,1.0,256.0,4.0,1.0,541.2,4.0,1.0,319.5
5.0,3.0,86.6,5.0,3.0,106.0,5.0,2.0,127.9,5.0,2.0,279.9,4.0,2.0,463.1,4.0,2.0,184.5
5.0,4.0,179.2,5.0,4.0,187.2,5.0,4.0,251.8,5.0,3.0,403.5,4.0,3.0,730.2,4.0,3.0,448.1
5.0,6.0,95.8,5.0,6.0,79.5,5.0,6.0,102.6,5.0,6.0,150.0,4.0,6.0,285.1,4.0,5.0,330.2
6.0,2.0,47.4,6.0,1.0,58.5,6.0,1.0,118.8,6.0,1.0,187.7,6.0,1.0,277.1,5.0,1.0,321.7
6.0,3.0,66.1,6.0,3.0,49.0,6.0,2.0,69.6,6.0,2.0,131.8,6.0,2.0,195.2,5.0,2.0,232.7
6.0,4.0,153.3,6.0,4.0,71.7,6.0,4.0,172.1,6.0,3.0,282.2,6.0,3.0,313.6,5.0,3.0,341.6
6.0,5.0,113.6,6.0,5.0,82.6,6.0,5.0,121.3,6.0,5.0,155.9,6.0,4.0,282.2,5.0,4.0,371.0
