1,中尾 優香,中尾 優香.1,2,倉尾 大介,倉尾 大介.1,3,森 晋太郎,森 晋太郎.1,4,松尾 宣邦,松尾 宣邦.1,5,戸敷 晃美,戸敷 晃美.1,6,中島 真二,中島 真二.1
2.0,3.0,24.7,1.0,3.0,31.9,1.0,2.0,67.8,1.0,2.0,136.2,1.0,2.0,93.2,1.0,2.0,839.1
2.0,4.0,35.1,1.0,4.0,43.9,1.0,4.0,95.1,1.0,3.0,214.6,1.0,3.0,113.6,1.0,3.0,1251.0
2.0,5.0,35.9,1.0,5.0,35.2,1.0,5.0,59.2,1.0,5.0,125.7,1.0,4.0,175.0,1.0,4.0,1109.0
2.0,6.0,116.5,1.0,6.0,130.6,1.0,6.0,191.1,1.0,6.0,220.1,1.0,6.0,192.1,1.0,5.0,990.0
3.0,2.0,32.1,3.0,1.0,35.9,2.0,1.0,60.6,2.0,1.0,159.8,2.0,1.0,97.3,2.0,1.0,786.3
3.0,4.0,51.2,3.0,4.0,21.1,2.0,4.0,32.8,2.0,3.0,83.5,2.0,3.0,45.6,2.0,3.0,887.8
3.0,5.0,39.2,3.0,5.0,15.3,2.0,5.0,21.4,2.0,5.0,69.6,2.0,4.0,84.1,2.0,4.0,1066.0
3.0,6.0,124.8,3.0,6.0,57.8,2.0,6.0,65.6,2.0,6.0,149.2,2.0,6.0,104.4,2.0,5.0,773.1
4.0,2.0,53.6,4.0,1.0,71.9,4.0,1.0,144.2,3.0,1.0,258.6,3.0,1.0,129.8,3.0,1.0,1176.0
4.0,3.0,79.4,4.0,3.0,39.6,4.0,2.0,60.5,3.0,2.0,108.6,3.0,2.0,60.4,3.0,2.0,1127.0
4.0,5.0,70.9,4.0,5.0,35.6,4.0,5.0,67.4,3.0,5.0,126.7,3.0,4.0,140.9,3.0,4.0,1186.0
4.0,6.0,206.9,4.0,6.0,90.1,4.0,6.0,164.0,3.0,6.0,310.6,3.0,6.0,135.0,3.0,5.0,681.2
5.0,2.0,62.7,5.0,1.0,54.9,5.0,1.0,73.7,5.0,1.0,124.3,4.0,1.0,182.0,4.0,1.0,1186.0
5.0,3.0,69.6,5.0,3.0,24.6,5.0,2.0,34.0,5.0,2.0,74.1,4.0,2.0,110.0,4.0,2.0,1083.0
5.0,4.0,115.7,5.0,4.0,43.1,5.0,4.0,67.7,5.0,3.0,114.2,4.0,3.0,162.6,4.0,3.0,1310.0
5.0,6.0,193.8,5.0,6.0,75.9,5.0,6.0,94.3,5.0,6.0,106.7,4.0,6.0,182.5,4.0,5.0,942.5
6.0,2.0,384.3,6.0,1.0,382.2,6.0,1.0,481.1,6.0,1.0,487.9,6.0,1.0,309.2,5.0,1.0,911.3
6.0,3.0,461.7,6.0,3.0,235.6,6.0,2.0,286.1,6.0,2.0,371.9,6.0,2.0,225.2,5.0,2.0,698.5
6.0,4.0,463.3,6.0,4.0,330.8,6.0,4.0,345.7,6.0,3.0,471.2,6.0,3.0,217.4,5.0,3.0,617.1
6.0,5.0,393.1,6.0,5.0,221.6,6.0,5.0,266.6,6.0,5.0,303.1,6.0,4.0,352.8,5.0,4.0,804.7
