1,原田 幸哉,原田 幸哉.1,2,平本 真之,平本 真之.1,3,赤坂 俊輔,赤坂 俊輔.1,4,大上 卓人,大上 卓人.1,5,石丸 海渡,石丸 海渡.1,6,高倉 和士,高倉 和士.1
2.0,3.0,19.6,1.0,3.0,77.1,1.0,2.0,129.0,1.0,2.0,63.8,1.0,2.0,73.6,1.0,2.0,874.4
2.0,4.0,12.8,1.0,4.0,63.7,1.0,4.0,96.6,1.0,3.0,94.8,1.0,3.0,87.2,1.0,3.0,1123.0
2.0,5.0,21.7,1.0,5.0,84.7,1.0,5.0,115.1,1.0,5.0,39.5,1.0,4.0,58.9,1.0,4.0,786.1
2.0,6.0,59.3,1.0,6.0,157.9,1.0,6.0,215.1,1.0,6.0,80.0,1.0,6.0,74.1,1.0,5.0,779.2
3.0,2.0,23.6,3.0,1.0,173.1,2.0,1.0,224.3,2.0,1.0,126.5,2.0,1.0,159.3,2.0,1.0,1191.0
3.0,4.0,15.7,3.0,4.0,170.2,2.0,4.0,193.9,2.0,3.0,210.7,2.0,3.0,199.6,2.0,3.0,1896.0
3.0,5.0,21.1,3.0,5.0,208.7,2.0,5.0,221.6,2.0,5.0,131.7,2.0,4.0,170.4,2.0,4.0,1509.0
3.0,6.0,57.8,3.0,6.0,321.1,2.0,6.0,345.6,2.0,6.0,201.5,2.0,6.0,202.4,2.0,5.0,1326.0
4.0,2.0,14.4,4.0,1.0,129.4,4.0,1.0,161.3,3.0,1.0,169.1,3.0,1.0,172.9,3.0,1.0,1445.0
4.0,3.0,17.8,4.0,3.0,183.1,4.0,2.0,198.2,3.0,2.0,240.4,3.0,2.0,233.5,3.0,2.0,2045.0
4.0,5.0,12.9,4.0,5.0,164.6,4.0,5.0,141.4,3.0,5.0,151.9,3.0,4.0,171.8,3.0,4.0,1904.0
4.0,6.0,40.3,4.0,6.0,259.2,4.0,6.0,236.4,3.0,6.0,255.6,3.0,6.0,224.9,3.0,5.0,1917.0
5.0,2.0,27.6,5.0,1.0,186.0,5.0,1.0,202.4,5.0,1.0,46.8,4.0,1.0,71.4,4.0,1.0,1073.0
5.0,3.0,29.5,5.0,3.0,247.7,5.0,2.0,241.2,5.0,2.0,76.4,4.0,2.0,122.1,4.0,2.0,1471.0
5.0,4.0,21.4,5.0,4.0,211.7,5.0,4.0,174.1,5.0,3.0,109.7,4.0,3.0,136.9,4.0,3.0,1921.0
5.0,6.0,43.7,5.0,6.0,324.4,5.0,6.0,280.4,5.0,6.0,60.4,4.0,6.0,92.1,4.0,5.0,723.9
6.0,2.0,140.1,6.0,1.0,492.2,6.0,1.0,697.7,6.0,1.0,176.3,6.0,1.0,141.4,5.0,1.0,738.4
6.0,3.0,159.3,6.0,3.0,713.4,6.0,2.0,725.7,6.0,2.0,283.0,6.0,2.0,212.1,5.0,2.0,892.0
6.0,4.0,115.5,6.0,4.0,619.8,6.0,4.0,666.3,6.0,3.0,368.5,6.0,3.0,257.7,5.0,3.0,1267.0
6.0,5.0,116.9,6.0,5.0,653.1,6.0,5.0,669.8,6.0,5.0,153.1,6.0,4.0,163.3,5.0,4.0,622.4
