1,岩崎 正哉,岩崎 正哉.1,2,門間 雄大,門間 雄大.1,3,三好 勇人,三好 勇人.1,4,川口 貴久,川口 貴久.1,5,室田 泰史,室田 泰史.1,6,下田 哲也,下田 哲也.1
2.0,3.0,12.2,1.0,3.0,81.6,1.0,2.0,48.5,1.0,2.0,121.6,1.0,2.0,200.8,1.0,2.0,782.6
2.0,4.0,19.7,1.0,4.0,129.7,1.0,4.0,26.5,1.0,3.0,62.7,1.0,3.0,119.5,1.0,3.0,641.8
2.0,5.0,34.8,1.0,5.0,163.5,1.0,5.0,33.6,1.0,5.0,73.5,1.0,4.0,155.0,1.0,4.0,840.0
2.0,6.0,65.7,1.0,6.0,284.4,1.0,6.0,65.1,1.0,6.0,118.9,1.0,6.0,217.7,1.0,5.0,1224.0
3.0,2.0,9.4,3.0,1.0,167.8,2.0,1.0,128.3,2.0,1.0,210.0,2.0,1.0,507.7,2.0,1.0,1326.0
3.0,4.0,6.3,3.0,4.0,313.9,2.0,4.0,211.9,2.0,3.0,384.7,2.0,3.0,587.7,2.0,3.0,2139.0
3.0,5.0,10.1,3.0,5.0,324.8,2.0,5.0,227.9,2.0,5.0,249.1,2.0,4.0,960.7,2.0,4.0,2468.0
3.0,6.0,26.5,3.0,6.0,654.9,2.0,6.0,374.0,2.0,6.0,526.0,2.0,6.0,1055.0,2.0,5.0,2507.0
4.0,2.0,23.4,4.0,1.0,301.6,4.0,1.0,51.0,3.0,1.0,88.9,3.0,1.0,176.3,3.0,1.0,938.3
4.0,3.0,14.2,4.0,3.0,363.8,4.0,2.0,149.1,3.0,2.0,234.5,3.0,2.0,398.1,3.0,2.0,2031.0
4.0,5.0,28.7,4.0,5.0,564.9,4.0,5.0,74.5,3.0,5.0,161.7,3.0,4.0,333.5,3.0,4.0,1015.0
4.0,6.0,47.3,4.0,6.0,984.3,4.0,6.0,143.6,3.0,6.0,256.3,3.0,6.0,594.2,3.0,5.0,1956.0
5.0,2.0,48.1,5.0,1.0,502.9,5.0,1.0,79.5,5.0,1.0,85.1,4.0,1.0,194.2,4.0,1.0,1146.0
5.0,3.0,28.5,5.0,3.0,473.3,5.0,2.0,201.3,5.0,2.0,171.0,4.0,2.0,457.1,4.0,2.0,2468.0
5.0,4.0,51.4,5.0,4.0,1028.0,5.0,4.0,124.7,5.0,3.0,161.9,4.0,3.0,306.2,4.0,3.0,1084.0
5.0,6.0,82.2,5.0,6.0,1458.0,5.0,6.0,220.7,5.0,6.0,142.8,4.0,6.0,307.3,4.0,5.0,1419.0
6.0,2.0,189.4,6.0,1.0,932.8,6.0,1.0,302.1,6.0,1.0,269.6,6.0,1.0,529.5,5.0,1.0,1557.0
6.0,3.0,111.6,6.0,3.0,1326.0,6.0,2.0,589.8,6.0,2.0,531.2,6.0,2.0,1015.0,5.0,2.0,2766.0
6.0,4.0,138.2,6.0,4.0,1671.0,6.0,4.0,377.5,6.0,3.0,405.1,6.0,3.0,853.4,5.0,3.0,1637.0
6.0,5.0,182.9,6.0,5.0,1671.0,6.0,5.0,490.6,6.0,5.0,298.7,6.0,4.0,610.0,5.0,4.0,1445.0
