1,飯山 晃三,飯山 晃三.1,2,津留　浩一郎,津留　浩一郎.1,3,廣中 良一,廣中 良一.1,4,小林 京平,小林 京平.1,5,森 智哉,森 智哉.1,6,本岡 勝利,本岡 勝利.1
2.0,3.0,9.1,1.0,3.0,11.1,1.0,2.0,47.2,1.0,2.0,246.9,1.0,2.0,122.3,1.0,2.0,202.5
2.0,4.0,40.4,1.0,4.0,45.8,1.0,4.0,166.1,1.0,3.0,400.5,1.0,3.0,209.1,1.0,3.0,373.4
2.0,5.0,15.8,1.0,5.0,20.1,1.0,5.0,79.7,1.0,5.0,286.5,1.0,4.0,418.7,1.0,4.0,755.9
2.0,6.0,15.3,1.0,6.0,15.3,1.0,6.0,81.6,1.0,6.0,274.2,1.0,6.0,132.4,1.0,5.0,448.9
3.0,2.0,14.2,3.0,1.0,23.5,2.0,1.0,53.7,2.0,1.0,294.3,2.0,1.0,176.0,2.0,1.0,217.6
3.0,4.0,62.0,3.0,4.0,73.0,2.0,4.0,153.4,2.0,3.0,421.5,2.0,3.0,195.8,2.0,3.0,283.6
3.0,5.0,30.4,3.0,5.0,36.9,2.0,5.0,75.2,2.0,5.0,337.9,2.0,4.0,465.7,2.0,4.0,740.2
3.0,6.0,31.3,3.0,6.0,31.2,2.0,6.0,70.9,2.0,6.0,342.5,2.0,6.0,157.4,2.0,5.0,329.8
4.0,2.0,109.0,4.0,1.0,130.9,4.0,1.0,319.6,3.0,1.0,597.8,3.0,1.0,337.9,3.0,1.0,516.0
4.0,3.0,142.5,4.0,3.0,171.7,4.0,2.0,329.8,3.0,2.0,529.1,3.0,2.0,252.5,3.0,2.0,415.2
4.0,5.0,170.8,4.0,5.0,194.6,4.0,5.0,366.3,3.0,5.0,600.7,3.0,4.0,708.5,3.0,4.0,1162.0
4.0,6.0,159.6,4.0,6.0,173.6,4.0,6.0,371.2,3.0,6.0,657.9,3.0,6.0,359.9,3.0,5.0,694.7
5.0,2.0,42.0,5.0,1.0,58.3,5.0,1.0,161.9,5.0,1.0,312.0,4.0,1.0,577.0,4.0,1.0,1095.0
5.0,3.0,55.7,5.0,3.0,63.6,5.0,2.0,128.2,5.0,2.0,322.1,4.0,2.0,539.5,4.0,2.0,1151.0
5.0,4.0,157.5,5.0,4.0,167.0,5.0,4.0,349.3,5.0,3.0,498.4,4.0,3.0,772.4,4.0,3.0,1429.0
5.0,6.0,60.7,5.0,6.0,64.1,5.0,6.0,185.3,5.0,6.0,280.7,4.0,6.0,486.7,4.0,5.0,1130.0
6.0,2.0,54.6,6.0,1.0,63.6,6.0,1.0,204.0,6.0,1.0,464.8,6.0,1.0,234.4,5.0,1.0,546.6
6.0,3.0,87.7,6.0,3.0,74.5,6.0,2.0,179.8,6.0,2.0,477.3,6.0,2.0,221.0,5.0,2.0,375.7
6.0,4.0,219.5,6.0,4.0,215.7,6.0,4.0,469.2,6.0,3.0,720.9,6.0,3.0,401.8,5.0,3.0,634.4
6.0,5.0,113.4,6.0,5.0,104.7,6.0,5.0,290.2,6.0,5.0,462.3,6.0,4.0,536.0,5.0,4.0,872.6
