1,野田部　宏子,野田部　宏子.1,2,大石 真央,大石 真央.1,3,藤田 美代,藤田 美代.1,4,橋谷田　佳織,橋谷田　佳織.1,5,細川 裕子,細川 裕子.1,6,深川　麻奈美,深川　麻奈美.1
2.0,3.0,22.6,1.0,3.0,59.1,1.0,2.0,197.9,1.0,2.0,799.3,1.0,2.0,28.4,1.0,2.0,150.9
2.0,4.0,54.4,1.0,4.0,106.0,1.0,4.0,599.0,1.0,3.0,1209.0,1.0,3.0,52.9,1.0,3.0,309.4
2.0,5.0,8.6,1.0,5.0,28.1,1.0,5.0,122.6,1.0,5.0,805.9,1.0,4.0,156.6,1.0,4.0,621.7
2.0,6.0,17.8,1.0,6.0,43.9,1.0,6.0,204.9,1.0,6.0,1041.0,1.0,6.0,17.4,1.0,5.0,78.8
3.0,2.0,34.5,3.0,1.0,145.2,2.0,1.0,264.7,2.0,1.0,956.1,2.0,1.0,59.6,2.0,1.0,230.8
3.0,4.0,112.2,3.0,4.0,565.3,2.0,4.0,754.0,2.0,3.0,1810.0,2.0,3.0,145.8,2.0,3.0,641.9
3.0,5.0,23.1,3.0,5.0,136.7,2.0,5.0,241.0,2.0,5.0,1533.0,2.0,4.0,338.6,2.0,4.0,1054.0
3.0,6.0,41.7,3.0,6.0,208.3,2.0,6.0,393.6,2.0,6.0,1879.0,2.0,6.0,53.3,2.0,5.0,195.2
4.0,2.0,150.9,4.0,1.0,417.6,4.0,1.0,1285.0,3.0,1.0,1652.0,3.0,1.0,133.2,3.0,1.0,653.0
4.0,3.0,224.3,4.0,3.0,998.7,4.0,2.0,1278.0,3.0,2.0,1946.0,3.0,2.0,222.5,3.0,2.0,900.1
4.0,5.0,127.2,4.0,5.0,558.9,4.0,5.0,1278.0,3.0,5.0,2344.0,3.0,4.0,702.4,3.0,4.0,1830.0
4.0,6.0,175.0,4.0,6.0,765.7,4.0,6.0,1444.0,3.0,6.0,2401.0,3.0,6.0,118.8,3.0,5.0,501.9
5.0,2.0,9.9,5.0,1.0,47.2,5.0,1.0,163.8,5.0,1.0,934.3,4.0,1.0,579.9,4.0,1.0,1483.0
5.0,3.0,19.6,5.0,3.0,108.9,5.0,2.0,236.8,5.0,2.0,1439.0,4.0,2.0,925.5,4.0,2.0,1993.0
5.0,4.0,75.2,5.0,4.0,265.8,5.0,4.0,754.0,5.0,3.0,1817.0,4.0,3.0,1252.0,4.0,3.0,2322.0
5.0,6.0,9.4,5.0,6.0,53.6,5.0,6.0,162.9,5.0,6.0,774.2,4.0,6.0,437.3,4.0,5.0,1269.0
6.0,2.0,35.7,6.0,1.0,113.3,6.0,1.0,433.4,6.0,1.0,1558.0,6.0,1.0,24.5,5.0,1.0,74.7
6.0,3.0,68.7,6.0,3.0,294.5,6.0,2.0,591.1,6.0,2.0,2258.0,6.0,2.0,41.0,5.0,2.0,133.9
6.0,4.0,188.8,6.0,4.0,617.8,6.0,4.0,1538.0,6.0,3.0,2633.0,6.0,3.0,80.6,5.0,3.0,240.0
6.0,5.0,23.4,6.0,5.0,101.1,6.0,5.0,288.9,6.0,5.0,1323.0,6.0,4.0,186.8,5.0,4.0,475.7
