1,中村 真,中村 真.1,2,渥美 卓郎,渥美 卓郎.1,3,日高 逸子,日高 逸子.1,4,梅木 敬太,梅木 敬太.1,5,宮地 秀祈,宮地 秀祈.1,6,高野 哲史,高野 哲史.1
2.0,3.0,18.5,1.0,3.0,86.4,1.0,2.0,55.4,1.0,2.0,99.0,1.0,2.0,1061.0,1.0,2.0,188.3
2.0,4.0,29.0,1.0,4.0,127.2,1.0,4.0,35.4,1.0,3.0,62.0,1.0,3.0,753.1,1.0,3.0,85.6
2.0,5.0,100.0,1.0,5.0,356.5,1.0,5.0,118.3,1.0,5.0,161.2,1.0,4.0,840.3,1.0,4.0,153.1
2.0,6.0,27.1,1.0,6.0,109.1,1.0,6.0,24.2,1.0,6.0,42.0,1.0,6.0,482.9,1.0,5.0,374.9
3.0,2.0,14.8,3.0,1.0,167.6,2.0,1.0,149.0,2.0,1.0,222.1,2.0,1.0,1586.0,2.0,1.0,417.2
3.0,4.0,9.9,3.0,4.0,263.3,2.0,4.0,157.4,2.0,3.0,224.9,2.0,3.0,1911.0,2.0,3.0,466.5
3.0,5.0,51.5,3.0,5.0,670.7,2.0,5.0,459.2,2.0,5.0,536.1,2.0,4.0,1742.0,2.0,4.0,648.6
3.0,6.0,7.6,3.0,6.0,220.7,2.0,6.0,134.9,2.0,6.0,160.5,2.0,6.0,1331.0,2.0,5.0,1445.0
4.0,2.0,32.4,4.0,1.0,263.1,4.0,1.0,65.2,3.0,1.0,90.8,3.0,1.0,1306.0,3.0,1.0,109.2
4.0,3.0,17.8,4.0,3.0,284.1,4.0,2.0,121.9,3.0,2.0,189.3,3.0,2.0,2167.0,3.0,2.0,297.2
4.0,5.0,72.1,4.0,5.0,890.9,4.0,5.0,202.6,3.0,5.0,284.3,3.0,4.0,1552.0,3.0,4.0,177.9
4.0,6.0,17.9,4.0,6.0,269.1,4.0,6.0,47.7,3.0,6.0,76.2,3.0,6.0,1169.0,3.0,5.0,581.8
5.0,2.0,217.4,5.0,1.0,1230.0,5.0,1.0,404.4,5.0,1.0,229.0,4.0,1.0,523.5,4.0,1.0,215.9
5.0,3.0,136.3,5.0,3.0,1306.0,5.0,2.0,654.6,5.0,2.0,373.4,4.0,2.0,1051.0,4.0,2.0,430.8
5.0,4.0,155.5,5.0,4.0,1601.0,5.0,4.0,460.4,5.0,3.0,356.5,4.0,3.0,1143.0,4.0,3.0,221.8
5.0,6.0,109.1,5.0,6.0,1169.0,5.0,6.0,328.2,5.0,6.0,133.8,4.0,6.0,345.8,4.0,5.0,432.4
6.0,2.0,36.9,6.0,1.0,302.0,6.0,1.0,47.2,6.0,1.0,59.6,6.0,1.0,718.1,5.0,1.0,713.8
6.0,3.0,16.5,6.0,3.0,380.1,6.0,2.0,125.8,6.0,2.0,113.6,6.0,2.0,1192.0,5.0,2.0,1608.0
6.0,4.0,28.6,6.0,4.0,502.0,6.0,4.0,65.5,6.0,3.0,80.1,6.0,3.0,1225.0,5.0,3.0,1114.0
6.0,5.0,69.4,6.0,5.0,953.0,6.0,5.0,214.2,6.0,5.0,115.8,6.0,4.0,731.4,5.0,4.0,800.6
