1,吉川 勇作,吉川 勇作.1,2,栗山 繁洋,栗山 繁洋.1,3,岡本 大,岡本 大.1,4,山口 広樹,山口 広樹.1,5,仲本 舜,仲本 舜.1,6,山地 正樹,山地 正樹.1
2.0,3.0,17.8,1.0,3.0,89.0,1.0,2.0,109.6,1.0,2.0,75.2,1.0,2.0,526.2,1.0,2.0,59.5
2.0,4.0,14.3,1.0,4.0,61.3,1.0,4.0,51.9,1.0,3.0,79.3,1.0,3.0,531.8,1.0,3.0,63.9
2.0,5.0,60.1,1.0,5.0,161.2,1.0,5.0,115.6,1.0,5.0,111.2,1.0,4.0,472.9,1.0,4.0,59.7
2.0,6.0,19.6,1.0,6.0,83.2,1.0,6.0,70.0,1.0,6.0,68.9,1.0,6.0,570.4,1.0,5.0,168.6
3.0,2.0,24.3,3.0,1.0,127.0,2.0,1.0,159.1,2.0,1.0,111.2,2.0,1.0,679.3,2.0,1.0,133.9
3.0,4.0,20.6,3.0,4.0,117.4,2.0,4.0,122.2,2.0,3.0,183.6,2.0,3.0,939.9,2.0,3.0,229.5
3.0,5.0,63.9,3.0,5.0,208.4,2.0,5.0,230.6,2.0,5.0,250.7,2.0,4.0,794.9,2.0,4.0,187.9
3.0,6.0,23.8,3.0,6.0,161.3,2.0,6.0,178.9,2.0,6.0,186.8,2.0,6.0,868.9,2.0,5.0,482.1
4.0,2.0,22.7,4.0,1.0,98.6,4.0,1.0,57.1,3.0,1.0,82.7,3.0,1.0,570.4,3.0,1.0,125.5
4.0,3.0,29.0,4.0,3.0,144.2,4.0,2.0,103.5,3.0,2.0,149.9,3.0,2.0,928.2,3.0,2.0,237.6
4.0,5.0,54.5,4.0,5.0,221.4,4.0,5.0,76.5,3.0,5.0,90.3,3.0,4.0,561.8,3.0,4.0,161.2
4.0,6.0,20.4,4.0,6.0,156.9,4.0,6.0,70.0,3.0,6.0,83.0,3.0,6.0,989.7,3.0,5.0,454.2
5.0,2.0,132.0,5.0,1.0,344.3,5.0,1.0,223.0,5.0,1.0,186.8,4.0,1.0,479.0,4.0,1.0,128.6
5.0,3.0,138.0,5.0,3.0,415.1,5.0,2.0,342.7,5.0,2.0,310.0,4.0,2.0,758.6,4.0,2.0,229.9
5.0,4.0,125.8,5.0,4.0,417.4,5.0,4.0,176.2,5.0,3.0,214.7,4.0,3.0,504.9,4.0,3.0,200.6
5.0,6.0,132.7,5.0,6.0,572.6,5.0,6.0,376.4,5.0,6.0,296.5,4.0,6.0,698.3,4.0,5.0,406.1
6.0,2.0,13.8,6.0,1.0,148.4,6.0,1.0,110.9,6.0,1.0,103.8,6.0,1.0,664.2,5.0,1.0,533.7
6.0,3.0,19.4,6.0,3.0,214.4,6.0,2.0,209.6,6.0,2.0,191.8,6.0,2.0,964.2,5.0,2.0,794.9
6.0,4.0,14.9,6.0,4.0,179.8,6.0,4.0,120.6,6.0,3.0,171.1,6.0,3.0,1083.0,5.0,3.0,863.8
6.0,5.0,49.9,6.0,5.0,397.4,6.0,5.0,327.7,6.0,5.0,267.3,6.0,4.0,900.3,5.0,4.0,790.7
