1,間野 兼礼,間野 兼礼.1,2,村本 大成,村本 大成.1,3,長尾　京志郎,長尾　京志郎.1,4,坂井 康嗣,坂井 康嗣.1,5,福田 理,福田 理.1,6,中曽 瑠華,中曽 瑠華.1
2.0,3.0,17.8,1.0,3.0,152.4,1.0,2.0,122.2,1.0,2.0,49.8,1.0,2.0,108.9,1.0,2.0,1181.0
2.0,4.0,17.0,1.0,4.0,107.5,1.0,4.0,40.8,1.0,3.0,35.1,1.0,3.0,80.2,1.0,3.0,2215.0
2.0,5.0,33.4,1.0,5.0,219.4,1.0,5.0,51.8,1.0,5.0,27.8,1.0,4.0,63.5,1.0,4.0,2148.0
2.0,6.0,349.2,1.0,6.0,695.0,1.0,6.0,571.7,1.0,6.0,205.4,1.0,6.0,365.4,1.0,5.0,2286.0
3.0,2.0,14.5,3.0,1.0,256.8,2.0,1.0,219.4,2.0,1.0,105.6,2.0,1.0,245.3,2.0,1.0,2215.0
3.0,4.0,7.7,3.0,4.0,282.4,2.0,4.0,216.8,2.0,3.0,181.7,2.0,3.0,359.8,2.0,3.0,4170.0
3.0,5.0,9.9,3.0,5.0,358.0,2.0,5.0,268.5,2.0,5.0,143.2,2.0,4.0,326.7,2.0,4.0,4726.0
3.0,6.0,244.4,3.0,6.0,1289.0,2.0,6.0,1201.0,2.0,6.0,510.0,2.0,6.0,814.8,2.0,5.0,5907.0
4.0,2.0,14.7,4.0,1.0,208.5,4.0,1.0,77.9,3.0,1.0,67.3,3.0,1.0,136.5,3.0,1.0,6445.0
4.0,3.0,9.7,4.0,3.0,259.6,4.0,2.0,169.6,3.0,2.0,148.3,3.0,2.0,356.2,3.0,2.0,4726.0
4.0,5.0,13.4,4.0,5.0,358.0,4.0,5.0,96.9,3.0,5.0,81.9,3.0,4.0,206.0,3.0,4.0,3544.0
4.0,6.0,191.6,4.0,6.0,1162.0,4.0,6.0,1012.0,3.0,6.0,662.5,3.0,6.0,1125.0,3.0,5.0,2835.0
5.0,2.0,34.7,5.0,1.0,451.5,5.0,1.0,112.3,5.0,1.0,34.1,4.0,1.0,74.4,4.0,1.0,4430.0
5.0,3.0,17.9,5.0,3.0,421.9,5.0,2.0,274.7,5.0,2.0,71.5,4.0,2.0,123.0,4.0,2.0,4430.0
5.0,4.0,23.8,5.0,4.0,553.8,5.0,4.0,148.0,5.0,3.0,57.7,4.0,3.0,150.5,4.0,3.0,3375.0
5.0,6.0,345.8,5.0,6.0,2025.0,5.0,6.0,1446.0,5.0,6.0,200.2,4.0,6.0,398.2,4.0,5.0,3375.0
6.0,2.0,958.0,6.0,1.0,1390.0,6.0,1.0,2286.0,6.0,1.0,708.9,6.0,1.0,1125.0,5.0,1.0,3222.0
6.0,3.0,650.4,6.0,3.0,1916.0,6.0,2.0,2025.0,6.0,2.0,1125.0,6.0,2.0,1508.0,5.0,2.0,4430.0
6.0,4.0,864.5,6.0,4.0,1729.0,6.0,4.0,1916.0,6.0,3.0,1042.0,6.0,3.0,1508.0,5.0,3.0,3544.0
6.0,5.0,1090.0,6.0,5.0,2726.0,6.0,5.0,2363.0,6.0,5.0,681.6,6.0,4.0,1125.0,5.0,4.0,2726.0
