1,田中 和也,田中 和也.1,2,江夏 満,江夏 満.1,3,中辻 崇人,中辻 崇人.1,4,富永 大一,富永 大一.1,5,久田 武,久田 武.1,6,井内　将太郎,井内　将太郎.1
2.0,3.0,7.0,1.0,3.0,32.7,1.0,2.0,24.6,1.0,2.0,167.9,1.0,2.0,369.6,1.0,2.0,335.6
2.0,4.0,17.8,1.0,4.0,68.3,1.0,4.0,31.8,1.0,3.0,154.0,1.0,3.0,278.6,1.0,3.0,296.3
2.0,5.0,23.7,1.0,5.0,91.9,1.0,5.0,28.5,1.0,5.0,209.1,1.0,4.0,590.6,1.0,4.0,690.4
2.0,6.0,28.5,1.0,6.0,93.1,1.0,6.0,38.6,1.0,6.0,224.4,1.0,6.0,446.0,1.0,5.0,662.0
3.0,2.0,6.8,3.0,1.0,64.1,2.0,1.0,51.1,2.0,1.0,269.2,2.0,1.0,635.7,2.0,1.0,565.0
3.0,4.0,11.8,3.0,4.0,159.5,2.0,4.0,102.5,2.0,3.0,328.3,2.0,3.0,762.1,2.0,3.0,684.9
3.0,5.0,13.8,3.0,5.0,194.2,2.0,5.0,133.8,2.0,5.0,420.5,2.0,4.0,1325.0,2.0,4.0,1293.0
3.0,6.0,18.2,3.0,6.0,188.9,2.0,6.0,124.6,2.0,6.0,411.7,2.0,6.0,924.3,2.0,5.0,1406.0
4.0,2.0,39.8,4.0,1.0,217.3,4.0,1.0,64.5,3.0,1.0,176.9,3.0,1.0,359.6,3.0,1.0,408.0
4.0,3.0,37.6,4.0,3.0,288.0,4.0,2.0,112.2,3.0,2.0,259.2,3.0,2.0,634.0,3.0,2.0,638.1
4.0,5.0,74.7,4.0,5.0,511.4,4.0,5.0,77.5,3.0,5.0,203.4,3.0,4.0,747.2,3.0,4.0,904.9
4.0,6.0,75.8,4.0,6.0,450.1,4.0,6.0,88.9,3.0,6.0,199.9,3.0,6.0,566.8,3.0,5.0,910.9
5.0,2.0,62.9,5.0,1.0,373.2,5.0,1.0,90.1,5.0,1.0,406.6,4.0,1.0,968.4,4.0,1.0,1205.0
5.0,3.0,51.9,5.0,3.0,468.4,5.0,2.0,151.0,5.0,2.0,546.2,4.0,2.0,1353.0,4.0,2.0,1569.0
5.0,4.0,120.7,5.0,4.0,775.8,5.0,4.0,117.9,5.0,3.0,468.4,4.0,3.0,1012.0,4.0,3.0,1675.0
5.0,6.0,104.3,5.0,6.0,630.5,5.0,6.0,114.5,5.0,6.0,471.9,4.0,6.0,1226.0,4.0,5.0,1902.0
6.0,2.0,82.8,6.0,1.0,401.4,6.0,1.0,128.7,6.0,1.0,622.0,6.0,1.0,980.7,5.0,1.0,1073.0
6.0,3.0,78.2,6.0,3.0,495.3,6.0,2.0,185.3,6.0,2.0,756.2,6.0,2.0,1095.0,5.0,2.0,1587.0
6.0,4.0,158.4,6.0,4.0,805.6,6.0,4.0,200.9,6.0,3.0,702.4,6.0,3.0,914.5,5.0,3.0,1217.0
6.0,5.0,150.3,6.0,5.0,811.3,6.0,5.0,182.6,6.0,5.0,744.8,6.0,4.0,1527.0,5.0,4.0,1730.0
