1,杉山 正樹,杉山 正樹.1,2,大田 直弥,大田 直弥.1,3,濱崎 直矢,濱崎 直矢.1,4,岡崎 恭裕,岡崎 恭裕.1,5,松田 竜馬,松田 竜馬.1,6,若林 将,若林 将.1
2.0,3.0,35.1,1.0,3.0,396.3,1.0,2.0,179.1,1.0,2.0,53.1,1.0,2.0,391.2,1.0,2.0,645.3
2.0,4.0,25.1,1.0,4.0,287.2,1.0,4.0,42.8,1.0,3.0,29.3,1.0,3.0,274.1,1.0,3.0,467.4
2.0,5.0,67.8,1.0,5.0,651.2,1.0,5.0,87.4,1.0,5.0,25.5,1.0,4.0,181.5,1.0,4.0,234.9
2.0,6.0,63.6,1.0,6.0,511.2,1.0,6.0,98.5,1.0,6.0,22.6,1.0,6.0,274.5,1.0,5.0,627.8
3.0,2.0,32.6,3.0,1.0,623.8,2.0,1.0,460.4,2.0,1.0,187.6,2.0,1.0,967.0,2.0,1.0,1332.0
3.0,4.0,7.8,3.0,4.0,1145.0,2.0,4.0,611.2,2.0,3.0,412.4,2.0,3.0,1542.0,2.0,3.0,1921.0
3.0,5.0,24.5,3.0,5.0,1562.0,2.0,5.0,773.0,2.0,5.0,314.1,2.0,4.0,1202.0,2.0,4.0,1212.0
3.0,6.0,28.9,3.0,6.0,1656.0,2.0,6.0,900.7,2.0,6.0,244.3,2.0,6.0,1265.0,2.0,5.0,1966.0
4.0,2.0,15.2,4.0,1.0,461.8,4.0,1.0,66.1,3.0,1.0,68.2,3.0,1.0,574.8,3.0,1.0,687.5
4.0,3.0,7.4,4.0,3.0,1133.0,4.0,2.0,310.7,3.0,2.0,312.7,3.0,2.0,1478.0,3.0,2.0,1721.0
4.0,5.0,11.4,4.0,5.0,1246.0,4.0,5.0,124.1,3.0,5.0,135.3,3.0,4.0,724.6,3.0,4.0,239.2
4.0,6.0,10.4,4.0,6.0,861.8,4.0,6.0,109.1,3.0,6.0,96.0,3.0,6.0,955.8,3.0,5.0,1320.0
5.0,2.0,83.4,5.0,1.0,1209.0,5.0,1.0,239.5,5.0,1.0,43.4,4.0,1.0,193.4,4.0,1.0,244.2
5.0,3.0,58.4,5.0,3.0,2000.0,5.0,2.0,734.7,5.0,2.0,165.2,4.0,2.0,604.8,4.0,2.0,775.1
5.0,4.0,40.3,5.0,4.0,1610.0,5.0,4.0,262.3,5.0,3.0,133.1,4.0,3.0,478.6,4.0,3.0,452.4
5.0,6.0,76.3,5.0,6.0,1752.0,5.0,6.0,372.5,5.0,6.0,52.2,4.0,6.0,247.5,4.0,5.0,431.2
6.0,2.0,123.1,6.0,1.0,1467.0,6.0,1.0,327.2,6.0,1.0,48.1,6.0,1.0,510.3,5.0,1.0,955.8
6.0,3.0,87.7,6.0,3.0,2341.0,6.0,2.0,897.9,6.0,2.0,188.8,6.0,2.0,1036.0,5.0,2.0,1715.0
6.0,4.0,50.5,6.0,4.0,1347.0,6.0,4.0,273.9,6.0,3.0,109.1,6.0,3.0,876.1,5.0,3.0,1396.0
6.0,5.0,113.0,6.0,5.0,2087.0,6.0,5.0,521.9,6.0,5.0,73.6,6.0,4.0,423.9,5.0,4.0,644.6
