1,山田 丈,山田 丈.1,2,西丸　侑太朗,西丸　侑太朗.1,3,砂長 知輝,砂長 知輝.1,4,上野 俊樹,上野 俊樹.1,5,高井 駿弥,高井 駿弥.1,6,市川 健太,市川 健太.1
2.0,3.0,5.4,1.0,3.0,9.7,1.0,2.0,33.4,1.0,2.0,211.0,1.0,2.0,837.7,1.0,2.0,240.3
2.0,4.0,12.4,1.0,4.0,18.3,1.0,4.0,66.1,1.0,3.0,345.3,1.0,3.0,786.9,1.0,3.0,402.9
2.0,5.0,55.1,1.0,5.0,92.7,1.0,5.0,152.7,1.0,5.0,643.7,1.0,4.0,1429.0,1.0,4.0,493.9
2.0,6.0,19.5,1.0,6.0,25.2,1.0,6.0,83.4,1.0,6.0,306.9,1.0,6.0,1126.0,1.0,5.0,1074.0
3.0,2.0,7.7,3.0,1.0,20.3,2.0,1.0,42.2,2.0,1.0,223.3,2.0,1.0,1171.0,2.0,1.0,297.7
3.0,4.0,16.4,3.0,4.0,33.1,2.0,4.0,61.0,2.0,3.0,286.5,2.0,3.0,1549.0,2.0,3.0,469.4
3.0,5.0,49.9,3.0,5.0,135.3,2.0,5.0,203.6,2.0,5.0,933.8,2.0,4.0,2148.0,2.0,4.0,529.7
3.0,6.0,27.6,3.0,6.0,42.6,2.0,6.0,77.0,2.0,6.0,358.8,2.0,6.0,1725.0,2.0,5.0,1496.0
4.0,2.0,40.5,4.0,1.0,68.6,4.0,1.0,147.8,3.0,1.0,334.7,3.0,1.0,900.2,3.0,1.0,548.8
4.0,3.0,54.7,4.0,3.0,69.6,4.0,2.0,137.4,3.0,2.0,299.8,3.0,2.0,1453.0,3.0,2.0,594.5
4.0,5.0,178.5,4.0,5.0,355.5,4.0,5.0,441.6,3.0,5.0,875.4,3.0,4.0,2059.0,3.0,4.0,1122.0
4.0,6.0,78.8,4.0,6.0,123.4,4.0,6.0,233.4,3.0,6.0,479.0,3.0,6.0,1691.0,3.0,5.0,2135.0
5.0,2.0,181.2,5.0,1.0,353.0,5.0,1.0,326.3,5.0,1.0,936.3,4.0,1.0,1945.0,4.0,1.0,931.3
5.0,3.0,172.2,5.0,3.0,453.0,5.0,2.0,521.8,5.0,2.0,941.3,4.0,2.0,2188.0,4.0,2.0,713.2
5.0,4.0,354.0,5.0,4.0,689.3,5.0,4.0,743.5,5.0,3.0,1179.0,4.0,3.0,1441.0,4.0,3.0,1352.0
5.0,6.0,262.3,5.0,6.0,453.0,5.0,6.0,618.7,5.0,6.0,757.9,4.0,6.0,1934.0,4.0,5.0,2001.0
6.0,2.0,73.7,6.0,1.0,99.4,6.0,1.0,208.4,6.0,1.0,378.5,6.0,1.0,1892.0,5.0,1.0,1903.0
6.0,3.0,99.3,6.0,3.0,131.7,6.0,2.0,228.2,6.0,2.0,419.8,6.0,2.0,2096.0,5.0,2.0,2096.0
6.0,4.0,151.9,6.0,4.0,169.3,6.0,4.0,380.2,6.0,3.0,655.7,6.0,3.0,2202.0,5.0,3.0,2501.0
6.0,5.0,300.0,6.0,5.0,518.8,6.0,5.0,635.5,6.0,5.0,852.0,6.0,4.0,2072.0,5.0,4.0,2366.0
