1,松田 憲幸,松田 憲幸.1,2,林 祐介,林 祐介.1,3,伊藤 尚汰,伊藤 尚汰.1,4,宮脇 遼太,宮脇 遼太.1,5,澤崎 雄哉,澤崎 雄哉.1,6,藤井 公人,藤井 公人.1
2.0,3.0,12.1,1.0,3.0,30.9,1.0,2.0,60.5,1.0,2.0,86.0,1.0,2.0,258.3,1.0,2.0,194.6
2.0,4.0,14.0,1.0,4.0,37.9,1.0,4.0,30.7,1.0,3.0,84.9,1.0,3.0,393.7,1.0,3.0,198.4
2.0,5.0,20.3,1.0,5.0,33.8,1.0,5.0,53.9,1.0,5.0,80.8,1.0,4.0,434.0,1.0,4.0,253.3
2.0,6.0,36.8,1.0,6.0,87.2,1.0,6.0,55.0,1.0,6.0,97.2,1.0,6.0,448.4,1.0,5.0,338.0
3.0,2.0,14.1,3.0,1.0,84.3,2.0,1.0,121.3,2.0,1.0,146.9,2.0,1.0,346.7,2.0,1.0,296.4
3.0,4.0,12.7,3.0,4.0,116.4,2.0,4.0,130.1,2.0,3.0,233.9,2.0,3.0,648.3,2.0,3.0,369.3
3.0,5.0,20.4,3.0,5.0,107.0,2.0,5.0,146.1,2.0,5.0,180.3,2.0,4.0,699.7,2.0,4.0,402.7
3.0,6.0,32.8,3.0,6.0,201.2,2.0,6.0,182.4,2.0,6.0,212.6,2.0,6.0,924.1,2.0,5.0,515.5
4.0,2.0,26.7,4.0,1.0,106.0,4.0,1.0,41.6,3.0,1.0,101.0,3.0,1.0,541.7,3.0,1.0,261.1
4.0,3.0,24.9,4.0,3.0,157.6,4.0,2.0,100.4,3.0,2.0,177.2,3.0,2.0,779.5,3.0,2.0,356.4
4.0,5.0,37.0,4.0,5.0,144.6,4.0,5.0,54.4,3.0,5.0,113.5,3.0,4.0,631.3,3.0,4.0,282.4
4.0,6.0,50.2,4.0,6.0,196.6,4.0,6.0,50.7,3.0,6.0,106.7,3.0,6.0,689.2,3.0,5.0,467.7
5.0,2.0,64.6,5.0,1.0,150.1,5.0,1.0,144.4,5.0,1.0,139.3,4.0,1.0,499.3,4.0,1.0,352.8
5.0,3.0,75.1,5.0,3.0,255.3,5.0,2.0,229.2,5.0,2.0,205.4,4.0,2.0,596.8,4.0,2.0,406.3
5.0,4.0,101.1,5.0,4.0,305.3,5.0,4.0,130.8,5.0,3.0,196.7,4.0,3.0,590.6,4.0,3.0,339.0
5.0,6.0,115.6,5.0,6.0,394.4,5.0,6.0,187.0,5.0,6.0,165.8,4.0,6.0,540.5,4.0,5.0,539.2
6.0,2.0,85.9,6.0,1.0,282.0,6.0,1.0,122.4,6.0,1.0,170.6,6.0,1.0,964.9,5.0,1.0,876.4
6.0,3.0,80.9,6.0,3.0,377.8,6.0,2.0,213.6,6.0,2.0,228.7,6.0,2.0,1181.0,5.0,2.0,992.1
6.0,4.0,102.3,6.0,4.0,358.6,6.0,4.0,106.6,6.0,3.0,195.6,6.0,3.0,1309.0,5.0,3.0,1018.0
6.0,5.0,123.9,6.0,5.0,449.8,6.0,5.0,182.5,6.0,5.0,195.0,6.0,4.0,1016.0,5.0,4.0,962.9
