1,山本 英志,山本 英志.1,2,坂井 康嗣,坂井 康嗣.1,3,大橋　栄里佳,大橋　栄里佳.1,4,幸野 史明,幸野 史明.1,5,鈴木 智啓,鈴木 智啓.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,22.5,1.0,3.0,133.9,1.0,2.0,202.2,1.0,2.0,215.9,1.0,2.0,354.1,1.0,2.0,15.9
2.0,4.0,28.3,1.0,4.0,119.2,1.0,4.0,210.1,1.0,3.0,342.8,1.0,3.0,517.8,1.0,3.0,25.4
2.0,5.0,35.0,1.0,5.0,127.2,1.0,5.0,241.2,1.0,5.0,251.0,1.0,4.0,482.1,1.0,4.0,38.9
2.0,6.0,9.8,1.0,6.0,41.9,1.0,6.0,84.2,1.0,6.0,95.0,1.0,6.0,163.8,1.0,5.0,37.1
3.0,2.0,27.8,3.0,1.0,273.3,2.0,1.0,325.3,2.0,1.0,329.9,2.0,1.0,511.2,2.0,1.0,42.2
3.0,4.0,38.1,3.0,4.0,841.2,2.0,4.0,584.8,2.0,3.0,889.3,2.0,3.0,1239.0,2.0,3.0,100.5
3.0,5.0,47.0,3.0,5.0,909.5,2.0,5.0,846.3,2.0,5.0,662.2,2.0,4.0,940.0,2.0,4.0,127.4
3.0,6.0,14.6,3.0,6.0,342.4,2.0,6.0,334.2,2.0,6.0,297.7,2.0,6.0,513.0,2.0,5.0,136.9
4.0,2.0,48.3,4.0,1.0,306.5,4.0,1.0,366.1,3.0,1.0,548.2,3.0,1.0,698.6,3.0,1.0,68.1
4.0,3.0,60.8,4.0,3.0,936.9,4.0,2.0,635.2,3.0,2.0,946.4,3.0,2.0,1192.0,3.0,2.0,132.8
4.0,5.0,79.6,4.0,5.0,725.7,4.0,5.0,568.2,3.0,5.0,915.4,3.0,4.0,1334.0,3.0,4.0,162.7
4.0,6.0,26.3,4.0,6.0,347.5,4.0,6.0,234.2,3.0,6.0,445.3,3.0,6.0,654.5,3.0,5.0,202.8
5.0,2.0,67.5,5.0,1.0,384.2,5.0,1.0,435.6,5.0,1.0,348.4,4.0,1.0,531.5,4.0,1.0,92.3
5.0,3.0,90.3,5.0,3.0,1143.0,5.0,2.0,966.0,5.0,2.0,596.0,4.0,2.0,843.8,4.0,2.0,172.8
5.0,4.0,117.6,5.0,4.0,915.4,5.0,4.0,848.9,5.0,3.0,861.9,4.0,3.0,1207.0,4.0,3.0,203.1
5.0,6.0,40.2,5.0,6.0,409.5,5.0,6.0,376.0,5.0,6.0,228.3,4.0,6.0,391.2,4.0,5.0,198.5
6.0,2.0,9.3,6.0,1.0,82.2,6.0,1.0,104.2,6.0,1.0,109.0,6.0,1.0,176.7,5.0,1.0,101.0
6.0,3.0,13.9,6.0,3.0,263.0,6.0,2.0,275.7,6.0,2.0,228.1,6.0,2.0,388.5,5.0,2.0,191.8
6.0,4.0,23.2,6.0,4.0,264.7,6.0,4.0,256.3,6.0,3.0,309.2,6.0,3.0,486.3,5.0,3.0,250.1
6.0,5.0,26.7,6.0,5.0,290.6,6.0,5.0,308.5,6.0,5.0,203.2,6.0,4.0,420.0,5.0,4.0,234.4
