1,山田 丈,山田 丈.1,2,國弘 翔平,國弘 翔平.1,3,前田　健太郎,前田　健太郎.1,4,佐藤　謙史朗,佐藤　謙史朗.1,5,渡辺 浩司,渡辺 浩司.1,6,志道 吉和,志道 吉和.1
2.0,3.0,37.7,1.0,3.0,244.0,1.0,2.0,310.4,1.0,2.0,69.9,1.0,2.0,34.4,1.0,2.0,3487.0
2.0,4.0,29.3,1.0,4.0,186.6,1.0,4.0,206.2,1.0,3.0,108.8,1.0,3.0,35.5,1.0,3.0,4069.0
2.0,5.0,16.4,1.0,5.0,131.2,1.0,5.0,94.3,1.0,5.0,25.4,1.0,4.0,22.0,1.0,4.0,2806.0
2.0,6.0,204.5,1.0,6.0,710.7,1.0,6.0,754.7,1.0,6.0,123.3,1.0,6.0,77.3,1.0,5.0,1689.0
3.0,2.0,39.1,3.0,1.0,538.3,2.0,1.0,538.9,2.0,1.0,154.6,2.0,1.0,102.3,2.0,1.0,4606.0
3.0,4.0,27.8,3.0,4.0,902.5,2.0,4.0,721.2,2.0,3.0,341.2,2.0,3.0,207.7,2.0,3.0,5140.0
3.0,5.0,13.9,3.0,5.0,591.8,2.0,5.0,322.5,2.0,5.0,117.9,2.0,4.0,131.5,2.0,4.0,5425.0
3.0,6.0,241.9,3.0,6.0,2160.0,2.0,6.0,1555.0,2.0,6.0,425.7,2.0,6.0,284.0,2.0,5.0,5034.0
4.0,2.0,27.8,4.0,1.0,351.2,4.0,1.0,339.1,3.0,1.0,295.9,3.0,1.0,97.7,3.0,1.0,4883.0
4.0,3.0,29.0,4.0,3.0,944.4,4.0,2.0,710.7,3.0,2.0,544.3,3.0,2.0,234.1,3.0,2.0,7288.0
4.0,5.0,10.0,4.0,5.0,334.6,4.0,5.0,179.2,3.0,5.0,212.1,3.0,4.0,137.0,3.0,4.0,5548.0
4.0,6.0,133.7,4.0,6.0,1580.0,4.0,6.0,1248.0,3.0,6.0,1052.0,3.0,6.0,440.7,3.0,5.0,5250.0
5.0,2.0,12.2,5.0,1.0,188.0,5.0,1.0,105.3,5.0,1.0,20.2,4.0,1.0,25.4,4.0,1.0,3090.0
5.0,3.0,11.5,5.0,3.0,423.8,5.0,2.0,194.1,5.0,2.0,44.8,4.0,2.0,58.4,4.0,2.0,5250.0
5.0,4.0,9.0,5.0,4.0,280.9,5.0,4.0,134.5,5.0,3.0,77.5,4.0,3.0,88.3,4.0,3.0,4932.0
5.0,6.0,59.8,5.0,6.0,883.0,5.0,6.0,517.8,5.0,6.0,51.8,4.0,6.0,69.9,4.0,5.0,1930.0
6.0,2.0,605.8,6.0,1.0,2281.0,6.0,1.0,2009.0,6.0,1.0,394.1,6.0,1.0,254.7,5.0,1.0,1638.0
6.0,3.0,633.3,6.0,3.0,3487.0,6.0,2.0,2583.0,6.0,2.0,656.3,6.0,2.0,453.3,5.0,2.0,3727.0
6.0,4.0,556.7,6.0,4.0,3727.0,6.0,4.0,2281.0,6.0,3.0,917.8,6.0,3.0,519.4,5.0,3.0,3727.0
6.0,5.0,371.8,6.0,5.0,2517.0,6.0,5.0,1525.0,6.0,5.0,268.5,6.0,4.0,299.7,5.0,4.0,1707.0
