1,溝口　海義也,溝口　海義也.1,2,尾上 雅也,尾上 雅也.1,3,黒柳 浩孝,黒柳 浩孝.1,4,國弘 翔平,國弘 翔平.1,5,岡部 大輝,岡部 大輝.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,3.8,1.0,3.0,13.2,1.0,2.0,27.6,1.0,2.0,269.9,1.0,2.0,159.4,1.0,2.0,3925.0
2.0,4.0,14.6,1.0,4.0,39.8,1.0,4.0,49.9,1.0,3.0,294.2,1.0,3.0,150.9,1.0,3.0,4543.0
2.0,5.0,11.9,1.0,5.0,31.6,1.0,5.0,49.4,1.0,5.0,429.6,1.0,4.0,337.5,1.0,4.0,5946.0
2.0,6.0,215.4,1.0,6.0,361.3,1.0,6.0,552.3,1.0,6.0,1275.0,1.0,6.0,1389.0,1.0,5.0,6853.0
3.0,2.0,6.1,3.0,1.0,30.7,2.0,1.0,37.4,2.0,1.0,374.3,2.0,1.0,250.9,2.0,1.0,4394.0
3.0,4.0,17.4,3.0,4.0,82.3,2.0,4.0,79.0,2.0,3.0,487.1,2.0,3.0,261.2,2.0,3.0,5946.0
3.0,5.0,16.4,3.0,5.0,67.7,2.0,5.0,68.4,2.0,5.0,642.8,2.0,4.0,612.6,2.0,4.0,7093.0
3.0,6.0,331.6,3.0,6.0,754.3,2.0,6.0,608.0,2.0,6.0,1617.0,2.0,6.0,2150.0,2.0,5.0,5694.0
4.0,2.0,49.2,4.0,1.0,182.5,4.0,1.0,72.2,3.0,1.0,369.9,3.0,1.0,251.6,3.0,1.0,6521.0
4.0,3.0,50.8,4.0,3.0,192.3,4.0,2.0,89.7,3.0,2.0,439.0,3.0,2.0,267.0,3.0,2.0,7093.0
4.0,5.0,78.2,4.0,5.0,302.4,4.0,5.0,94.1,3.0,5.0,409.2,3.0,4.0,439.4,3.0,4.0,5183.0
4.0,6.0,608.0,4.0,6.0,1317.0,4.0,6.0,494.9,3.0,6.0,1189.0,3.0,6.0,1813.0,3.0,5.0,6220.0
5.0,2.0,39.3,5.0,1.0,121.5,5.0,1.0,84.7,5.0,1.0,509.8,4.0,1.0,692.3,4.0,1.0,6853.0
5.0,3.0,39.8,5.0,3.0,130.2,5.0,2.0,98.1,5.0,2.0,613.5,4.0,2.0,716.9,4.0,2.0,7351.0
5.0,4.0,121.8,5.0,4.0,330.8,5.0,4.0,128.6,5.0,3.0,542.7,4.0,3.0,701.9,4.0,3.0,7220.0
5.0,6.0,599.0,5.0,6.0,1630.0,5.0,6.0,665.0,5.0,6.0,1863.0,4.0,6.0,2788.0,4.0,5.0,8251.0
6.0,2.0,942.5,6.0,1.0,1379.0,6.0,1.0,2073.0,6.0,1.0,3183.0,6.0,1.0,4394.0,5.0,1.0,8789.0
6.0,3.0,1168.0,6.0,3.0,2480.0,6.0,2.0,2197.0,6.0,2.0,4043.0,6.0,2.0,4543.0,5.0,2.0,8602.0
6.0,4.0,1413.0,6.0,4.0,3675.0,6.0,4.0,1846.0,6.0,3.0,3743.0,6.0,3.0,4647.0,5.0,3.0,7775.0
6.0,5.0,1670.0,6.0,5.0,4003.0,6.0,5.0,2031.0,6.0,5.0,3515.0,6.0,4.0,5391.0,5.0,4.0,7928.0
