1,小林 孝彰,小林 孝彰.1,2,市川 健太,市川 健太.1,3,大森 翼,大森 翼.1,4,上原　健次郎,上原　健次郎.1,5,浦野 海,浦野 海.1,6,水谷 理人,水谷 理人.1
2.0,3.0,18.2,1.0,3.0,97.6,1.0,2.0,161.4,1.0,2.0,161.9,1.0,2.0,382.1,1.0,2.0,41.2
2.0,4.0,22.9,1.0,4.0,88.4,1.0,4.0,89.2,1.0,3.0,137.4,1.0,3.0,322.6,1.0,3.0,51.2
2.0,5.0,43.2,1.0,5.0,139.2,1.0,5.0,131.2,1.0,5.0,109.7,1.0,4.0,225.0,1.0,4.0,54.2
2.0,6.0,15.3,1.0,6.0,70.6,1.0,6.0,70.7,1.0,6.0,75.3,1.0,6.0,167.4,1.0,5.0,94.5
3.0,2.0,31.9,3.0,1.0,207.8,2.0,1.0,270.3,2.0,1.0,260.8,2.0,1.0,613.3,2.0,1.0,67.8
3.0,4.0,16.5,3.0,4.0,257.7,2.0,4.0,392.7,2.0,3.0,461.1,2.0,3.0,887.2,2.0,3.0,104.4
3.0,5.0,30.9,3.0,5.0,371.4,2.0,5.0,524.3,2.0,5.0,365.9,2.0,4.0,593.2,2.0,4.0,121.1
3.0,6.0,18.3,3.0,6.0,205.0,2.0,6.0,231.0,2.0,6.0,220.8,2.0,6.0,509.5,2.0,5.0,197.1
4.0,2.0,31.7,4.0,1.0,214.3,4.0,1.0,147.7,3.0,1.0,213.9,3.0,1.0,447.6,3.0,1.0,96.7
4.0,3.0,18.2,4.0,3.0,330.1,4.0,2.0,324.2,3.0,2.0,474.3,3.0,2.0,864.0,3.0,2.0,146.0
4.0,5.0,33.4,4.0,5.0,270.3,4.0,5.0,154.4,3.0,5.0,239.7,3.0,4.0,528.5,3.0,4.0,160.4
4.0,6.0,18.0,4.0,6.0,200.5,4.0,6.0,102.6,3.0,6.0,150.9,3.0,6.0,399.8,3.0,5.0,230.5
5.0,2.0,70.2,5.0,1.0,362.6,5.0,1.0,292.2,5.0,1.0,132.1,4.0,1.0,236.5,4.0,1.0,100.8
5.0,3.0,63.6,5.0,3.0,525.7,5.0,2.0,465.4,5.0,2.0,266.7,4.0,2.0,491.9,4.0,2.0,171.3
5.0,4.0,54.5,5.0,4.0,421.9,5.0,4.0,252.5,5.0,3.0,267.1,4.0,3.0,496.8,4.0,3.0,166.3
5.0,6.0,41.5,5.0,6.0,379.9,5.0,6.0,219.8,5.0,6.0,103.1,4.0,6.0,216.4,4.0,5.0,153.1
6.0,2.0,28.3,6.0,1.0,119.2,6.0,1.0,112.8,6.0,1.0,97.1,6.0,1.0,251.2,5.0,1.0,183.8
6.0,3.0,24.0,6.0,3.0,220.0,6.0,2.0,229.4,6.0,2.0,191.8,6.0,2.0,446.5,5.0,2.0,290.9
6.0,4.0,25.7,6.0,4.0,219.3,6.0,4.0,136.9,6.0,3.0,173.5,6.0,3.0,384.4,5.0,3.0,263.9
6.0,5.0,43.4,6.0,5.0,312.4,6.0,5.0,195.7,6.0,5.0,118.2,6.0,4.0,217.4,5.0,4.0,168.4
