1,大谷 直弘,大谷 直弘.1,2,青木 蓮,青木 蓮.1,3,田路 朋史,田路 朋史.1,4,金子 猛志,金子 猛志.1,5,野中 義生,野中 義生.1,6,坂口 周,坂口 周.1
2.0,3.0,9.1,1.0,3.0,23.7,1.0,2.0,31.1,1.0,2.0,215.8,1.0,2.0,393.0,1.0,2.0,154.4
2.0,4.0,19.6,1.0,4.0,55.4,1.0,4.0,52.4,1.0,3.0,196.2,1.0,3.0,389.1,1.0,3.0,172.7
2.0,5.0,28.9,1.0,5.0,76.4,1.0,5.0,56.2,1.0,5.0,264.4,1.0,4.0,598.7,1.0,4.0,350.9
2.0,6.0,15.4,1.0,6.0,33.1,1.0,6.0,30.1,1.0,6.0,188.3,1.0,6.0,371.1,1.0,5.0,443.3
3.0,2.0,10.7,3.0,1.0,45.4,2.0,1.0,54.1,2.0,1.0,343.5,2.0,1.0,659.1,2.0,1.0,253.2
3.0,4.0,20.4,3.0,4.0,83.1,2.0,4.0,91.3,2.0,3.0,351.9,2.0,3.0,779.0,2.0,3.0,374.8
3.0,5.0,27.2,3.0,5.0,104.3,2.0,5.0,96.2,2.0,5.0,660.3,2.0,4.0,1083.0,2.0,4.0,683.8
3.0,6.0,15.2,3.0,6.0,54.8,2.0,6.0,55.1,2.0,6.0,357.0,2.0,6.0,802.5,2.0,5.0,763.6
4.0,2.0,49.9,4.0,1.0,148.2,4.0,1.0,77.7,3.0,1.0,210.3,3.0,1.0,476.8,3.0,1.0,272.7
4.0,3.0,50.3,4.0,3.0,137.7,4.0,2.0,96.8,3.0,2.0,236.0,3.0,2.0,752.0,3.0,2.0,359.2
4.0,5.0,90.9,4.0,5.0,345.9,4.0,5.0,78.6,3.0,5.0,207.1,3.0,4.0,673.1,3.0,4.0,659.1
4.0,6.0,51.9,4.0,6.0,169.3,4.0,6.0,59.0,3.0,6.0,171.2,3.0,6.0,590.6,3.0,5.0,747.1
5.0,2.0,84.7,5.0,1.0,279.1,5.0,1.0,141.7,5.0,1.0,465.9,4.0,1.0,810.0,4.0,1.0,793.3
5.0,3.0,83.9,5.0,3.0,278.2,5.0,2.0,172.9,5.0,2.0,690.6,4.0,2.0,1191.0,4.0,2.0,1066.0
5.0,4.0,156.5,5.0,4.0,551.1,5.0,4.0,155.8,5.0,3.0,528.4,4.0,3.0,765.3,4.0,3.0,944.6
5.0,6.0,93.7,5.0,6.0,315.7,5.0,6.0,112.0,5.0,6.0,339.2,4.0,6.0,677.1,4.0,5.0,1163.0
6.0,2.0,39.5,6.0,1.0,121.0,6.0,1.0,74.8,6.0,1.0,337.9,6.0,1.0,509.8,5.0,1.0,697.5
6.0,3.0,42.2,6.0,3.0,151.3,6.0,2.0,108.2,6.0,2.0,515.9,6.0,2.0,864.5,5.0,2.0,1060.0
6.0,4.0,77.6,6.0,4.0,279.1,6.0,4.0,100.7,6.0,3.0,422.7,6.0,3.0,704.6,5.0,3.0,1086.0
6.0,5.0,92.1,6.0,5.0,341.2,6.0,5.0,121.9,6.0,5.0,491.0,6.0,4.0,593.6,5.0,4.0,875.4
