1,坂元 浩仁,坂元 浩仁.1,2,梶野 学志,梶野 学志.1,3,上之 晃弘,上之 晃弘.1,4,大澤 大夢,大澤 大夢.1,5,牧原 崇,牧原 崇.1,6,宮本 夏樹,宮本 夏樹.1
2.0,3.0,5.3,1.0,3.0,32.8,1.0,2.0,87.2,1.0,2.0,342.9,1.0,2.0,118.7,1.0,2.0,496.1
2.0,4.0,8.7,1.0,4.0,56.6,1.0,4.0,152.7,1.0,3.0,430.1,1.0,3.0,150.2,1.0,3.0,1241.0
2.0,5.0,6.7,1.0,5.0,38.4,1.0,5.0,89.4,1.0,5.0,347.2,1.0,4.0,295.6,1.0,4.0,1287.0
2.0,6.0,22.8,1.0,6.0,92.6,1.0,6.0,211.9,1.0,6.0,505.7,1.0,6.0,217.6,1.0,5.0,842.3
3.0,2.0,9.9,3.0,1.0,103.5,2.0,1.0,143.2,2.0,1.0,602.3,2.0,1.0,224.4,2.0,1.0,903.0
3.0,4.0,18.1,3.0,4.0,321.0,2.0,4.0,395.2,2.0,3.0,1188.0,2.0,3.0,389.6,2.0,3.0,2319.0
3.0,5.0,13.4,3.0,5.0,156.1,2.0,5.0,198.6,2.0,5.0,993.3,2.0,4.0,823.8,2.0,4.0,2483.0
3.0,6.0,46.1,3.0,6.0,439.4,2.0,6.0,489.2,2.0,6.0,1322.0,2.0,6.0,463.8,2.0,5.0,1714.0
4.0,2.0,23.3,4.0,1.0,271.6,4.0,1.0,348.4,3.0,1.0,680.1,3.0,1.0,293.9,3.0,1.0,1595.0
4.0,3.0,34.0,4.0,3.0,583.0,4.0,2.0,538.3,3.0,2.0,1199.0,3.0,2.0,428.7,3.0,2.0,2309.0
4.0,5.0,37.8,4.0,5.0,569.1,4.0,5.0,457.3,3.0,5.0,1193.0,3.0,4.0,1036.0,3.0,4.0,2658.0
4.0,6.0,71.1,4.0,6.0,715.3,4.0,6.0,639.6,3.0,6.0,1571.0,3.0,6.0,814.9,3.0,5.0,2448.0
5.0,2.0,17.3,5.0,1.0,142.2,5.0,1.0,165.1,5.0,1.0,504.7,4.0,1.0,603.7,4.0,1.0,1772.0
5.0,3.0,25.2,5.0,3.0,243.5,5.0,2.0,229.6,5.0,2.0,803.7,4.0,2.0,1146.0,4.0,2.0,2230.0
5.0,4.0,46.1,5.0,4.0,509.1,5.0,4.0,442.4,5.0,3.0,1134.0,4.0,3.0,1262.0,4.0,3.0,2785.0
5.0,6.0,50.7,5.0,6.0,348.1,5.0,6.0,392.0,5.0,6.0,846.4,4.0,6.0,1040.0,4.0,5.0,2371.0
6.0,2.0,90.8,6.0,1.0,517.6,6.0,1.0,840.9,6.0,1.0,1389.0,6.0,1.0,440.5,5.0,1.0,853.2
6.0,3.0,149.3,6.0,3.0,1127.0,6.0,2.0,1034.0,6.0,2.0,2009.0,6.0,2.0,651.5,5.0,2.0,1378.0
6.0,4.0,157.2,6.0,4.0,1396.0,6.0,4.0,1419.0,6.0,3.0,2001.0,6.0,3.0,920.3,5.0,3.0,2072.0
6.0,5.0,113.2,6.0,5.0,744.6,6.0,5.0,920.3,6.0,5.0,1703.0,6.0,4.0,1191.0,5.0,4.0,2114.0
