1,山崎 哲司,山崎 哲司.1,2,木場 悠介,木場 悠介.1,3,中村 将隆,中村 将隆.1,4,浦田 信義,浦田 信義.1,5,中島 昂章,中島 昂章.1,6,桑原 将光,桑原 将光.1
2.0,3.0,20.2,1.0,3.0,126.4,1.0,2.0,101.0,1.0,2.0,408.5,1.0,2.0,53.9,1.0,2.0,201.9
2.0,4.0,21.9,1.0,4.0,162.7,1.0,4.0,131.4,1.0,3.0,421.6,1.0,3.0,59.6,1.0,3.0,225.4
2.0,5.0,11.0,1.0,5.0,73.5,1.0,5.0,57.4,1.0,5.0,326.3,1.0,4.0,141.5,1.0,4.0,396.5
2.0,6.0,20.4,1.0,6.0,110.6,1.0,6.0,82.7,1.0,6.0,351.9,1.0,6.0,45.6,1.0,5.0,151.6
3.0,2.0,24.8,3.0,1.0,296.4,2.0,1.0,200.0,2.0,1.0,586.9,2.0,1.0,118.5,2.0,1.0,317.8
3.0,4.0,30.4,3.0,4.0,661.1,2.0,4.0,383.4,2.0,3.0,954.8,2.0,3.0,196.1,2.0,3.0,474.1
3.0,5.0,16.6,3.0,5.0,333.4,2.0,5.0,212.5,2.0,5.0,664.9,2.0,4.0,330.3,2.0,4.0,717.8
3.0,6.0,29.7,3.0,6.0,486.9,2.0,6.0,224.3,2.0,6.0,676.1,2.0,6.0,134.1,2.0,5.0,318.5
4.0,2.0,34.1,4.0,1.0,491.1,4.0,1.0,326.9,3.0,1.0,759.2,3.0,1.0,104.5,3.0,1.0,311.6
4.0,3.0,37.4,4.0,3.0,779.0,4.0,2.0,516.6,3.0,2.0,1045.0,3.0,2.0,190.3,3.0,2.0,472.8
4.0,5.0,27.3,4.0,5.0,522.1,4.0,5.0,269.4,3.0,5.0,714.8,3.0,4.0,320.2,3.0,4.0,664.3
4.0,6.0,43.6,4.0,6.0,574.6,4.0,6.0,304.8,3.0,6.0,712.6,3.0,6.0,110.8,3.0,5.0,253.5
5.0,2.0,12.5,5.0,1.0,154.3,5.0,1.0,85.7,5.0,1.0,414.4,4.0,1.0,386.0,4.0,1.0,788.0
5.0,3.0,17.4,5.0,3.0,277.6,5.0,2.0,167.8,5.0,2.0,558.7,4.0,2.0,496.0,4.0,2.0,1009.0
5.0,4.0,27.3,5.0,4.0,429.0,5.0,4.0,220.3,5.0,3.0,634.2,4.0,3.0,492.1,4.0,3.0,973.8
5.0,6.0,14.3,5.0,6.0,199.0,5.0,6.0,88.0,5.0,6.0,400.2,4.0,6.0,344.5,4.0,5.0,800.9
6.0,2.0,38.1,6.0,1.0,322.6,6.0,1.0,160.8,6.0,1.0,555.1,6.0,1.0,64.1,5.0,1.0,161.9
6.0,3.0,45.5,6.0,3.0,538.5,6.0,2.0,256.8,6.0,2.0,716.3,6.0,2.0,94.9,5.0,2.0,229.5
6.0,4.0,61.5,6.0,4.0,626.0,6.0,4.0,341.5,6.0,3.0,801.8,6.0,3.0,85.1,5.0,3.0,198.2
6.0,5.0,30.4,6.0,5.0,315.3,6.0,5.0,131.9,6.0,5.0,560.5,6.0,4.0,198.7,5.0,4.0,438.0
