1,宇留田　翔平,宇留田　翔平.1,2,國弘 翔平,國弘 翔平.1,3,大場 広孝,大場 広孝.1,4,板倉 敦史,板倉 敦史.1,5,谷口 健一,谷口 健一.1,6,清水 紀克,清水 紀克.1
2.0,3.0,11.2,1.0,3.0,28.8,1.0,2.0,49.1,1.0,2.0,109.5,1.0,2.0,771.3,1.0,2.0,98.2
2.0,4.0,14.6,1.0,4.0,35.1,1.0,4.0,33.1,1.0,3.0,104.4,1.0,3.0,575.7,1.0,3.0,104.9
2.0,5.0,62.2,1.0,5.0,137.1,1.0,5.0,99.0,1.0,5.0,180.6,1.0,4.0,549.9,1.0,4.0,140.6
2.0,6.0,25.8,1.0,6.0,87.8,1.0,6.0,101.1,1.0,6.0,172.2,1.0,6.0,1066.0,1.0,5.0,327.0
3.0,2.0,12.7,3.0,1.0,35.9,2.0,1.0,49.7,2.0,1.0,128.4,2.0,1.0,869.8,2.0,1.0,150.2
3.0,4.0,13.4,3.0,4.0,33.4,2.0,4.0,39.9,2.0,3.0,151.5,2.0,3.0,662.9,2.0,3.0,144.6
3.0,5.0,44.6,3.0,5.0,81.7,2.0,5.0,80.6,2.0,5.0,229.6,2.0,4.0,648.9,2.0,4.0,183.8
3.0,6.0,33.3,3.0,6.0,92.0,2.0,6.0,107.3,2.0,6.0,283.2,2.0,6.0,1277.0,2.0,5.0,444.3
4.0,2.0,27.7,4.0,1.0,62.5,4.0,1.0,43.6,3.0,1.0,109.8,3.0,1.0,725.6,3.0,1.0,179.0
4.0,3.0,26.8,4.0,3.0,57.8,4.0,2.0,53.3,3.0,2.0,143.7,3.0,2.0,696.8,3.0,2.0,171.0
4.0,5.0,79.1,4.0,5.0,127.3,4.0,5.0,66.2,3.0,5.0,164.3,3.0,4.0,484.7,3.0,4.0,163.0
4.0,6.0,62.3,4.0,6.0,143.6,4.0,6.0,95.3,3.0,6.0,190.1,3.0,6.0,1190.0,3.0,5.0,508.8
5.0,2.0,231.4,5.0,1.0,352.4,5.0,1.0,158.8,5.0,1.0,228.3,4.0,1.0,560.0,4.0,1.0,273.7
5.0,3.0,170.3,5.0,3.0,227.5,5.0,2.0,156.6,5.0,2.0,252.8,4.0,2.0,560.0,4.0,2.0,336.9
5.0,4.0,180.0,5.0,4.0,262.0,5.0,4.0,115.7,5.0,3.0,202.0,4.0,3.0,430.3,4.0,3.0,236.3
5.0,6.0,325.3,5.0,6.0,625.7,5.0,6.0,363.9,5.0,6.0,390.5,4.0,6.0,834.3,4.0,5.0,717.2
6.0,2.0,32.6,6.0,1.0,153.1,6.0,1.0,185.8,6.0,1.0,273.7,6.0,1.0,1347.0,5.0,1.0,1013.0
6.0,3.0,38.6,6.0,3.0,152.3,6.0,2.0,206.4,6.0,2.0,398.1,6.0,2.0,1613.0,5.0,2.0,1030.0
6.0,4.0,48.7,6.0,4.0,189.8,6.0,4.0,168.0,6.0,3.0,308.9,6.0,3.0,1362.0,5.0,3.0,1095.0
6.0,5.0,141.4,6.0,5.0,430.3,6.0,5.0,400.7,6.0,5.0,573.0,6.0,4.0,1226.0,5.0,4.0,929.1
