1,日高 逸子,日高 逸子.1,2,江本 真治,江本 真治.1,3,横井 光弘,横井 光弘.1,4,黒柳 浩孝,黒柳 浩孝.1,5,水原 慎,水原 慎.1,6,眞鳥 康太,眞鳥 康太.1
2.0,3.0,9.3,1.0,3.0,20.4,1.0,2.0,81.9,1.0,2.0,25.2,1.0,2.0,342.5,1.0,2.0,1173.0
2.0,4.0,6.2,1.0,4.0,17.3,1.0,4.0,94.6,1.0,3.0,64.5,1.0,3.0,530.0,1.0,3.0,1798.0
2.0,5.0,29.9,1.0,5.0,56.8,1.0,5.0,174.7,1.0,5.0,38.6,1.0,4.0,284.6,1.0,4.0,1007.0
2.0,6.0,44.7,1.0,6.0,78.2,1.0,6.0,288.9,1.0,6.0,71.2,1.0,6.0,445.4,1.0,5.0,1754.0
3.0,2.0,17.1,3.0,1.0,64.9,2.0,1.0,114.9,2.0,1.0,36.2,2.0,1.0,598.2,2.0,1.0,1381.0
3.0,4.0,19.8,3.0,4.0,88.7,2.0,4.0,159.6,2.0,3.0,105.5,2.0,3.0,1051.0,2.0,3.0,2237.0
3.0,5.0,55.9,3.0,5.0,214.0,2.0,5.0,301.2,2.0,5.0,70.7,2.0,4.0,547.7,2.0,4.0,1630.0
3.0,6.0,103.8,3.0,6.0,300.9,2.0,6.0,418.6,2.0,6.0,102.3,2.0,6.0,973.4,2.0,5.0,2815.0
4.0,2.0,9.1,4.0,1.0,31.2,4.0,1.0,143.7,3.0,1.0,156.6,3.0,1.0,1095.0,3.0,1.0,2577.0
4.0,3.0,20.1,4.0,3.0,83.7,4.0,2.0,187.7,3.0,2.0,202.9,3.0,2.0,1358.0,3.0,2.0,2520.0
4.0,5.0,35.4,4.0,5.0,97.2,4.0,5.0,308.3,3.0,5.0,301.2,3.0,4.0,1185.0,3.0,4.0,3563.0
4.0,6.0,53.2,4.0,6.0,164.1,4.0,6.0,444.0,3.0,6.0,398.9,3.0,6.0,1911.0,3.0,5.0,3724.0
5.0,2.0,99.0,5.0,1.0,256.2,5.0,1.0,501.9,5.0,1.0,46.4,4.0,1.0,229.8,4.0,1.0,1244.0
5.0,3.0,138.0,5.0,3.0,458.5,5.0,2.0,620.0,5.0,2.0,56.9,4.0,2.0,322.6,4.0,2.0,1428.0
5.0,4.0,112.9,5.0,4.0,365.1,5.0,4.0,624.7,5.0,3.0,208.3,4.0,3.0,709.1,4.0,3.0,2788.0
5.0,6.0,218.5,5.0,6.0,613.4,5.0,6.0,952.6,5.0,6.0,78.6,4.0,6.0,329.4,4.0,5.0,1970.0
6.0,2.0,218.9,6.0,1.0,424.7,6.0,1.0,993.5,6.0,1.0,153.9,6.0,1.0,914.8,5.0,1.0,3087.0
6.0,3.0,324.3,6.0,3.0,772.7,6.0,2.0,1029.0,6.0,2.0,182.0,6.0,2.0,1317.0,5.0,2.0,3953.0
6.0,4.0,248.2,6.0,4.0,506.3,6.0,4.0,1233.0,6.0,3.0,483.0,6.0,3.0,1997.0,5.0,3.0,4183.0
6.0,5.0,425.0,6.0,5.0,925.1,6.0,5.0,1367.0,6.0,5.0,186.9,6.0,4.0,821.1,5.0,4.0,2648.0
