1,中島 秀治,中島 秀治.1,2,竹下 大樹,竹下 大樹.1,3,一色 凌雅,一色 凌雅.1,4,中野 希一,中野 希一.1,5,坂井 滉哉,坂井 滉哉.1,6,荒木 颯斗,荒木 颯斗.1
2.0,3.0,6.9,1.0,3.0,24.5,1.0,2.0,184.6,1.0,2.0,50.0,1.0,2.0,364.7,1.0,2.0,385.6
2.0,4.0,4.8,1.0,4.0,17.6,1.0,4.0,181.6,1.0,3.0,160.1,1.0,3.0,509.1,1.0,3.0,1108.0
2.0,5.0,24.3,1.0,5.0,82.5,1.0,5.0,317.3,1.0,5.0,115.4,1.0,4.0,507.0,1.0,4.0,679.2
2.0,6.0,18.8,1.0,6.0,48.2,1.0,6.0,410.3,1.0,6.0,89.1,1.0,6.0,432.5,1.0,5.0,1020.0
3.0,2.0,13.8,3.0,1.0,74.4,2.0,1.0,226.0,2.0,1.0,65.5,2.0,1.0,561.5,2.0,1.0,507.0
3.0,4.0,18.5,3.0,4.0,75.3,2.0,4.0,221.5,2.0,3.0,174.5,2.0,3.0,1347.0,2.0,3.0,1790.0
3.0,5.0,49.4,3.0,5.0,256.3,2.0,5.0,590.0,2.0,5.0,225.4,2.0,4.0,898.5,2.0,4.0,962.7
3.0,6.0,46.5,3.0,6.0,159.2,2.0,6.0,429.6,2.0,6.0,120.9,2.0,6.0,717.3,2.0,5.0,1610.0
4.0,2.0,10.8,4.0,1.0,42.2,4.0,1.0,318.1,3.0,1.0,366.3,3.0,1.0,914.5,3.0,1.0,2286.0
4.0,3.0,23.2,4.0,3.0,62.5,4.0,2.0,355.1,3.0,2.0,395.7,3.0,2.0,1882.0,3.0,2.0,2695.0
4.0,5.0,42.5,4.0,5.0,159.5,4.0,5.0,805.2,3.0,5.0,959.1,3.0,4.0,2134.0,3.0,4.0,2783.0
4.0,6.0,31.0,4.0,6.0,103.9,4.0,6.0,776.0,3.0,6.0,668.6,3.0,6.0,1925.0,3.0,5.0,3369.0
5.0,2.0,67.3,5.0,1.0,306.3,5.0,1.0,711.3,5.0,1.0,167.0,4.0,1.0,672.1,4.0,1.0,649.9
5.0,3.0,109.8,5.0,3.0,591.4,5.0,2.0,1148.0,5.0,2.0,249.5,4.0,2.0,842.3,4.0,2.0,895.3
5.0,4.0,104.9,5.0,4.0,495.3,5.0,4.0,1369.0,5.0,3.0,633.8,4.0,3.0,1673.0,4.0,3.0,2246.0
5.0,6.0,102.1,5.0,6.0,499.1,5.0,6.0,1524.0,5.0,6.0,218.1,4.0,6.0,717.3,4.0,5.0,1969.0
6.0,2.0,72.4,6.0,1.0,169.1,6.0,1.0,1185.0,6.0,1.0,170.0,6.0,1.0,729.5,5.0,1.0,1280.0
6.0,3.0,165.2,6.0,3.0,362.2,6.0,2.0,1243.0,6.0,2.0,204.8,6.0,2.0,818.1,5.0,2.0,1707.0
6.0,4.0,98.2,6.0,4.0,290.0,6.0,4.0,1506.0,6.0,3.0,556.6,6.0,3.0,1911.0,5.0,3.0,2535.0
6.0,5.0,161.1,6.0,5.0,567.8,6.0,5.0,1911.0,6.0,5.0,315.3,6.0,4.0,1062.0,5.0,4.0,2116.0
