1,岡部 浩,岡部 浩.1,2,桑原 将光,桑原 将光.1,3,萩原 知哉,萩原 知哉.1,4,丸岡 正典,丸岡 正典.1,5,中越 博紀,中越 博紀.1,6,大町 利克,大町 利克.1
2.0,3.0,34.9,1.0,3.0,52.1,1.0,2.0,138.4,1.0,2.0,21.5,1.0,2.0,147.5,1.0,2.0,1700.0
2.0,4.0,10.3,1.0,4.0,16.4,1.0,4.0,121.7,1.0,3.0,55.6,1.0,3.0,221.1,1.0,3.0,4148.0
2.0,5.0,34.2,1.0,5.0,38.5,1.0,5.0,173.9,1.0,5.0,28.3,1.0,4.0,136.9,1.0,4.0,2529.0
2.0,6.0,179.1,1.0,6.0,200.1,1.0,6.0,247.4,1.0,6.0,91.1,1.0,6.0,270.7,1.0,5.0,3840.0
3.0,2.0,52.8,3.0,1.0,75.5,2.0,1.0,229.4,2.0,1.0,27.1,2.0,1.0,200.9,2.0,1.0,1700.0
3.0,4.0,41.9,3.0,4.0,67.0,2.0,4.0,145.8,2.0,3.0,56.9,2.0,3.0,395.8,2.0,3.0,3840.0
3.0,5.0,91.3,3.0,5.0,165.9,2.0,5.0,244.0,2.0,5.0,19.1,2.0,4.0,89.3,2.0,4.0,1401.0
3.0,6.0,288.8,3.0,6.0,599.4,2.0,6.0,289.6,2.0,6.0,89.4,2.0,6.0,265.8,2.0,5.0,3240.0
4.0,2.0,12.8,4.0,1.0,19.4,4.0,1.0,143.6,3.0,1.0,120.5,3.0,1.0,563.5,3.0,1.0,2304.0
4.0,3.0,30.1,4.0,3.0,52.7,4.0,2.0,124.4,3.0,2.0,85.4,3.0,2.0,595.9,3.0,2.0,2411.0
4.0,5.0,23.8,4.0,5.0,20.0,4.0,5.0,119.4,3.0,5.0,81.3,3.0,4.0,365.1,3.0,4.0,1672.0
4.0,6.0,98.3,4.0,6.0,137.3,4.0,6.0,337.7,3.0,6.0,284.1,3.0,6.0,997.1,3.0,5.0,2802.0
5.0,2.0,75.1,5.0,1.0,82.6,5.0,1.0,307.7,5.0,1.0,30.7,4.0,1.0,97.0,4.0,1.0,1787.0
5.0,3.0,124.9,5.0,3.0,194.9,5.0,2.0,331.3,5.0,2.0,21.0,4.0,2.0,60.3,4.0,2.0,1191.0
5.0,4.0,62.7,5.0,4.0,49.1,5.0,4.0,230.9,5.0,3.0,63.4,4.0,3.0,163.3,4.0,3.0,3840.0
5.0,6.0,353.9,5.0,6.0,395.8,5.0,6.0,563.5,5.0,6.0,51.3,4.0,6.0,186.1,4.0,5.0,909.6
6.0,2.0,572.9,6.0,1.0,542.9,6.0,1.0,1205.0,6.0,1.0,263.8,6.0,1.0,740.7,5.0,1.0,3988.0
6.0,3.0,660.5,6.0,3.0,1646.0,6.0,2.0,878.8,6.0,2.0,241.7,6.0,2.0,886.3,5.0,2.0,4508.0
6.0,4.0,503.3,6.0,4.0,592.5,6.0,4.0,925.8,6.0,3.0,414.8,6.0,3.0,1460.0,5.0,3.0,3703.0
6.0,5.0,997.1,6.0,5.0,1249.0,6.0,5.0,1191.0,6.0,5.0,164.6,6.0,4.0,480.0,5.0,4.0,969.1
