1,佐藤 航,佐藤 航.1,2,江夏 満,江夏 満.1,3,草場 康幸,草場 康幸.1,4,羽野 諒,羽野 諒.1,5,坂井 康嗣,坂井 康嗣.1,6,天野 友和,天野 友和.1
2.0,3.0,5.7,1.0,3.0,14.7,1.0,2.0,116.5,1.0,2.0,46.8,1.0,2.0,608.4,1.0,2.0,493.5
2.0,4.0,4.8,1.0,4.0,11.7,1.0,4.0,220.1,1.0,3.0,141.0,1.0,3.0,1077.0,1.0,3.0,996.1
2.0,5.0,21.5,1.0,5.0,50.9,1.0,5.0,466.4,1.0,5.0,169.0,1.0,4.0,1083.0,1.0,4.0,888.7
2.0,6.0,16.1,1.0,6.0,31.3,1.0,6.0,285.5,1.0,6.0,107.4,1.0,6.0,1310.0,1.0,5.0,2167.0
3.0,2.0,18.1,3.0,1.0,42.8,2.0,1.0,126.0,2.0,1.0,60.4,2.0,1.0,715.6,2.0,1.0,498.0
3.0,4.0,32.7,3.0,4.0,68.2,2.0,4.0,186.0,2.0,3.0,174.1,2.0,3.0,1442.0,2.0,3.0,882.9
3.0,5.0,113.9,3.0,5.0,199.4,2.0,5.0,474.2,2.0,5.0,202.5,2.0,4.0,1048.0,2.0,4.0,618.0
3.0,6.0,70.3,3.0,6.0,94.3,2.0,6.0,269.8,2.0,6.0,115.9,2.0,6.0,1112.0,2.0,5.0,1795.0
4.0,2.0,12.4,4.0,1.0,35.2,4.0,1.0,395.8,3.0,1.0,392.7,3.0,1.0,1585.0,3.0,1.0,1320.0
4.0,3.0,34.0,4.0,3.0,72.8,4.0,2.0,318.4,3.0,2.0,406.8,3.0,2.0,1956.0,3.0,2.0,1167.0
4.0,5.0,80.6,4.0,5.0,153.1,4.0,5.0,998.0,3.0,5.0,931.3,3.0,4.0,2590.0,3.0,4.0,1795.0
4.0,6.0,50.9,4.0,6.0,79.7,4.0,6.0,695.5,3.0,6.0,593.1,3.0,6.0,2706.0,3.0,5.0,3005.0
5.0,2.0,100.3,5.0,1.0,231.5,5.0,1.0,1098.0,5.0,1.0,270.8,4.0,1.0,1040.0,4.0,1.0,1123.0
5.0,3.0,242.8,5.0,3.0,398.1,5.0,2.0,1211.0,5.0,2.0,294.4,4.0,2.0,996.1,4.0,2.0,759.6
5.0,4.0,212.4,5.0,4.0,331.6,5.0,4.0,1801.0,5.0,3.0,664.9,4.0,3.0,1985.0,4.0,3.0,2044.0
5.0,6.0,319.7,5.0,6.0,393.8,5.0,6.0,1777.0,5.0,6.0,300.0,4.0,6.0,1222.0,4.0,5.0,2719.0
6.0,2.0,96.4,6.0,1.0,110.3,6.0,1.0,722.3,6.0,1.0,247.8,6.0,1.0,2334.0,5.0,1.0,3090.0
6.0,3.0,191.8,6.0,3.0,217.7,6.0,2.0,620.2,6.0,2.0,242.0,6.0,2.0,2211.0,5.0,2.0,2450.0
6.0,4.0,167.5,6.0,4.0,205.1,6.0,4.0,1130.0,6.0,3.0,625.2,6.0,3.0,3970.0,5.0,3.0,4059.0
6.0,5.0,434.4,6.0,5.0,525.0,6.0,5.0,1623.0,6.0,5.0,519.0,6.0,4.0,2692.0,5.0,4.0,3144.0
