1,藤田 美代,藤田 美代.1,2,奥村　明日香,奥村　明日香.1,3,水野 望美,水野 望美.1,4,西澤　日花里,西澤　日花里.1,5,松尾 怜実,松尾 怜実.1,6,中里 優子,中里 優子.1
2.0,3.0,31.6,1.0,3.0,99.9,1.0,2.0,85.3,1.0,2.0,220.4,1.0,2.0,999.0,1.0,2.0,54.0
2.0,4.0,54.9,1.0,4.0,151.5,1.0,4.0,41.2,1.0,3.0,100.9,1.0,3.0,636.8,1.0,3.0,19.7
2.0,5.0,109.2,1.0,5.0,282.7,1.0,5.0,99.5,1.0,5.0,218.6,1.0,4.0,876.7,1.0,4.0,32.7
2.0,6.0,29.4,1.0,6.0,90.5,1.0,6.0,30.7,1.0,6.0,87.4,1.0,6.0,793.5,1.0,5.0,111.1
3.0,2.0,32.5,3.0,1.0,145.6,2.0,1.0,147.1,2.0,1.0,306.5,2.0,1.0,1123.0,2.0,1.0,116.5
3.0,4.0,21.7,3.0,4.0,217.0,2.0,4.0,188.8,2.0,3.0,351.4,2.0,3.0,1339.0,2.0,3.0,113.7
3.0,5.0,69.2,3.0,5.0,371.9,2.0,5.0,321.3,2.0,5.0,666.0,2.0,4.0,1451.0,2.0,4.0,159.2
3.0,6.0,13.2,3.0,6.0,145.6,2.0,6.0,138.7,2.0,6.0,298.6,2.0,6.0,1316.0,2.0,5.0,356.1
4.0,2.0,76.3,4.0,1.0,267.5,4.0,1.0,49.3,3.0,1.0,104.9,3.0,1.0,758.9,3.0,1.0,26.4
4.0,3.0,36.8,4.0,3.0,310.7,4.0,2.0,114.6,3.0,2.0,262.0,3.0,2.0,1114.0,3.0,2.0,65.5
4.0,5.0,130.2,4.0,5.0,672.9,4.0,5.0,84.7,3.0,5.0,172.3,3.0,4.0,816.5,3.0,4.0,29.9
4.0,6.0,32.9,4.0,6.0,251.9,4.0,6.0,43.8,3.0,6.0,91.6,3.0,6.0,703.3,3.0,5.0,80.9
5.0,2.0,249.7,5.0,1.0,603.6,5.0,1.0,189.3,5.0,1.0,330.8,4.0,1.0,971.0,4.0,1.0,67.4
5.0,3.0,178.8,5.0,3.0,804.9,5.0,2.0,330.8,5.0,2.0,647.8,4.0,2.0,1393.0,4.0,2.0,147.7
5.0,4.0,268.6,5.0,4.0,1163.0,5.0,4.0,184.4,5.0,3.0,301.4,4.0,3.0,860.0,4.0,3.0,57.1
5.0,6.0,209.3,5.0,6.0,839.3,5.0,6.0,170.2,5.0,6.0,285.9,4.0,6.0,962.7,4.0,5.0,167.8
6.0,2.0,25.0,6.0,1.0,130.7,6.0,1.0,37.6,6.0,1.0,103.9,6.0,1.0,950.6,5.0,1.0,363.2
6.0,3.0,10.4,6.0,3.0,142.2,6.0,2.0,91.8,6.0,2.0,245.6,6.0,2.0,1308.0,5.0,2.0,602.8
6.0,4.0,16.7,6.0,4.0,207.1,6.0,4.0,43.4,6.0,3.0,100.7,6.0,3.0,715.6,5.0,3.0,286.8
6.0,5.0,72.3,6.0,5.0,407.5,6.0,5.0,98.3,6.0,5.0,212.7,6.0,4.0,1067.0,5.0,4.0,363.8
