1,木村 仁紀,木村 仁紀.1,2,山本 隆幸,山本 隆幸.1,3,牧原 崇,牧原 崇.1,4,浦野 海,浦野 海.1,5,田路 朋史,田路 朋史.1,6,村上 彰一,村上 彰一.1
2.0,3.0,6.5,1.0,3.0,38.2,1.0,2.0,149.9,1.0,2.0,57.2,1.0,2.0,64.1,1.0,2.0,451.4
2.0,4.0,8.2,1.0,4.0,43.6,1.0,4.0,241.3,1.0,3.0,139.2,1.0,3.0,144.4,1.0,3.0,801.2
2.0,5.0,9.7,1.0,5.0,45.9,1.0,5.0,230.3,1.0,5.0,55.9,1.0,4.0,87.9,1.0,4.0,707.5
2.0,6.0,31.8,1.0,6.0,98.0,1.0,6.0,379.6,1.0,6.0,98.4,1.0,6.0,111.9,1.0,5.0,650.4
3.0,2.0,13.5,3.0,1.0,126.1,2.0,1.0,207.5,2.0,1.0,111.1,2.0,1.0,126.9,2.0,1.0,706.1
3.0,4.0,22.8,3.0,4.0,285.5,2.0,4.0,522.2,2.0,3.0,310.2,2.0,3.0,364.0,2.0,3.0,1291.0
3.0,5.0,27.1,3.0,5.0,339.8,2.0,5.0,553.3,2.0,5.0,145.8,2.0,4.0,251.0,2.0,4.0,1264.0
3.0,6.0,71.9,3.0,6.0,461.2,2.0,6.0,682.2,2.0,6.0,221.5,2.0,6.0,278.1,2.0,5.0,1234.0
4.0,2.0,15.9,4.0,1.0,143.9,4.0,1.0,418.1,3.0,1.0,373.8,3.0,1.0,376.1,3.0,1.0,1201.0
4.0,3.0,30.9,4.0,3.0,325.8,4.0,2.0,571.5,3.0,2.0,493.1,3.0,2.0,622.5,3.0,2.0,1396.0
4.0,5.0,26.3,4.0,5.0,314.8,4.0,5.0,597.9,3.0,5.0,438.3,3.0,4.0,797.7,3.0,4.0,1779.0
4.0,6.0,57.1,4.0,6.0,429.5,4.0,6.0,947.6,3.0,6.0,648.1,3.0,6.0,891.8,3.0,5.0,1525.0
5.0,2.0,18.7,5.0,1.0,134.5,5.0,1.0,496.5,5.0,1.0,60.6,4.0,1.0,108.4,4.0,1.0,844.1
5.0,3.0,39.0,5.0,3.0,393.2,5.0,2.0,720.1,5.0,2.0,85.4,4.0,2.0,152.6,4.0,2.0,1145.0
5.0,4.0,32.9,5.0,4.0,296.2,5.0,4.0,866.2,5.0,3.0,237.2,4.0,3.0,406.0,4.0,3.0,1451.0
5.0,6.0,59.9,5.0,6.0,330.8,5.0,6.0,1025.0,5.0,6.0,78.9,4.0,6.0,151.5,4.0,5.0,604.9
6.0,2.0,112.2,6.0,1.0,351.0,6.0,1.0,785.6,6.0,1.0,200.2,6.0,1.0,260.3,5.0,1.0,748.3
6.0,3.0,187.3,6.0,3.0,830.5,6.0,2.0,898.4,6.0,2.0,274.1,6.0,2.0,374.5,5.0,2.0,1055.0
6.0,4.0,157.8,6.0,4.0,700.7,6.0,4.0,1518.0,6.0,3.0,545.8,6.0,3.0,650.4,5.0,3.0,1423.0
6.0,5.0,145.5,6.0,5.0,509.7,6.0,5.0,1315.0,6.0,5.0,167.1,6.0,4.0,319.2,5.0,4.0,617.2
